SampleID,Cruise,Station,Cast,Filter,Replicate,Depth,Datetime,Latitude,Longitude,SequencingID,Alias1,Alias2,Notes
G3.UW.NS.UW25_1.7m.3um.A,km1906,,,3,A,7,04/11/19 05:45:00,25.87,-158,719376,UW25 A,UW59,
G3.UW.NS.UW25_1.7m.3um.B,km1906,,,3,B,7,04/11/19 05:45:00,25.87,-158,719355,UW25 B,UW37,
G3.UW.NS.UW25_1.7m.0_2um.A,km1906,,,0.2,A,7,04/11/19 05:45:00,25.87,-158,719354,UW25 A,UW36,
G3.UW.NS.UW25_1.7m.0_2um.B,km1906,,,0.2,B,7,04/11/19 05:45:00,25.87,-158,719369,UW25 B,UW51,
G3.UW.NS.UW29_1.7m.3um.B,km1906,,,3,B,7,04/12/19 05:50:00,29.46,-158,719383,UW29 B,UW67,
G3.UW.NS.UW29_1.7m.0_2um.B,km1906,,,0.2,B,7,04/12/19 05:50:00,29.46,-158,719362,UW29 B,UW44,
G3.UW.NS.UW32_1.7m.3um.A,km1906,,,3,A,7,04/13/19 05:47:00,32.3,-158,719382,UW32 A,UW66,
G3.UW.NS.UW32_1.7m.0_2um.A,km1906,,,0.2,A,7,04/13/19 05:47:00,32.3,-158,719337,UW32 A,UW13,
G3.UW.NS.UW32_1.7m.0_2um.B,km1906,,,0.2,B,7,04/13/19 05:47:00,32.3,-158,719375,UW32 B,UW58,
G3.UW.NS.UW32_1.7m.0_2um.C,km1906,,,0.2,C,7,04/13/19 05:47:00,32.3,-158,719342,UW32 C,UW19,
G3.UW.NS.UW35_1.7m.3um.A,km1906,,,3,A,7,04/14/19 05:53:00,35.96,-158,719361,UW35 A,UW43,
G3.UW.NS.UW35_1.7m.3um.B,km1906,,,3,B,7,04/14/19 05:53:00,35.96,-158,719349,UW35 B,UW30,
G3.UW.NS.UW35_1.7m.3um.C,km1906,,,3,C,7,04/14/19 05:53:00,35.96,-158,719331,UW35 C,UW5,
G3.UW.NS.UW35_1.7m.0_2um.A,km1906,,,0.2,A,7,04/14/19 05:53:00,35.96,-158,719332,UW35 A,UW6,
G3.UW.NS.UW35_1.7m.0_2um.B,km1906,,,0.2,B,7,04/14/19 05:53:00,35.96,-158,719371,UW35 B,UW53,
G3.UW.NS.UW35_1.7m.0_2um.C,km1906,,,0.2,C,7,04/14/19 05:53:00,35.96,-158,719345,UW35 C,UW24,
G3.UW.NS.UW38_1.7m.3um.A,km1906,,,3,A,7,04/15/19 05:37:00,38.97,-158,719360,UW38 A,UW42,
G3.UW.NS.UW38_1.7m.3um.B,km1906,,,3,B,7,04/15/19 05:37:00,38.97,-158,719344,UW38 B,UW23,
G3.UW.NS.UW38_1.7m.3um.C,km1906,,,3,C,7,04/15/19 05:37:00,38.97,-158,719357,UW38 C,UW39,
G3.UW.NS.UW38_1.7m.0_2um.A,km1906,,,0.2,A,7,04/15/19 05:37:00,38.97,-158,719335,UW38 A,UW11,
G3.UW.NS.UW38_1.7m.0_2um.B,km1906,,,0.2,B,7,04/15/19 05:37:00,38.97,-158,719341,UW38 B,UW18,
G3.UW.NS.UW38_1.7m.0_2um.C,km1906,,,0.2,C,7,04/15/19 05:37:00,38.97,-158,719368,UW38 C,UW50,
G3.UW.NS.UW37_1.7m.3um.A,km1906,,,3,A,7,04/19/19 18:47:00,37,-158,719350,UW37 A,UW32,
G3.UW.NS.UW37_1.7m.3um.B,km1906,,,3,B,7,04/19/19 18:47:00,37,-158,719346,UW37 B,UW25,
G3.UW.NS.UW37_1.7m.3um.C,km1906,,,3,C,7,04/19/19 18:47:00,37,-158,719365,UW37 C,UW47,
G3.UW.NS.UW37_1.7m.0_2um.A,km1906,,,0.2,A,7,04/19/19 18:47:00,37,-158,719340,UW37 A,UW17,
G3.UW.NS.UW37_1.7m.0_2um.B,km1906,,,0.2,B,7,04/19/19 18:47:00,37,-158,719352,UW37 B,UW34,
G3.UW.NS.UW37_1.7m.0_2um.C,km1906,,,0.2,C,7,04/19/19 18:47:00,37,-158,719372,UW37 C,UW54,
G3.UW.NS.UW32_3.7m.3um.A,km1906,,,3,A,7,04/22/19 05:56:00,32.93,-158,719333,UW32 #3 A,UW8,
G3.UW.NS.UW32_3.7m.3um.B,km1906,,,3,B,7,04/22/19 05:56:00,32.93,-158,719334,UW32 #3 B,UW9,
G3.UW.NS.UW32_3.7m.3um.C,km1906,,,3,C,7,04/22/19 05:56:00,32.93,-158,719353,UW32 #3 C,UW35,
G3.UW.NS.UW32_3.7m.0_2um.A,km1906,,,0.2,A,7,04/22/19 05:56:00,32.93,-158,719378,UW32 #3 A,UW61,
