"ID","LookupID","sequencingID","Status","extractionID","SampleID","Cruise","Gradients","Type","project","Dataset","Station","Cast","Replicate","Datetime.local","Datetime.utc","Latitude.dec","Longitude.dec","Depth.m","Filter.um","Volume.L","Treatment","Incubation.time","Notes"
"S11C1_A_18_00","Lookup_diel1_from_poolA_poolB_barcode",169851,"Pool A","S11C1_A_1800","d1-st-pa.S11.C1.18h.A","km1513","d1","diel","d1-st-pa",18,11,1,"A",2015-07-26 18:27:00,2015-07-27 04:27:00,24.374,-156.792,15,0.2,6.5,NA,NA,NA
"S11C1_C_18_00","Lookup_diel1_from_poolA_poolB_barcode",169886,"Pool B","S11C1_C_1800","d1-st-pa.S11.C1.18h.C","km1513","d1","diel","d1-st-pa",18,11,1,"C",2015-07-26 18:27:00,2015-07-27 04:27:00,24.374,-156.792,15,0.2,8,NA,NA,NA
"S14C1_B_22_00","Lookup_diel1_from_poolA_poolB_barcode",169855,"Pool A","S14C1_B_2200","d1-st-pa.S14.C1.22h.B","km1513","d1","diel","d1-st-pa",22,14,1,"B",2015-07-26 22:46:00,2015-07-27 08:46:00,24.424,-156.761,15,0.2,6.5,NA,NA,NA
"S14C1_C_22_00","Lookup_diel1_from_poolA_poolB_barcode",169873,"Pool B","S14C1_C_2200","d1-st-pa.S14.C1.22h.C","km1513","d1","diel","d1-st-pa",22,14,1,"C",2015-07-26 22:46:00,2015-07-27 08:46:00,24.424,-156.761,15,0.2,6,NA,NA,NA
"S15C1_B_2_00","Lookup_diel1_from_poolA_poolB_barcode",169880,"Pool A","S15C1_B_0200","d1-st-pa.S15.C1.2h.B","km1513","d1","diel","d1-st-pa",2,15,1,"B",2015-07-27 02:27:00,2015-07-27 12:27:00,24.46,-156.738,15,0.2,6.5,NA,NA,NA
"S15C1_C_2_00","Lookup_diel1_from_poolA_poolB_barcode",169850,"Pool A","S15C1_C_0200","d1-st-pa.S15.C1.2h.C","km1513","d1","diel","d1-st-pa",2,15,1,"C",2015-07-27 02:27:00,2015-07-27 12:27:00,24.46,-156.738,15,0.2,6,NA,NA,NA
"S16C1_A_6_00","Lookup_diel1_from_poolA_poolB_barcode",169874,"Pool B","S16C1_A_0600","d1-st-pa.S16.C1.6h.A","km1513","d1","diel","d1-st-pa",6,16,1,"A",2015-07-27 06:26:00,2015-07-27 16:26:00,24.481,-156.718,15,0.2,6.25,NA,NA,NA
"S16C1_B_6_00","Lookup_diel1_from_poolA_poolB_barcode",169854,"Pool A","S16C1_B_0600","d1-st-pa.S16.C1.6h.B","km1513","d1","diel","d1-st-pa",6,16,1,"B",2015-07-27 06:26:00,2015-07-27 16:26:00,24.481,-156.718,15,0.2,6.5,NA,NA,NA
"S17C1_A_10_00","Lookup_diel1_from_poolA_poolB_barcode",169848,"Pool A","S17C1_A_1000","d1-st-pa.S17.C1.10h.A","km1513","d1","diel","d1-st-pa",10,17,1,"A",2015-07-27 10:23:00,2015-07-27 20:23:00,24.497,-156.687,15,0.2,6,NA,NA,NA
"S17C1_B_10_00","Lookup_diel1_from_poolA_poolB_barcode",169857,"Pool A","S17C1_B_1000","d1-st-pa.S17.C1.10h.B","km1513","d1","diel","d1-st-pa",10,17,1,"B",2015-07-27 10:23:00,2015-07-27 20:23:00,24.497,-156.687,15,0.2,7,NA,NA,NA
