"ID","LookupID","sequencingID","Status","extractionID","SampleID","Cruise","Gradients","Type","project","Dataset","Station","Cast","Replicate","Datetime.local","Datetime.utc","Latitude.dec","Longitude.dec","Depth.m","Filter.um","Volume.L","Treatment","Incubation.time","Notes"
"Nutr5-T0/St.10 0.2umA","2256_Morales",212536,NA,NA,"g1-st-am-ns.S10.C1.0.2um.A","kok1606","G1","transect","G1-st-am-ns","AM",10,1,"A",2016-04-28 05:06:00,2016-04-28 15:06:00,35.46266667,-157.9993333,15,0.2,5.75,NA,NA,"none"
"Nutr5-T0/St.10 0.2umB","2256_Morales",212557,NA,NA,"g1-st-am-ns.S10.C1.0.2um.B","kok1606","G1","transect","G1-st-am-ns","AM",10,1,"B",2016-04-28 05:06:00,2016-04-28 15:06:00,35.46266667,-157.9993333,15,0.2,5.75,NA,NA,"none"
"S11C1 0.2umB","2256_Morales",212568,NA,NA,"g1-st-am-ns.S11.C1.0.2um.B","kok1606","G1","transect","G1-st-am-ns","AM",11,1,"B",2016-04-28 20:34:00,2016-04-29 06:34:00,36.569,-157.998,15,0.2,7,NA,NA,"none"
"S11C1 3umA","2256_Morales",212531,NA,NA,"g1-st-am-ns.S11.C1.3um.A","kok1606","G1","transect","G1-st-am-ns","AM",11,1,"A",2016-04-28 20:34:00,2016-04-29 06:34:00,36.569,-157.998,15,3,7.5,NA,NA,"none"
"S11C1 3umB","2256_Morales",212534,NA,NA,"g1-st-am-ns.S11.C1.3um.B","kok1606","G1","transect","G1-st-am-ns","AM",11,1,"B",2016-04-28 20:34:00,2016-04-29 06:34:00,36.569,-157.998,15,3,7,NA,NA,"none"
"S12C1 0.2umA","2256_Morales",212527,NA,NA,"g1-st-am-ns.S12.C1.0.2um.A","kok1606","G1","transect","G1-st-am-ns","AM",12,1,"A",2016-04-30 05:01:00,2016-04-30 15:01:00,33.09116667,-158.0008333,15,0.2,10,NA,NA,"none"
"S12C1 0.2umB","2256_Morales",212549,NA,NA,"g1-st-am-ns.S12.C1.0.2um.B","kok1606","G1","transect","G1-st-am-ns","AM",12,1,"B",2016-04-30 05:01:00,2016-04-30 15:01:00,33.09116667,-158.0008333,15,0.2,10,NA,NA,"none"
"S12C1 3umA","2256_Morales",212558,NA,NA,"g1-st-am-ns.S12.C1.3um.A","kok1606","G1","transect","G1-st-am-ns","AM",12,1,"A",2016-04-30 05:01:00,2016-04-30 15:01:00,33.09116667,-158.0008333,15,3,10,NA,NA,"none"
"S12C1 3umB","2256_Morales",212545,NA,NA,"g1-st-am-ns.S12.C1.3um.B","kok1606","G1","transect","G1-st-am-ns","AM",12,1,"B",2016-04-30 05:01:00,2016-04-30 15:01:00,33.09116667,-158.0008333,15,3,10,NA,NA,"none"
"S13C1 0.2umA","2256_Morales",212553,NA,NA,"g1-st-am-ns.S13.C1.0.2um.A","kok1606","G1","transect","G1-st-am-ns","AM",13,1,"A",2016-05-01 04:58:00,2016-05-01 14:58:00,29.69983333,-157.9993333,15,0.2,10,NA,NA,"G1 UW PA sample failed library prep"
"S13C1 0.2umB","2256_Morales",212529,NA,NA,"g1-st-am-ns.S13.C1.0.2um.B","kok1606","G1","transect","G1-st-am-ns","AM",13,1,"B",2016-05-01 04:58:00,2016-05-01 14:58:00,29.69983333,-157.9993333,15,0.2,10,NA,NA,"none"
"S13C1 3umA","2256_Morales",212537,NA,NA,"g1-st-am-ns.S13.C1.3um.A","kok1606","G1","transect","G1-st-am-ns","AM",13,1,"A",2016-05-01 04:58:00,2016-05-01 14:58:00,29.69983333,-157.9993333,15,3,10,NA,NA,"none"
"S13C1 3umB","2256_Morales",212530,NA,NA,"g1-st-am-ns.S13.C1.3um.B","kok1606","G1","transect","G1-st-am-ns","AM",13,1,"B",2016-05-01 04:58:00,2016-05-01 14:58:00,29.69983333,-157.9993333,15,3,10,NA,NA,"none"
"S14C1 0.2umA","2256_Morales",212555,NA,NA,"g1-st-am-ns.S14.C1.0.2um.A","kok1606","G1","transect","G1-st-am-ns","AM",14,1,"A",2016-05-02 05:01:00,2016-05-02 15:01:00,26.2825,-157.9988333,15,0.2,10,NA,NA,"none"
"S14C1 0.2umB","2256_Morales",212565,NA,NA,"g1-st-am-ns.S14.C1.0.2um.B","kok1606","G1","transect","G1-st-am-ns","AM",14,1,"B",2016-05-02 05:01:00,2016-05-02 15:01:00,26.2825,-157.9988333,15,0.2,9,NA,NA,"none"
"S14C1 0.2umC","2256_Morales",212548,NA,NA,"g1-st-am-ns.S14.C1.0.2um.C","kok1606","G1","transect","G1-st-am-ns","AM",14,1,"C",2016-05-02 05:01:00,2016-05-02 15:01:00,26.2825,-157.9988333,15,0.2,8.5,NA,NA,"none"
"S14C1 3umA","2256_Morales",212522,NA,NA,"g1-st-am-ns.S14.C1.3um.A","kok1606","G1","transect","G1-st-am-ns","AM",14,1,"A",2016-05-02 05:01:00,2016-05-02 15:01:00,26.2825,-157.9988333,15,3,10,NA,NA,"none"
"S14C1 3umB","2256_Morales",212541,NA,NA,"g1-st-am-ns.S14.C1.3um.B","kok1606","G1","transect","G1-st-am-ns","AM",14,1,"B",2016-05-02 05:01:00,2016-05-02 15:01:00,26.2825,-157.9988333,15,3,9,NA,NA,"none"
"S14C1 3umC","2256_Morales",212567,NA,NA,"g1-st-am-ns.S14.C1.3um.C","kok1606","G1","transect","G1-st-am-ns","AM",14,1,"C",2016-05-02 05:01:00,2016-05-02 15:01:00,26.2825,-157.9988333,15,3,8.5,NA,NA,"none"
"S2C1 0.2umA","2256_Morales",212560,NA,NA,"g1-st-am-ns.S2.C1.0.2um.A","kok1606","G1","transect","G1-st-am-ns","AM",2,1,"A",2016-04-20 05:11:00,2016-04-20 15:11:00,23.49583333,-157.9943333,15,0.2,10,NA,NA,"none"
