"ID","LookupID","sequencingID","Status","extractionID","SampleID","Cruise","Gradients","Type","project","Dataset","Station","Cast","Replicate","Datetime.local","Datetime.utc","Latitude.dec","Longitude.dec","Depth.m","Filter.um","Volume.L","Treatment","Incubation.time","Notes"
"Nutr5-T0_St.10_0.2umA","morales_gradient",175887,NA,NA,"g1-st-am-pa.S10.C1.0.2um.A","kok1606","G1","transect","G1-st-am-pa","AM",10,1,"A",2016-04-28 05:06:00,2016-04-28 15:06:00,35.46266667,-157.9993333,15,0.2,5.75,NA,NA,""
"Nutr5-T0_St.10_0.2umB","morales_gradient",175908,NA,NA,"g1-st-am-pa.S10.C1.0.2um.B","kok1606","G1","transect","G1-st-am-pa","AM",10,1,"B",2016-04-28 05:06:00,2016-04-28 15:06:00,35.46266667,-157.9993333,15,0.2,5.75,NA,NA,""
"S11C1_0.2umB","morales_gradient",175919,NA,NA,"g1-st-am-pa.S11.C1.0.2um.B","kok1606","G1","transect","G1-st-am-pa","AM",11,1,"B",2016-04-28 20:34:00,2016-04-29 06:34:00,36.569,-157.998,15,0.2,7,NA,NA,"sample taken at 20.35 hst, iso 5am!"
"S11C1_3umA","morales_gradient",175882,NA,NA,"g1-st-am-pa.S11.C1.3um.A","kok1606","G1","transect","G1-st-am-pa","AM",11,1,"A",2016-04-28 20:34:00,2016-04-29 06:34:00,36.569,-157.998,15,3,7.5,NA,NA,"sample taken at 20.35 hst, iso 5am!"
"S11C1_3umB","morales_gradient",175885,NA,NA,"g1-st-am-pa.S11.C1.3um.B","kok1606","G1","transect","G1-st-am-pa","AM",11,1,"B",2016-04-28 20:34:00,2016-04-29 06:34:00,36.569,-157.998,15,3,7,NA,NA,"sample taken at 20.35 hst, iso 5am!"
"S12C1_0.2umA","morales_gradient",175878,NA,NA,"g1-st-am-pa.S12.C1.0.2um.A","kok1606","G1","transect","G1-st-am-pa","AM",12,1,"A",2016-04-30 05:01:00,2016-04-30 15:01:00,33.09116667,-158.0008333,15,0.2,10,NA,NA,""
"S12C1_0.2umB","morales_gradient",175900,NA,NA,"g1-st-am-pa.S12.C1.0.2um.B","kok1606","G1","transect","G1-st-am-pa","AM",12,1,"B",2016-04-30 05:01:00,2016-04-30 15:01:00,33.09116667,-158.0008333,15,0.2,10,NA,NA,""
"S12C1_3umA","morales_gradient",175909,NA,NA,"g1-st-am-pa.S12.C1.3um.A","kok1606","G1","transect","G1-st-am-pa","AM",12,1,"A",2016-04-30 05:01:00,2016-04-30 15:01:00,33.09116667,-158.0008333,15,3,10,NA,NA,""
"S12C1_3umB","morales_gradient",175896,NA,NA,"g1-st-am-pa.S12.C1.3um.B","kok1606","G1","transect","G1-st-am-pa","AM",12,1,"B",2016-04-30 05:01:00,2016-04-30 15:01:00,33.09116667,-158.0008333,15,3,10,NA,NA,""
"S13C1_0.2umA","morales_gradient",175904,NA,NA,"g1-st-am-pa.S13.C1.0.2um.A","kok1606","G1","transect","G1-st-am-pa","AM",13,1,"A",2016-05-01 04:58:00,2016-05-01 14:58:00,29.69983333,-157.9993333,15,0.2,10,NA,NA,""
"S13C1_3umA","morales_gradient",175888,NA,NA,"g1-st-am-pa.S13.C1.3um.A","kok1606","G1","transect","G1-st-am-pa","AM",13,1,"A",2016-05-01 04:58:00,2016-05-01 14:58:00,29.69983333,-157.9993333,15,3,10,NA,NA,""
"S13C1_3umB","morales_gradient",175881,NA,NA,"g1-st-am-pa.S13.C1.3um.B","kok1606","G1","transect","G1-st-am-pa","AM",13,1,"B",2016-05-01 04:58:00,2016-05-01 14:58:00,29.69983333,-157.9993333,15,3,10,NA,NA,""
"S14C1_0.2umA","morales_gradient",175906,NA,NA,"g1-st-am-pa.S14.C1.0.2um.A","kok1606","G1","transect","G1-st-am-pa","AM",14,1,"A",2016-05-02 05:01:00,2016-05-02 15:01:00,26.2825,-157.9988333,15,0.2,10,NA,NA,""
"S14C1_0.2umB","morales_gradient",175916,NA,NA,"g1-st-am-pa.S14.C1.0.2um.B","kok1606","G1","transect","G1-st-am-pa","AM",14,1,"B",2016-05-02 05:01:00,2016-05-02 15:01:00,26.2825,-157.9988333,15,0.2,9,NA,NA,""
"S14C1_0.2umC","morales_gradient",175899,NA,NA,"g1-st-am-pa.S14.C1.0.2um.C","kok1606","G1","transect","G1-st-am-pa","AM",14,1,"C",2016-05-02 05:01:00,2016-05-02 15:01:00,26.2825,-157.9988333,15,0.2,8.5,NA,NA,""
"S14C1_3umA","morales_gradient",175873,NA,NA,"g1-st-am-pa.S14.C1.3um.A","kok1606","G1","transect","G1-st-am-pa","AM",14,1,"A",2016-05-02 05:01:00,2016-05-02 15:01:00,26.2825,-157.9988333,15,3,10,NA,NA,""
"S14C1_3umB","morales_gradient",175892,NA,NA,"g1-st-am-pa.S14.C1.3um.B","kok1606","G1","transect","G1-st-am-pa","AM",14,1,"B",2016-05-02 05:01:00,2016-05-02 15:01:00,26.2825,-157.9988333,15,3,9,NA,NA,""
"S14C1_3umC","morales_gradient",175918,NA,NA,"g1-st-am-pa.S14.C1.3um.C","kok1606","G1","transect","G1-st-am-pa","AM",14,1,"C",2016-05-02 05:01:00,2016-05-02 15:01:00,26.2825,-157.9988333,15,3,8.5,NA,NA,""
"S2C1_0.2umA","morales_gradient",175911,NA,NA,"g1-st-am-pa.S2.C1.0.2um.A","kok1606","G1","transect","G1-st-am-pa","AM",2,1,"A",2016-04-20 05:11:00,2016-04-20 15:11:00,23.49583333,-157.9943333,15,0.2,10,NA,NA,""
"S2C1_0.2umB","morales_gradient",175890,NA,NA,"g1-st-am-pa.S2.C1.0.2um.B","kok1606","G1","transect","G1-st-am-pa","AM",2,1,"B",2016-04-20 05:11:00,2016-04-20 15:11:00,23.49583333,-157.9943333,15,0.2,10,NA,NA,""
"S2C1_0.2umC","morales_gradient",175915,NA,NA,"g1-st-am-pa.S2.C1.0.2um.C","kok1606","G1","transect","G1-st-am-pa","AM",2,1,"C",2016-04-20 05:11:00,2016-04-20 15:11:00,23.49583333,-157.9943333,15,0.2,10,NA,NA,""
"S2C1_3umA","morales_gradient",175902,NA,NA,"g1-st-am-pa.S2.C1.3um.A","kok1606","G1","transect","G1-st-am-pa","AM",2,1,"A",2016-04-20 05:11:00,2016-04-20 15:11:00,23.49583333,-157.9943333,15,3,10,NA,NA,""
"S2C1_3umB","morales_gradient",175913,NA,NA,"g1-st-am-pa.S2.C1.3um.B","kok1606","G1","transect","G1-st-am-pa","AM",2,1,"B",2016-04-20 05:11:00,2016-04-20 15:11:00,23.49583333,-157.9943333,15,3,10,NA,NA,""
"S2C1_3umC","morales_gradient",175874,NA,NA,"g1-st-am-pa.S2.C1.3um.C","kok1606","G1","transect","G1-st-am-pa","AM",2,1,"C",2016-04-20 05:11:00,2016-04-20 15:11:00,23.49583333,-157.9943333,15,3,10,NA,NA,""
"S4C1_0.2umA","morales_gradient",175910,NA,NA,"g1-st-am-pa.S4.C1.0.2um.A","kok1606","G1","transect","G1-st-am-pa","AM",4,1,"A",2016-04-22 05:01:00,2016-04-22 15:01:00,28.14316667,-158.0006667,15,0.2,10,NA,NA,""
"S4C1_0.2umB","morales_gradient",175875,NA,NA,"g1-st-am-pa.S4.C1.0.2um.B","kok1606","G1","transect","G1-st-am-pa","AM",4,1,"B",2016-04-22 05:01:00,2016-04-22 15:01:00,28.14316667,-158.0006667,15,0.2,10,NA,NA,""
"S4C1_0.2umC","morales_gradient",175898,NA,NA,"g1-st-am-pa.S4.C1.0.2um.C","kok1606","G1","transect","G1-st-am-pa","AM",4,1,"C",2016-04-22 05:01:00,2016-04-22 15:01:00,28.14316667,-158.0006667,15,0.2,10,NA,NA,""
"S4C1_3umA","morales_gradient",175912,NA,NA,"g1-st-am-pa.S4.C1.3um.A","kok1606","G1","transect","G1-st-am-pa","AM",4,1,"A",2016-04-22 05:01:00,2016-04-22 15:01:00,28.14316667,-158.0006667,15,3,10,NA,NA,""
"S4C1_3umB","morales_gradient",175891,NA,NA,"g1-st-am-pa.S4.C1.3um.B","kok1606","G1","transect","G1-st-am-pa","AM",4,1,"B",2016-04-22 05:01:00,2016-04-22 15:01:00,28.14316667,-158.0006667,15,3,10,NA,NA,""
"S4C1_3umC","morales_gradient",175893,NA,NA,"g1-st-am-pa.S4.C1.3um.C","kok1606","G1","transect","G1-st-am-pa","AM",4,1,"C",2016-04-22 05:01:00,2016-04-22 15:01:00,28.14316667,-158.0006667,15,3,10,NA,NA,""
"S6C1_0.2umA","morales_gradient",175903,NA,NA,"g1-st-am-pa.S6.C1.0.2um.A","kok1606","G1","transect","G1-st-am-pa","AM",6,1,"A",2016-04-24 05:03:00,2016-04-24 15:03:00,32.5835,-158.0016667,15,0.2,10,NA,NA,""
"S6C1_0.2umB","morales_gradient",175884,NA,NA,"g1-st-am-pa.S6.C1.0.2um.B","kok1606","G1","transect","G1-st-am-pa","AM",6,1,"B",2016-04-24 05:03:00,2016-04-24 15:03:00,32.5835,-158.0016667,15,0.2,10,NA,NA,""
"S6C1_0.2umC","morales_gradient",175894,NA,NA,"g1-st-am-pa.S6.C1.0.2um.C","kok1606","G1","transect","G1-st-am-pa","AM",6,1,"C",2016-04-24 05:03:00,2016-04-24 15:03:00,32.5835,-158.0016667,15,0.2,10,NA,NA,""
"S6C1_3umA","morales_gradient",175905,NA,NA,"g1-st-am-pa.S6.C1.3um.A","kok1606","G1","transect","G1-st-am-pa","AM",6,1,"A",2016-04-24 05:03:00,2016-04-24 15:03:00,32.5835,-158.0016667,15,3,10,NA,NA,""
"S6C1_3umC","morales_gradient",175917,NA,NA,"g1-st-am-pa.S6.C1.3um.B","kok1606","G1","transect","G1-st-am-pa","AM",6,1,"B",2016-04-24 05:03:00,2016-04-24 15:03:00,32.5835,-158.0016667,15,3,10,NA,NA,""
"S8C1_0.2umA","morales_gradient",175879,NA,NA,"g1-st-am-pa.S8.C1.0.2um.A","kok1606","G1","transect","G1-st-am-pa","AM",8,1,"A",2016-04-26 05:03:00,2016-04-26 15:03:00,37.30116667,-158.0016667,15,0.2,10,NA,NA,"influx data flagged as noisy"
"S8C1_0.2umB","morales_gradient",175886,NA,NA,"g1-st-am-pa.S8.C1.0.2um.B","kok1606","G1","transect","G1-st-am-pa","AM",8,1,"B",2016-04-26 05:03:00,2016-04-26 15:03:00,37.30116667,-158.0016667,15,0.2,10,NA,NA,"influx data flagged as noisy"
