"ID","LookupID","sequencingID","Status","extractionID","SampleID","Cruise","Gradients","Type","project","Dataset","Station","Cast","Replicate","Datetime.local","Datetime.utc","Latitude.dec","Longitude.dec","Depth.m","Filter.um","Volume.L","Treatment","Incubation.time","Notes"
"S17C3.DCM.3um","armbrust_grc_rnaseq_2",367020,"Seq data released","BD10","g2-ctd-ns.S17.C3.DCM.3um.C","mgl1704","G2","CTD","G2-ctd-ns","DCM",17,3,"C",2017-06-10 08:57:00,2017-06-10 18:57:00,32.00016667,-158,87,3,9.5,NA,NA,NA
"S18C2.DCM.3um","armbrust_grc_rnaseq_2",367021,"Seq data released","BD12","g2-ctd-ns.S18.C2.DCM.3um.A","mgl1704","G2","CTD","G2-ctd-ns","DCM",18,2,"A",2017-06-11 04:54:00,2017-06-11 14:54:00,29.582,-158.002,95,3,9,NA,NA,NA
"S17C3.DCM.0_2um","armbrust_grc_rnaseq_2",367022,"Seq data released","BD15","g2-ctd-ns.S17.C3.DCM.0.2um.B","mgl1704","G2","CTD","G2-ctd-ns","DCM",17,3,"B",2017-06-10 08:57:00,2017-06-10 18:57:00,32.00016667,-158,87,0.2,9.5,NA,NA,NA
"S11C2.DCM.3um","armbrust_grc_rnaseq_2",367023,"Seq data released","BD17","g2-ctd-ns.S11.C2.DCM.3um.B","mgl1704","G2","CTD","G2-ctd-ns","DCM",11,2,"B",2017-06-06 06:01:00,2017-06-06 16:01:00,36.99983333,-158,50,3,10,NA,NA,NA
"S15C2.DCM.0_2um","armbrust_grc_rnaseq_2",367024,"Seq data released","BD20","g2-ctd-ns.S15.C2.DCM.0.2um.B","mgl1704","G2","CTD","G2-ctd-ns","DCM",15,2,"B",2017-06-09 04:56:00,2017-06-09 14:56:00,34.00016667,-158,56,0.2,9,NA,NA,NA
"S11C2.DCM.3um","armbrust_grc_rnaseq_2",367025,"Seq data released","BD21","g2-ctd-ns.S11.C2.DCM.3um.A","mgl1704","G2","CTD","G2-ctd-ns","DCM",11,2,"A",2017-06-06 06:01:00,2017-06-06 16:01:00,36.99983333,-158,50,3,10,NA,NA,NA
"S17C3.DCM.0_2um","armbrust_grc_rnaseq_2",367026,"Seq data released","BD22","g2-ctd-ns.S17.C3.DCM.0.2um.C","mgl1704","G2","CTD","G2-ctd-ns","DCM",17,3,"C",2017-06-10 08:57:00,2017-06-10 18:57:00,32.00016667,-158,87,0.2,9.5,NA,NA,NA
"S17C3.DCM.3um","armbrust_grc_rnaseq_2",367018,"Seq data released","BD3","g2-ctd-ns.S17.C3.DCM.3um.B","mgl1704","G2","CTD","G2-ctd-ns","DCM",17,3,"B",2017-06-10 08:57:00,2017-06-10 18:57:00,32.00016667,-158,87,3,9.5,NA,NA,NA
"S15C2.DCM.3um","armbrust_grc_rnaseq_2",367027,"Seq data released","BD31","g2-ctd-ns.S15.C2.DCM.3um.B","mgl1704","G2","CTD","G2-ctd-ns","DCM",15,2,"B",2017-06-09 04:56:00,2017-06-09 14:56:00,34.00016667,-158,56,3,9,NA,NA,NA
"S18C2.DCM.3um","armbrust_grc_rnaseq_2",367029,"Seq data released","BD40","g2-ctd-ns.S18.C2.DCM.3um.C","mgl1704","G2","CTD","G2-ctd-ns","DCM",18,2,"C",2017-06-11 04:54:00,2017-06-11 14:54:00,29.582,-158.002,95,3,9,NA,NA,NA
"S15C2.DCM.3um","armbrust_grc_rnaseq_2",367030,"Seq data released","BD42","g2-ctd-ns.S15.C2.DCM.3um.C","mgl1704","G2","CTD","G2-ctd-ns","DCM",15,2,"C",2017-06-09 04:56:00,2017-06-09 14:56:00,34.00016667,-158,56,3,9,NA,NA,NA
"S18C2.DCM.0_2um","armbrust_grc_rnaseq_2",367031,"Seq data released","BD43","g2-ctd-ns.S18.C2.DCM.0.2um.A","mgl1704","G2","CTD","G2-ctd-ns","DCM",18,2,"A",2017-06-11 04:54:00,2017-06-11 14:54:00,29.582,-158.002,95,0.2,9,NA,NA,NA
"S15C2.DCM.0_2um","armbrust_grc_rnaseq_2",367032,"Seq data released","BD46","g2-ctd-ns.S15.C2.DCM.0.2um.C","mgl1704","G2","CTD","G2-ctd-ns","DCM",15,2,"C",2017-06-09 04:56:00,2017-06-09 14:56:00,34.00016667,-158,56,0.2,9,NA,NA,NA
