"ID","LookupID","sequencingID","Status","extractionID","SampleID","Cruise","Gradients","Type","project","Dataset","Station","Cast","Replicate","Datetime.local","Datetime.utc","Latitude.dec","Longitude.dec","Depth.m","Filter.um","Volume.L","Treatment","Incubation.time","Notes"
"G2.REXP2.ns.Ctrl.T0.0_2um.B","G2NS.DCM_and_resource_ratios-lookup_armbrust_grc_rnaseq_2",367043,"Seq data released","MS01","g2-inc-ns.S11.rexp2.Ctrl.T0.0.2um.B","mgl1704","G2","RRexp","G2-inc-ns","inc",11,NA,"B",2017-06-06 10:40:00,2017-06-06 20:40:00,36.9,-158,15,0.2,7,"rexp2.Ctrl","T0","Resource ratio incubation"
"G2.REXP2.ns.NPFe.T96.0_2um.B","G2NS.DCM_and_resource_ratios-lookup_armbrust_grc_rnaseq_2",367044,"Seq data released","MS02","g2-inc-ns.S11.rexp2.NPFe.T72.0.2um.B","mgl1704","G2","RRexp","G2-inc-ns","inc",11,NA,"B",2017-06-09 10:00:00,2017-06-09 20:00:00,36.9,-158,15,0.2,8,"rexp2.NPFe","T72","Resource ratio incubation"
"G2.REXP1.ns.LFe.T96.0_2um.C","G2NS.DCM_and_resource_ratios-lookup_armbrust_grc_rnaseq_2",367045,"Seq data released","MS09","g2-inc-ns.S7.rexp1.LFe.T96.0.2um.C","mgl1704","G2","RRexp","G2-inc-ns","inc",7,NA,"C",2017-06-07 15:00:00,2017-06-08 01:00:00,41.4,-158,15,0.2,8,"rexp1.LFe","T96","Resource ratio incubation"
"G2.REXP1.ns.Ctrl.T96.3um.B","G2NS.DCM_and_resource_ratios-lookup_armbrust_grc_rnaseq_2",367046,"Seq data released","MS10","g2-inc-ns.S7.rexp1.Ctrl.T96.3um.B","mgl1704","G2","RRexp","G2-inc-ns","inc",7,NA,"B",2017-06-07 15:00:00,2017-06-08 01:00:00,41.4,-158,15,3,7,"rexp1.Ctrl","T96","Resource ratio incubation"
"G2.REXP3.ns.NPFe.T96.3um.B","G2NS.DCM_and_resource_ratios-lookup_armbrust_grc_rnaseq_2",367103,"Seq data released","MS100","g2-inc-ns.S16.rexp3.NPFe.T72.3um.B","mgl1704","G2","RRexp","G2-inc-ns","inc",16,NA,"B",2017-06-12 12:00:00,2017-06-12 22:00:00,32.9,-158,15,3,7,"rexp3.NPFe","T72","Resource ratio incubation. T0 is S16 - 2017-06-09 16:02:00 local time"
"G2.REXP1.ns.Ctrl.T96.0_2um.A","G2NS.DCM_and_resource_ratios-lookup_armbrust_grc_rnaseq_2",367104,"Seq data released","MS101","g2-inc-ns.S7.rexp1.Ctrl.T96.0.2um.A","mgl1704","G2","RRexp","G2-inc-ns","inc",7,NA,"A",2017-06-07 15:00:00,2017-06-08 01:00:00,41.4,-158,15,0.2,7,"rexp1.Ctrl","T96","Resource ratio incubation"
"G2.REXP1.ns.Ctrl.T96.0_2um.C","G2NS.DCM_and_resource_ratios-lookup_armbrust_grc_rnaseq_2",367105,"Seq data released","MS102","g2-inc-ns.S7.rexp1.Ctrl.T96.0.2um.C","mgl1704","G2","RRexp","G2-inc-ns","inc",7,NA,"C",2017-06-07 15:00:00,2017-06-08 01:00:00,41.4,-158,15,0.2,8,"rexp1.Ctrl","T96","Resource ratio incubation"
"G2.REXP3.ns.Ctrl.T96.3um.B","G2NS.DCM_and_resource_ratios-lookup_armbrust_grc_rnaseq_2",367106,"Seq data released","MS103","g2-inc-ns.S16.rexp3.Ctrl.T72.3um.B","mgl1704","G2","RRexp","G2-inc-ns","inc",16,NA,"B",2017-06-12 12:00:00,2017-06-12 22:00:00,32.9,-158,15,3,7.5,"rexp3.Ctrl","T72","Resource ratio incubation. T0 is S16 - 2017-06-09 16:02:00 local time"
"G2.REXP3.ns.NPFe.T96.0_2um.C","G2NS.DCM_and_resource_ratios-lookup_armbrust_grc_rnaseq_2",367107,"Seq data released","MS104","g2-inc-ns.S16.rexp3.NPFe.T72.0.2um.C","mgl1704","G2","RRexp","G2-inc-ns","inc",16,NA,"C",2017-06-12 12:00:00,2017-06-12 22:00:00,32.9,-158,15,0.2,8,"rexp3.NPFe","T72","Resource ratio incubation. T0 is S16 - 2017-06-09 16:02:00 local time"
"G2.REXP1.ns.Ctrl.T96.3um.C","G2NS.DCM_and_resource_ratios-lookup_armbrust_grc_rnaseq_2",367108,"Seq data released","MS105","g2-inc-ns.S7.rexp1.Ctrl.T96.3um.C","mgl1704","G2","RRexp","G2-inc-ns","inc",7,NA,"C",2017-06-07 15:00:00,2017-06-08 01:00:00,41.4,-158,15,3,8,"rexp1.Ctrl","T96","Resource ratio incubation"
"G2.REXP1.ns.Ctrl.T0.3um.B","G2NS.DCM_and_resource_ratios-lookup_armbrust_grc_rnaseq_2",367109,"Seq data released","MS106","g2-inc-ns.S7.rexp1.Ctrl.T0.3um.B","mgl1704","G2","RRexp","G2-inc-ns","inc",7,NA,"B",2017-06-03 15:20:00,2017-06-04 01:20:00,41.4,-158,15,3,5,"rexp1.Ctrl","T0","Resource ratio incubation"
"G2.REXP1.ns.Ctrl.T0.0_2um.A","G2NS.DCM_and_resource_ratios-lookup_armbrust_grc_rnaseq_2",367110,"Seq data released","MS107","g2-inc-ns.S7.rexp1.Ctrl.T0.0.2um.A","mgl1704","G2","RRexp","G2-inc-ns","inc",7,NA,"A",2017-06-03 15:20:00,2017-06-04 01:20:00,41.4,-158,15,0.2,5,"rexp1.Ctrl","T0","Resource ratio incubation"
"G2.REXP2.ns.NPFe.T96.3um.C","G2NS.DCM_and_resource_ratios-lookup_armbrust_grc_rnaseq_2",367111,"Seq data released","MS108","g2-inc-ns.S11.rexp2.NPFe.T72.3um.C","mgl1704","G2","RRexp","G2-inc-ns","inc",11,NA,"C",2017-06-09 10:00:00,2017-06-09 20:00:00,36.9,-158,15,3,6,"rexp2.NPFe","T72","Resource ratio incubation"
"G2.REXP2.ns.NPFe.T96.0_2um.C","G2NS.DCM_and_resource_ratios-lookup_armbrust_grc_rnaseq_2",367047,"Seq data released","MS11","g2-inc-ns.S11.rexp2.NPFe.T72.0.2um.C","mgl1704","G2","RRexp","G2-inc-ns","inc",11,NA,"C",2017-06-09 10:00:00,2017-06-09 20:00:00,36.9,-158,15,0.2,6,"rexp2.NPFe","T72","Resource ratio incubation"
"G2.REXP1.ns.Ctrl.T0.0_2um.C","G2NS.DCM_and_resource_ratios-lookup_armbrust_grc_rnaseq_2",367112,"Seq data released","MS110","g2-inc-ns.S7.rexp1.Ctrl.T0.0.2um.C","mgl1704","G2","RRexp","G2-inc-ns","inc",7,NA,"C",2017-06-03 15:20:00,2017-06-04 01:20:00,41.4,-158,15,0.2,5,"rexp1.Ctrl","T0","Resource ratio incubation"
"G2.REXP1.ns.Ctrl.T0.0_2um.B","G2NS.DCM_and_resource_ratios-lookup_armbrust_grc_rnaseq_2",367114,"Seq data released","MS112","g2-inc-ns.S7.rexp1.Ctrl.T0.0.2um.B","mgl1704","G2","RRexp","G2-inc-ns","inc",7,NA,"B",2017-06-03 15:20:00,2017-06-04 01:20:00,41.4,-158,15,0.2,5,"rexp1.Ctrl","T0","Resource ratio incubation"
"G2.REXP2.ns.Fe.T96.3um.C","G2NS.DCM_and_resource_ratios-lookup_armbrust_grc_rnaseq_2",367116,"Seq data released","MS115","g2-inc-ns.S11.rexp2.Fe.T72.3um.C","mgl1704","G2","RRexp","G2-inc-ns","inc",11,NA,"C",2017-06-09 10:00:00,2017-06-09 20:00:00,36.9,-158,15,3,6,"rexp2.Fe","T72","Resource ratio incubation"
"G2.REXP3.ns.NPFe.T96.3um.C","G2NS.DCM_and_resource_ratios-lookup_armbrust_grc_rnaseq_2",367117,"Seq data released","MS116","g2-inc-ns.S16.rexp3.NPFe.T72.3um.C","mgl1704","G2","RRexp","G2-inc-ns","inc",16,NA,"C",2017-06-12 12:00:00,2017-06-12 22:00:00,32.9,-158,15,3,8,"rexp3.NPFe","T72","Resource ratio incubation. T0 is S16 - 2017-06-09 16:02:00 local time"
"G2.REXP1.ns.LFe.T96.3um.C","G2NS.DCM_and_resource_ratios-lookup_armbrust_grc_rnaseq_2",367118,"Seq data released","MS117","g2-inc-ns.S7.rexp1.LFe.T96.3um.C","mgl1704","G2","RRexp","G2-inc-ns","inc",7,NA,"C",2017-06-07 15:00:00,2017-06-08 01:00:00,41.4,-158,15,3,8,"rexp1.LFe","T96","Resource ratio incubation"
"G2.REXP2.ns.NP.T96.3um.B","G2NS.DCM_and_resource_ratios-lookup_armbrust_grc_rnaseq_2",367119,"Seq data released","MS118","g2-inc-ns.S11.rexp2.NP.T72.3um.B","mgl1704","G2","RRexp","G2-inc-ns","inc",11,NA,"B",2017-06-09 10:00:00,2017-06-09 20:00:00,36.9,-158,15,3,7,"rexp2.NP","T72","Resource ratio incubation"
"G2.REXP1.ns.HFe.T96.3um.B","G2NS.DCM_and_resource_ratios-lookup_armbrust_grc_rnaseq_2",367120,"Seq data released","MS119","g2-inc-ns.S7.rexp1.HFe.T96.3um.B","mgl1704","G2","RRexp","G2-inc-ns","inc",7,NA,"B",2017-06-07 15:00:00,2017-06-08 01:00:00,41.4,-158,15,3,7,"rexp1.HFe","T96","Resource ratio incubation"
"G2.REXP3.ns.HiNP.T96.0_2um.C","G2NS.DCM_and_resource_ratios-lookup_armbrust_grc_rnaseq_2",367048,"Seq data released","MS12","g2-inc-ns.S16.rexp3.HiNP.T72.0.2um.C","mgl1704","G2","RRexp","G2-inc-ns","inc",16,NA,"C",2017-06-12 12:00:00,2017-06-12 22:00:00,32.9,-158,15,0.2,8,"rexp3.HiNP","T72","Resource ratio incubation. T0 is S16 - 2017-06-09 16:02:00 local time"
"G2.REXP2.ns.Ctrl.T96.0_2um.B","G2NS.DCM_and_resource_ratios-lookup_armbrust_grc_rnaseq_2",367049,"Seq data released","MS13","g2-inc-ns.S11.rexp2.Ctrl.T72.0.2um.B","mgl1704","G2","RRexp","G2-inc-ns","inc",11,NA,"B",2017-06-09 10:00:00,2017-06-09 20:00:00,36.9,-158,15,0.2,8,"rexp2.Ctrl","T72","Resource ratio incubation"
"G2.REXP3.ns.HiNP.T96.0_2um.B","G2NS.DCM_and_resource_ratios-lookup_armbrust_grc_rnaseq_2",367050,"Seq data released","MS14","g2-inc-ns.S16.rexp3.HiNP.T72.0.2um.B","mgl1704","G2","RRexp","G2-inc-ns","inc",16,NA,"B",2017-06-12 12:00:00,2017-06-12 22:00:00,32.9,-158,15,0.2,7,"rexp3.HiNP","T72","Resource ratio incubation. T0 is S16 - 2017-06-09 16:02:00 local time"
