ID,LookupID,sequencingID,Status,extractionID,SampleID,Cruise,Gradients,Type,project,Dataset,Station,Cast,Replicate,Datetime.local,Datetime.utc,Latitude.dec,Longitude.dec,Depth.m,Filter.um,Volume.L,Treatment,Incubation.time,Notes
S11C1Surf0.2umA,3690_Morales_60plex_depletion,301429,NA,NA,g2-st-am-ns.S11.C1.0.2um.A,mgl1704,G2,transect,G2-st-am-ns,AM,11,1,A,6/6/17 4:21,6/6/17 14:21,36.99983333,-158,15,0.2,10,NA,NA,none
S11C1Surf0.2umB,3690_Morales_60plex_depletion,301411,NA,NA,g2-st-am-ns.S11.C1.0.2um.B,mgl1704,G2,transect,G2-st-am-ns,AM,11,1,B,6/6/17 4:21,6/6/17 14:21,36.99983333,-158,15,0.2,9,NA,NA,none
S11C1Surf0.2umC,3690_Morales_60plex_depletion,301372,NA,NA,g2-st-am-ns.S11.C1.0.2um.C,mgl1704,G2,transect,G2-st-am-ns,AM,11,1,C,6/6/17 4:21,6/6/17 14:21,36.99983333,-158,15,0.2,10,NA,NA,none
S11C1Surf3umA,3690_Morales_60plex_depletion,301409,NA,NA,g2-st-am-ns.S11.C1.3um.A,mgl1704,G2,transect,G2-st-am-ns,AM,11,1,A,6/6/17 4:21,6/6/17 14:21,36.99983333,-158,15,3,10,NA,NA,none
S11C1Surf3umB,3690_Morales_60plex_depletion,301407,NA,NA,g2-st-am-ns.S11.C1.3um.B,mgl1704,G2,transect,G2-st-am-ns,AM,11,1,B,6/6/17 4:21,6/6/17 14:21,36.99983333,-158,15,3,9,NA,NA,none
S11C1Surf3umC,3690_Morales_60plex_depletion,301402,NA,NA,g2-st-am-ns.S11.C1.3um.C,mgl1704,G2,transect,G2-st-am-ns,AM,11,1,C,6/6/17 4:21,6/6/17 14:21,36.99983333,-158,15,3,10,NA,NA,none
S15C1Surf0.2umA,3690_Morales_60plex_depletion,301423,NA,NA,g2-st-am-ns.S15.C1.0.2um.A,mgl1704,G2,transect,G2-st-am-ns,AM,15,1,A,6/9/17 3:31,6/9/17 13:31,34.00016667,-158,15,0.2,9,NA,NA,none
S15C1Surf0.2umB,3690_Morales_60plex_depletion,301385,NA,NA,g2-st-am-ns.S15.C1.0.2um.B,mgl1704,G2,transect,G2-st-am-ns,AM,15,1,B,6/9/17 3:31,6/9/17 13:31,34.00016667,-158,15,0.2,9,NA,NA,none
S15C1Surf0.2umC,3690_Morales_60plex_depletion,301396,NA,NA,g2-st-am-ns.S15.C1.0.2um.C,mgl1704,G2,transect,G2-st-am-ns,AM,15,1,C,6/9/17 3:31,6/9/17 13:31,34.00016667,-158,15,0.2,9,NA,NA,none
S15C1Surf3umA,3690_Morales_60plex_depletion,301422,NA,NA,g2-st-am-ns.S15.C1.3um.A,mgl1704,G2,transect,G2-st-am-ns,AM,15,1,A,6/9/17 3:31,6/9/17 13:31,34.00016667,-158,15,3,9,NA,NA,none
