"ID","LookupID","sequencingID","Status","extractionID","SampleID","Cruise","Gradients","Type","project","Dataset","Station","Cast","Replicate","Datetime.local","Datetime.utc","Latitude.dec","Longitude.dec","Depth.m","Filter.um","Volume.L","Treatment","Incubation.time","Notes"
"S4C6 A 15m","armbrust_grc_rnaseq_6",442890,NA,"DP18","g3-ctd-pa.S4.C6.15m.A","km1906","G3","CTD","G3-ctd-pa","15m",4,6,"A",2019-04-16 08:11:00,2019-04-16 18:11:00,41.67,-158.05,15,0.2,7,NA,NA,NA
"S4C6 A 75m","armbrust_grc_rnaseq_6",442882,NA,"DP9","g3-ctd-pa.S4.C6.75m.A","km1906","G3","CTD","G3-ctd-pa","75m",4,6,"A",2019-04-16 08:00:00,2019-04-16 18:00:00,41.67,-158.05,75,0.2,6.5,NA,NA,NA
"S4C6 A DCM","armbrust_grc_rnaseq_6",442892,NA,"DP20","g3-ctd-pa.S4.C6.DCM.A","km1906","G3","CTD","G3-ctd-pa","DCM",4,6,"A",2019-04-16 08:03:00,2019-04-16 18:03:00,41.67,-158.05,50,0.2,4.5,NA,NA,NA
"S4C6 B 15m","armbrust_grc_rnaseq_6",442883,NA,"DP10","g3-ctd-pa.S4.C6.15m.B","km1906","G3","CTD","G3-ctd-pa","15m",4,6,"B",2019-04-16 08:11:00,2019-04-16 18:11:00,41.67,-158.05,15,0.2,7,NA,NA,NA
"S4C6 B 75m","armbrust_grc_rnaseq_6",442881,NA,"DP8","g3-ctd-pa.S4.C6.75m.B","km1906","G3","CTD","G3-ctd-pa","75m",4,6,"B",2019-04-16 08:00:00,2019-04-16 18:00:00,41.67,-158.05,75,0.2,8,NA,NA,NA
"S4C6 B DCM","armbrust_grc_rnaseq_6",442885,NA,"DP13","g3-ctd-pa.S4.C6.DCM.B","km1906","G3","CTD","G3-ctd-pa","DCM",4,6,"B",2019-04-16 08:03:00,2019-04-16 18:03:00,41.67,-158.05,50,0.2,6,NA,NA,NA
"S5C6 125m A","armbrust_grc_rnaseq_6",442878,NA,"DP5","g3-ctd-pa.S5.C8.125m.A","km1906","G3","CTD","G3-ctd-pa","125m",5,8,"A",2019-04-20 07:56:00,2019-04-20 17:56:00,37,-158,125,0.2,9.5,NA,NA,NA
"S5C6 125m B","armbrust_grc_rnaseq_6",442886,NA,"DP14","g3-ctd-pa.S5.C8.125m.B","km1906","G3","CTD","G3-ctd-pa","125m",5,8,"B",2019-04-20 07:56:00,2019-04-20 17:56:00,37,-158,125,0.2,7,NA,NA,NA
"S5C6 15m A","armbrust_grc_rnaseq_6",442893,NA,"DP21","g3-ctd-pa.S5.C8.15m.A","km1906","G3","CTD","G3-ctd-pa","15m",5,8,"A",2019-04-20 08:05:00,2019-04-20 18:05:00,37,-158,15,0.2,8,NA,NA,NA
"S5C6 15m B","armbrust_grc_rnaseq_6",442875,NA,"DP2","g3-ctd-pa.S5.C8.15m.B","km1906","G3","CTD","G3-ctd-pa","15m",5,8,"B",2019-04-20 08:05:00,2019-04-20 18:05:00,37,-158,15,0.2,6.75,NA,NA,NA
"S5C6 DCM A","armbrust_grc_rnaseq_6",442896,NA,"DP24","g3-ctd-pa.S5.C8.DCM.A","km1906","G3","CTD","G3-ctd-pa","DCM",5,8,"A",2019-04-20 08:00:00,2019-04-20 18:00:00,37,-158,55,0.2,8,NA,NA,NA
