"ID","LookupID","sequencingID","Status","extractionID","SampleID","Cruise","Gradients","Type","project","Dataset","Station","Cast","Replicate","Datetime.local","Datetime.utc","Latitude.dec","Longitude.dec","Depth.m","Filter.um","Volume.L","Treatment","Incubation.time","Notes"
NA,"armbrust_grc_rnaseq_9",642930,"Seq data available","D1","g3-diel-ns.S4.C15.03h.C","km1906","G3","diel","G3-diel-ns","03",4,15,"C",2019-04-17 02:58:00,2019-04-17 12:58:00,41.62,-157.92,15,0.2,8,NA,NA,"diel"
NA,"armbrust_grc_rnaseq_9",642939,"Seq data available","D10","g3-diel-ns.S4.C21.17h.A","km1906","G3","diel","G3-diel-ns","17",4,21,"A",2019-04-17 17:25:00,2019-04-18 03:25:00,41.6,-157.9,15,0.2,9.25,NA,NA,"diel"
NA,"armbrust_grc_rnaseq_9",642940,"Seq data available","D11","g3-diel-ns.S4.C11.18h.C","km1906","G3","diel","G3-diel-ns","18",4,11,"C",2019-04-16 17:42:00,2019-04-17 03:42:00,41.67,-158.03,15,0.2,10,NA,NA,"diel"
NA,"armbrust_grc_rnaseq_9",642941,"Seq data available","D12","g3-diel-ns.S4.C21.17h.C","km1906","G3","diel","G3-diel-ns","17",4,21,"C",2019-04-17 17:25:00,2019-04-18 03:25:00,41.6,-157.9,15,0.2,10,NA,NA,"diel"
NA,"armbrust_grc_rnaseq_9",642942,"Seq data available","D13","g3-diel-ns.S4.C18.10h.C","km1906","G3","diel","G3-diel-ns","10",4,18,"C",2019-04-17 09:50:00,2019-04-17 19:50:00,41.65,-157.93,15,0.2,9.75,NA,NA,"diel"
NA,"armbrust_grc_rnaseq_9",642943,"Seq data available","D14","g3-diel-ns.S4.C3.03h.C","km1906","G3","diel","G3-diel-ns","03",4,3,"C",2019-04-16 03:16:00,2019-04-16 13:16:00,41.67,-158.03,15,0.2,7,NA,NA,"diel"
NA,"armbrust_grc_rnaseq_9",642944,"Seq data available","D18","g3-diel-ns.S4.C18.10h.A","km1906","G3","diel","G3-diel-ns","10",4,18,"A",2019-04-17 09:50:00,2019-04-17 19:50:00,41.65,-157.93,15,0.2,10,NA,NA,"diel"
NA,"armbrust_grc_rnaseq_9",642931,"Seq data available","D2","g3-diel-ns.S4.C23.21h.A","km1906","G3","diel","G3-diel-ns","21",4,23,"A",2019-04-17 21:20:00,2019-04-18 07:20:00,41.63,-157.9,15,0.2,9.5,NA,NA,"diel"
NA,"armbrust_grc_rnaseq_9",642945,"Seq data available","D20","g3-diel-ns.S4.C8.14h.B","km1906","G3","diel","G3-diel-ns","14",4,8,"B",2019-04-16 13:39:00,2019-04-16 23:39:00,41.67,-158.05,15,0.2,8.5,NA,NA,"diel"
NA,"armbrust_grc_rnaseq_9",642946,"Seq data available","D21","g3-diel-ns.S4.C30.08h.C","km1906","G3","diel","G3-diel-ns","08",4,30,"C",2019-04-18 08:14:00,2019-04-18 18:14:00,41.6,-157.88,15,0.2,9.5,NA,NA,"diel"
NA,"armbrust_grc_rnaseq_9",642947,"Seq data available","D22","g3-diel-ns.S4.C4.06h.A","km1906","G3","diel","G3-diel-ns","06",4,4,"A",2019-04-16 06:10:00,2019-04-16 16:10:00,41.67,-158.05,15,0.2,6,NA,NA,"diel"
NA,"armbrust_grc_rnaseq_9",642948,"Seq data available","D23","g3-diel-ns.S4.C15.03h.B","km1906","G3","diel","G3-diel-ns","03",4,15,"B",2019-04-17 02:58:00,2019-04-17 12:58:00,41.62,-157.92,15,0.2,6.5,NA,NA,"diel"
NA,"armbrust_grc_rnaseq_9",642949,"Seq data available","D24","g3-diel-ns.S4.C19.14h.B","km1906","G3","diel","G3-diel-ns","14",4,19,"B",2019-04-17 13:37:00,2019-04-17 23:37:00,41.65,-157.93,15,0.2,10,NA,NA,"diel"
NA,"armbrust_grc_rnaseq_9",642950,"Seq data available","D25","g3-diel-ns.S4.C31.12h.A","km1906","G3","diel","G3-diel-ns","12",4,31,"A",2019-04-18 12:06:00,2019-04-18 22:06:00,41.58,-157.87,15,0.2,8.5,NA,NA,"diel"
NA,"armbrust_grc_rnaseq_9",642951,"Seq data available","D26","g3-diel-ns.S4.C21.17h.B","km1906","G3","diel","G3-diel-ns","17",4,21,"B",2019-04-17 17:25:00,2019-04-18 03:25:00,41.6,-157.9,15,0.2,9.75,NA,NA,"diel"
NA,"armbrust_grc_rnaseq_9",642952,"Seq data available","D27","g3-diel-ns.S4.C25.01h.B","km1906","G3","diel","G3-diel-ns","01",4,25,"B",2019-04-18 01:27:00,2019-04-18 11:27:00,41.58,-157.92,15,0.2,9,NA,NA,"diel"
NA,"armbrust_grc_rnaseq_9",642953,"Seq data available","D28","g3-diel-ns.S4.C8.14h.A","km1906","G3","diel","G3-diel-ns","14",4,8,"A",2019-04-16 13:39:00,2019-04-16 23:39:00,41.67,-158.05,15,0.2,9,NA,NA,"diel"
NA,"armbrust_grc_rnaseq_9",642954,"Seq data available","D29","g3-diel-ns.S4.C11.18h.B","km1906","G3","diel","G3-diel-ns","18",4,11,"B",2019-04-16 17:42:00,2019-04-17 03:42:00,41.67,-158.03,15,0.2,10,NA,NA,"diel"
NA,"armbrust_grc_rnaseq_9",642932,"Seq data available","D3","g3-diel-ns.S4.C28.05h.C","km1906","G3","diel","G3-diel-ns","05",4,28,"C",2019-04-18 05:22:00,2019-04-18 15:22:00,41.58,-157.9,15,0.2,9.75,NA,NA,"diel"
NA,"armbrust_grc_rnaseq_9",642955,"Seq data available","D30","g3-diel-ns.S4.C31.12h.C","km1906","G3","diel","G3-diel-ns","12",4,31,"C",2019-04-18 12:06:00,2019-04-18 22:06:00,41.58,-157.87,15,0.2,10,NA,NA,"diel"
NA,"armbrust_grc_rnaseq_9",642956,"Seq data available","D31","g3-diel-ns.S4.C16.06h.B","km1906","G3","diel","G3-diel-ns","06",4,16,"B",2019-04-17 05:58:00,2019-04-17 15:58:00,41.62,-157.92,15,0.2,8,NA,NA,"diel"
NA,"armbrust_grc_rnaseq_9",642957,"Seq data available","D32","g3-diel-ns.S4.C13.23h.B","km1906","G3","diel","G3-diel-ns","23",4,13,"B",2019-04-16 23:07:00,2019-04-17 09:07:00,41.63,-157.92,15,0.2,9.5,NA,NA,"diel"
NA,"armbrust_grc_rnaseq_9",642958,"Seq data available","D33","g3-diel-ns.S4.C16.06h.C","km1906","G3","diel","G3-diel-ns","06",4,16,"C",2019-04-17 05:58:00,2019-04-17 15:58:00,41.62,-157.92,15,0.2,10,NA,NA,"diel"
NA,"armbrust_grc_rnaseq_9",642959,"Seq data available","D34","g3-diel-ns.S4.C18.10h.B","km1906","G3","diel","G3-diel-ns","10",4,18,"B",2019-04-17 09:50:00,2019-04-17 19:50:00,41.65,-157.93,15,0.2,10,NA,NA,"diel"
NA,"armbrust_grc_rnaseq_9",642960,"Seq data available","D35","g3-diel-ns.S4.C23.21h.C","km1906","G3","diel","G3-diel-ns","21",4,23,"C",2019-04-17 21:20:00,2019-04-18 07:20:00,41.63,-157.9,15,0.2,8.5,NA,NA,"diel"
NA,"armbrust_grc_rnaseq_9",642961,"Seq data available","D36","g3-diel-ns.S4.C30.08h.B","km1906","G3","diel","G3-diel-ns","08",4,30,"B",2019-04-18 08:14:00,2019-04-18 18:14:00,41.6,-157.88,15,0.2,6,NA,NA,"diel"
NA,"armbrust_grc_rnaseq_9",642962,"Seq data available","D37","g3-diel-ns.S4.C8.14h.C","km1906","G3","diel","G3-diel-ns","14",4,8,"C",2019-04-16 13:39:00,2019-04-16 23:39:00,41.67,-158.05,15,0.2,10,NA,NA,"diel"
NA,"armbrust_grc_rnaseq_9",642963,"Seq data available","D38","g3-diel-ns.S4.C3.03h.B","km1906","G3","diel","G3-diel-ns","03",4,3,"B",2019-04-16 03:16:00,2019-04-16 13:16:00,41.67,-158.03,15,0.2,7,NA,NA,"diel"
NA,"armbrust_grc_rnaseq_9",642964,"Seq data available","D39","g3-diel-ns.S4.C7.10h.C","km1906","G3","diel","G3-diel-ns","10",4,7,"C",2019-04-16 09:36:00,2019-04-16 19:36:00,41.67,-158.05,15,0.2,10,NA,NA,"diel"
NA,"armbrust_grc_rnaseq_9",642933,"Seq data available","D4","g3-diel-ns.S4.C13.23h.C","km1906","G3","diel","G3-diel-ns","23",4,13,"C",2019-04-16 23:07:00,2019-04-17 09:07:00,41.63,-157.92,15,0.2,9.5,NA,NA,"diel"
