"ID","LookupID","sequencingID","Status","extractionID","SampleID","Cruise","Gradients","Type","project","Dataset","Station","Cast","Replicate","Datetime.local","Datetime.utc","Latitude.dec","Longitude.dec","Depth.m","Filter.um","Volume.L","Treatment","Incubation.time","Notes"
"S4C11 A","armbrust_grc_rnaseq_4",390043,NA,"D42","g3-diel-pa.S4.C11.18h.A","km1906","G3","diel","G3-diel-pa","18",4,11,"A",2019-04-16 17:42:00,2019-04-17 03:42:00,41.67,-158.03,15,0.2,8.5,NA,NA,"diel"
"S4C11 B","armbrust_grc_rnaseq_4",390030,NA,"D29","g3-diel-pa.S4.C11.18h.B","km1906","G3","diel","G3-diel-pa","18",4,11,"B",2019-04-16 17:42:00,2019-04-17 03:42:00,41.67,-158.03,15,0.2,10,NA,NA,"diel"
"S4C11 C","armbrust_grc_rnaseq_4",390016,NA,"D11","g3-diel-pa.S4.C11.18h.C","km1906","G3","diel","G3-diel-pa","18",4,11,"C",2019-04-16 17:42:00,2019-04-17 03:42:00,41.67,-158.03,15,0.2,10,NA,NA,"diel"
"S4C13 A","armbrust_grc_rnaseq_4",390047,NA,"D46","g3-diel-pa.S4.C13.23h.A","km1906","G3","diel","G3-diel-pa","23",4,13,"A",2019-04-16 23:07:00,2019-04-17 09:07:00,41.63,-157.92,15,0.2,9.5,NA,NA,"diel"
"S4C13 B","armbrust_grc_rnaseq_4",390033,NA,"D32","g3-diel-pa.S4.C13.23h.B","km1906","G3","diel","G3-diel-pa","23",4,13,"B",2019-04-16 23:07:00,2019-04-17 09:07:00,41.63,-157.92,15,0.2,9.5,NA,NA,"diel"
"S4C13 C","armbrust_grc_rnaseq_4",390009,NA,"D4","g3-diel-pa.S4.C13.23h.C","km1906","G3","diel","G3-diel-pa","23",4,13,"C",2019-04-16 23:07:00,2019-04-17 09:07:00,41.63,-157.92,15,0.2,9.5,NA,NA,"diel"
"S4C15 A","armbrust_grc_rnaseq_4",390012,NA,"D7","g3-diel-pa.S4.C15.03h.A","km1906","G3","diel","G3-diel-pa","03",4,15,"A",2019-04-17 02:58:00,2019-04-17 12:58:00,41.62,-157.92,15,0.2,7,NA,NA,"diel"
"S4C15 B","armbrust_grc_rnaseq_4",390024,NA,"D23","g3-diel-pa.S4.C15.03h.B","km1906","G3","diel","G3-diel-pa","03",4,15,"B",2019-04-17 02:58:00,2019-04-17 12:58:00,41.62,-157.92,15,0.2,6.5,NA,NA,"diel"
"S4C15 C","armbrust_grc_rnaseq_4",390006,NA,"D1","g3-diel-pa.S4.C15.03h.C","km1906","G3","diel","G3-diel-pa","03",4,15,"C",2019-04-17 02:58:00,2019-04-17 12:58:00,41.62,-157.92,15,0.2,8,NA,NA,"diel"
"S4C16 B","armbrust_grc_rnaseq_4",390032,NA,"D31","g3-diel-pa.S4.C16.06h.B","km1906","G3","diel","G3-diel-pa","06",4,16,"B",2019-04-17 05:58:00,2019-04-17 15:58:00,41.62,-157.92,15,0.2,8,NA,NA,"diel"
"S4C16 C","armbrust_grc_rnaseq_4",390034,NA,"D33","g3-diel-pa.S4.C16.06h.C","km1906","G3","diel","G3-diel-pa","06",4,16,"C",2019-04-17 05:58:00,2019-04-17 15:58:00,41.62,-157.92,15,0.2,10,NA,NA,"diel"
"S4C18 A","armbrust_grc_rnaseq_4",390020,NA,"D18","g3-diel-pa.S4.C18.10h.A","km1906","G3","diel","G3-diel-pa","10",4,18,"A",2019-04-17 09:50:00,2019-04-17 19:50:00,41.65,-157.93,15,0.2,10,NA,NA,"diel"
"S4C18 B","armbrust_grc_rnaseq_4",390035,NA,"D34","g3-diel-pa.S4.C18.10h.B","km1906","G3","diel","G3-diel-pa","10",4,18,"B",2019-04-17 09:50:00,2019-04-17 19:50:00,41.65,-157.93,15,0.2,10,NA,NA,"diel"
"S4C18 C","armbrust_grc_rnaseq_4",390018,NA,"D13","g3-diel-pa.S4.C18.10h.C","km1906","G3","diel","G3-diel-pa","10",4,18,"C",2019-04-17 09:50:00,2019-04-17 19:50:00,41.65,-157.93,15,0.2,9.75,NA,NA,"diel"
"S4C19 A","armbrust_grc_rnaseq_4",390042,NA,"D41","g3-diel-pa.S4.C19.14h.A","km1906","G3","diel","G3-diel-pa","14",4,19,"A",2019-04-17 13:37:00,2019-04-17 23:37:00,41.65,-157.93,15,0.2,9.25,NA,NA,"diel"
"S4C19 B","armbrust_grc_rnaseq_4",390025,NA,"D24","g3-diel-pa.S4.C19.14h.B","km1906","G3","diel","G3-diel-pa","14",4,19,"B",2019-04-17 13:37:00,2019-04-17 23:37:00,41.65,-157.93,15,0.2,10,NA,NA,"diel"
"S4C19 C","armbrust_grc_rnaseq_4",390044,NA,"D43","g3-diel-pa.S4.C19.14h.C","km1906","G3","diel","G3-diel-pa","14",4,19,"C",2019-04-17 13:37:00,2019-04-17 23:37:00,41.65,-157.93,15,0.2,10,NA,NA,"diel"
"S4C21 A","armbrust_grc_rnaseq_4",390015,NA,"D10","g3-diel-pa.S4.C21.17h.A","km1906","G3","diel","G3-diel-pa","17",4,21,"A",2019-04-17 17:25:00,2019-04-18 03:25:00,41.6,-157.9,15,0.2,9.25,NA,NA,"diel"
"S4C21 B","armbrust_grc_rnaseq_4",390027,NA,"D26","g3-diel-pa.S4.C21.17h.B","km1906","G3","diel","G3-diel-pa","17",4,21,"B",2019-04-17 17:25:00,2019-04-18 03:25:00,41.6,-157.9,15,0.2,9.75,NA,NA,"diel"
"S4C21 C","armbrust_grc_rnaseq_4",390017,NA,"D12","g3-diel-pa.S4.C21.17h.C","km1906","G3","diel","G3-diel-pa","17",4,21,"C",2019-04-17 17:25:00,2019-04-18 03:25:00,41.6,-157.9,15,0.2,10,NA,NA,"diel"
"S4C23 A","armbrust_grc_rnaseq_4",390007,NA,"D2","g3-diel-pa.S4.C23.21h.A","km1906","G3","diel","G3-diel-pa","21",4,23,"A",2019-04-17 21:20:00,2019-04-18 07:20:00,41.63,-157.9,15,0.2,9.5,NA,NA,"diel"
"S4C23 C","armbrust_grc_rnaseq_4",390036,NA,"D35","g3-diel-pa.S4.C23.21h.C","km1906","G3","diel","G3-diel-pa","21",4,23,"C",2019-04-17 21:20:00,2019-04-18 07:20:00,41.63,-157.9,15,0.2,8.5,NA,NA,"diel"
"S4C25 A","armbrust_grc_rnaseq_4",390049,NA,"D48","g3-diel-pa.S4.C25.01h.A","km1906","G3","diel","G3-diel-pa","01",4,25,"A",2019-04-18 01:27:00,2019-04-18 11:27:00,41.58,-157.92,15,0.2,8.5,NA,NA,"diel"
"S4C25 B","armbrust_grc_rnaseq_4",390028,NA,"D27","g3-diel-pa.S4.C25.01h.B","km1906","G3","diel","G3-diel-pa","01",4,25,"B",2019-04-18 01:27:00,2019-04-18 11:27:00,41.58,-157.92,15,0.2,9,NA,NA,"diel"
"S4C28 A","armbrust_grc_rnaseq_4",390011,NA,"D6","g3-diel-pa.S4.C28.05h.A","km1906","G3","diel","G3-diel-pa","05",4,28,"A",2019-04-18 05:22:00,2019-04-18 15:22:00,41.58,-157.9,15,0.2,9.75,NA,NA,"diel"
"S4C28 B","armbrust_grc_rnaseq_4",390041,NA,"D40","g3-diel-pa.S4.C28.05h.B","km1906","G3","diel","G3-diel-pa","05",4,28,"B",2019-04-18 05:22:00,2019-04-18 15:22:00,41.58,-157.9,15,0.2,10,NA,NA,"diel"
"S4C28 C","armbrust_grc_rnaseq_4",390008,NA,"D3","g3-diel-pa.S4.C28.05h.C","km1906","G3","diel","G3-diel-pa","05",4,28,"C",2019-04-18 05:22:00,2019-04-18 15:22:00,41.58,-157.9,15,0.2,9.75,NA,NA,"diel"
"S4C3 A","armbrust_grc_rnaseq_4",390048,NA,"D47","g3-diel-pa.S4.C3.03h.A","km1906","G3","diel","G3-diel-pa","03",4,3,"A",2019-04-16 03:16:00,2019-04-16 13:16:00,41.67,-158.03,15,0.2,6,NA,NA,"diel"
"S4C3 B","armbrust_grc_rnaseq_4",390039,NA,"D38","g3-diel-pa.S4.C3.03h.B","km1906","G3","diel","G3-diel-pa","03",4,3,"B",2019-04-16 03:16:00,2019-04-16 13:16:00,41.67,-158.03,15,0.2,7,NA,NA,"diel"
"S4C3 C","armbrust_grc_rnaseq_4",390019,NA,"D14","g3-diel-pa.S4.C3.03h.C","km1906","G3","diel","G3-diel-pa","03",4,3,"C",2019-04-16 03:16:00,2019-04-16 13:16:00,41.67,-158.03,15,0.2,7,NA,NA,"diel"
"S4C30 A","armbrust_grc_rnaseq_4",390010,NA,"D5","g3-diel-pa.S4.C30.08h.A","km1906","G3","diel","G3-diel-pa","08",4,30,"A",2019-04-18 08:14:00,2019-04-18 18:14:00,41.6,-157.88,15,0.2,9.5,NA,NA,"diel"
"S4C30 B","armbrust_grc_rnaseq_4",390037,NA,"D36","g3-diel-pa.S4.C30.08h.B","km1906","G3","diel","G3-diel-pa","08",4,30,"B",2019-04-18 08:14:00,2019-04-18 18:14:00,41.6,-157.88,15,0.2,6,NA,NA,"diel"
"S4C30 C","armbrust_grc_rnaseq_4",390022,NA,"D21","g3-diel-pa.S4.C30.08h.C","km1906","G3","diel","G3-diel-pa","08",4,30,"C",2019-04-18 08:14:00,2019-04-18 18:14:00,41.6,-157.88,15,0.2,9.5,NA,NA,"diel"
"S4C31 A","armbrust_grc_rnaseq_4",390026,NA,"D25","g3-diel-pa.S4.C31.12h.A","km1906","G3","diel","G3-diel-pa","12",4,31,"A",2019-04-18 12:06:00,2019-04-18 22:06:00,41.58,-157.87,15,0.2,8.5,NA,NA,"diel"
"S4C31 B","armbrust_grc_rnaseq_4",390013,NA,"D8","g3-diel-pa.S4.C31.12h.B","km1906","G3","diel","G3-diel-pa","12",4,31,"B",2019-04-18 12:06:00,2019-04-18 22:06:00,41.58,-157.87,15,0.2,9,NA,NA,"diel"
"S4C31 C","armbrust_grc_rnaseq_4",390031,NA,"D30","g3-diel-pa.S4.C31.12h.C","km1906","G3","diel","G3-diel-pa","12",4,31,"C",2019-04-18 12:06:00,2019-04-18 22:06:00,41.58,-157.87,15,0.2,10,NA,NA,"diel"
"S4C4 A","armbrust_grc_rnaseq_4",390023,NA,"D22","g3-diel-pa.S4.C4.06h.A","km1906","G3","diel","G3-diel-pa","06",4,4,"A",2019-04-16 06:10:00,2019-04-16 16:10:00,41.67,-158.05,15,0.2,6,NA,NA,"diel"
"S4C4 B","armbrust_grc_rnaseq_4",390045,NA,"D44","g3-diel-pa.S4.C4.06h.B","km1906","G3","diel","G3-diel-pa","06",4,4,"B",2019-04-16 06:10:00,2019-04-16 16:10:00,41.67,-158.05,15,0.2,8.5,NA,NA,"diel"
"S4C4 C","armbrust_grc_rnaseq_4",390014,NA,"D9","g3-diel-pa.S4.C4.06h.C","km1906","G3","diel","G3-diel-pa","06",4,4,"C",2019-04-16 06:10:00,2019-04-16 16:10:00,41.67,-158.05,15,0.2,8.5,NA,NA,"diel"
"S4C7 B","armbrust_grc_rnaseq_4",390046,NA,"D45","g3-diel-pa.S4.C7.10h.B","km1906","G3","diel","G3-diel-pa","10",4,7,"B",2019-04-16 09:36:00,2019-04-16 19:36:00,41.67,-158.05,15,0.2,10,NA,NA,"diel"
"S4C7 C","armbrust_grc_rnaseq_4",390040,NA,"D39","g3-diel-pa.S4.C7.10h.C","km1906","G3","diel","G3-diel-pa","10",4,7,"C",2019-04-16 09:36:00,2019-04-16 19:36:00,41.67,-158.05,15,0.2,10,NA,NA,"diel"
