"ID","LookupID","sequencingID","Status","extractionID","SampleID","Cruise","Gradients","Type","project","Dataset","Station","Cast","Replicate","Datetime.local","Datetime.utc","Latitude.dec","Longitude.dec","Depth.m","Filter.um","Volume.L","Treatment","Incubation.time","Notes"
"LD1 Dark A T1","armbrust_grc_rnaseq_6",442867,NA,"E26","g3-inc-pa.S4.ld.d.07h.A","km1906","G3","Incubation","G3-inc-pa","Dark",4,NA,"A",2019-04-17 06:35:00,2019-04-17 16:35:00,41.6,-157.9,"Surface",0.2,4,"Dark","T1",NA
"LD1 Dark A T2","armbrust_grc_rnaseq_6",442859,NA,"E18","g3-inc-pa.S4.ld.d.10h.A","km1906","G3","Incubation","G3-inc-pa","Dark",4,NA,"A",2019-04-17 10:17:00,2019-04-17 20:17:00,41.6,-157.9,"Surface",0.2,4,"Dark","T2",NA
"LD1 Dark A T3","armbrust_grc_rnaseq_6",442851,NA,"E5","g3-inc-pa.S4.ld.d.14h.A","km1906","G3","Incubation","G3-inc-pa","Dark",4,NA,"A",2019-04-17 14:18:00,2019-04-18 00:18:00,41.6,-157.9,"Surface",0.2,4,"Dark","T3",NA
"LD1 Dark A T4","armbrust_grc_rnaseq_6",442857,NA,"E16","g3-inc-pa.S4.ld.d.18h.A","km1906","G3","Incubation","G3-inc-pa","Dark",4,NA,"A",2019-04-17 18:00:00,2019-04-18 04:00:00,41.6,-157.9,"Surface",0.2,3,"Dark","T4",NA
"LD1 Dark B T1","armbrust_grc_rnaseq_6",442861,NA,"E20","g3-inc-pa.S4.ld.d.07h.B","km1906","G3","Incubation","G3-inc-pa","Dark",4,NA,"B",2019-04-17 07:10:00,2019-04-17 17:10:00,41.6,-157.9,"Surface",0.2,4,"Dark","T1",NA
"LD1 Dark B T2","armbrust_grc_rnaseq_6",442870,NA,"E29","g3-inc-pa.S4.ld.d.11h.B","km1906","G3","Incubation","G3-inc-pa","Dark",4,NA,"B",2019-04-17 10:53:00,2019-04-17 20:53:00,41.6,-157.9,"Surface",0.2,4,"Dark","T2",NA
"LD1 Dark B T3","armbrust_grc_rnaseq_6",442864,NA,"E23","g3-inc-pa.S4.ld.d.15h.B","km1906","G3","Incubation","G3-inc-pa","Dark",4,NA,"B",2019-04-17 14:53:00,2019-04-18 00:53:00,41.6,-157.9,"Surface",0.2,4,"Dark","T3",NA
"LD1 Dark B T4","armbrust_grc_rnaseq_6",442862,NA,"E21","g3-inc-pa.S4.ld.d.18h.B","km1906","G3","Incubation","G3-inc-pa","Dark",4,NA,"B",2019-04-17 18:24:00,2019-04-18 04:24:00,41.6,-157.9,"Surface",0.2,3,"Dark","T4",NA
"LD1 Dark C T1","armbrust_grc_rnaseq_6",442868,NA,"E27","g3-inc-pa.S4.ld.d.08h.C","km1906","G3","Incubation","G3-inc-pa","Dark",4,NA,"C",2019-04-17 07:35:00,2019-04-17 17:35:00,41.6,-157.9,"Surface",0.2,4,"Dark","T1",NA
"LD1 Dark C T2","armbrust_grc_rnaseq_6",442853,NA,"E7","g3-inc-pa.S4.ld.d.11h.C","km1906","G3","Incubation","G3-inc-pa","Dark",4,NA,"C",2019-04-17 11:19:00,2019-04-17 21:19:00,41.6,-157.9,"Surface",0.2,4,"Dark","T2",NA
"LD1 Dark C T3","armbrust_grc_rnaseq_6",442873,NA,"E32","g3-inc-pa.S4.ld.d.15h.C","km1906","G3","Incubation","G3-inc-pa","Dark",4,NA,"C",2019-04-17 15:26:00,2019-04-18 01:26:00,41.6,-157.9,"Surface",0.2,4,"Dark","T3",NA
