"ID","LookupID","sequencingID","Status","extractionID","SampleID","Cruise","Gradients","Type","project","Dataset","Station","Cast","Replicate","Datetime.local","Datetime.utc","Latitude.dec","Longitude.dec","Depth.m","Filter.um","Volume.L","Treatment","Incubation.time","Notes"
"UW34 A","armbrust_grc_rnaseq_12",1291953,NA,"UW100","g3-uw-pm-pa.04-13.3um.A","km1906","G3","transect","G3-uw-pm-pa","PM","UW",NA,"A",2019-04-13 18:42:00,2019-04-14 04:42:00,34.26,-158,7,3,10,NA,NA,"Taken at the Syncline"
"UW33 C","armbrust_grc_rnaseq_12",1291995,NA,"UW102","g3-uw-pm-pa.04-26.3um.C","km1906","G3","transect","G3-uw-pm-pa","PM","UW",NA,"C",2019-04-26 18:35:00,2019-04-27 04:35:00,33.51,-158,7,3,10,NA,NA,""
"UW33 A","armbrust_grc_rnaseq_12",1291986,NA,"UW103","g3-uw-pm-pa.04-26.0.2um.A","km1906","G3","transect","G3-uw-pm-pa","PM","UW",NA,"A",2019-04-26 18:35:00,2019-04-27 04:35:00,33.51,-158,7,0.2,10,NA,NA,""
"UW36 B","armbrust_grc_rnaseq_12",1291971,NA,"UW104","g3-uw-pm-pa.04-14.0.2um.B","km1906","G3","transect","G3-uw-pm-pa","PM","UW",NA,"B",2019-04-14 18:23:00,2019-04-15 04:23:00,36.95,-158,7,0.2,10,NA,NA,""
"UW42 A","armbrust_grc_rnaseq_12",1291980,NA,"UW105","g3-uw-pm-pa.04-24.3um.A","km1906","G3","transect","G3-uw-pm-pa","PM","UW",NA,"A",2019-04-24 18:36:00,2019-04-25 04:36:00,42.18,-158,7,3,9,NA,NA,"Taken while steaming away from Stn8"
"UW37 #2 A","armbrust_grc_rnaseq_12",1291961,NA,"UW107","g3-uw-pm-pa.04-25.0.2um.A","km1906","G3","transect","G3-uw-pm-pa","PM","UW",NA,"A",2019-04-25 18:34:00,2019-04-26 04:34:00,37.81,-158,7,0.2,10,NA,NA,""
"UW31 A","armbrust_grc_rnaseq_12",1291954,NA,"UW108","g3-uw-pm-pa.04-12.3um.A","km1906","G3","transect","G3-uw-pm-pa","PM","2",NA,"A",2019-04-12 18:09:00,2019-04-13 04:09:00,31.09,-158,7,3,8.5,NA,NA,""
"UW37 #2 C","armbrust_grc_rnaseq_12",1291977,NA,"UW109","g3-uw-pm-pa.04-25.0.2um.C","km1906","G3","transect","G3-uw-pm-pa","PM","UW",NA,"C",2019-04-25 18:34:00,2019-04-26 04:34:00,37.81,-158,7,0.2,7.5,NA,NA,""
"UW32 #2 B","armbrust_grc_rnaseq_12",1292000,NA,"UW110","g3-uw-pm-pa.04-21.3um.B","km1906","G3","transect","G3-uw-pm-pa","PM","6",NA,"B",2019-04-21 18:22:00,2019-04-22 04:22:00,32.93,-158,7,3,10,NA,NA,"end volumes not recorded / assuming zero?"
"UW34 B","armbrust_grc_rnaseq_12",1292004,NA,"UW111","g3-uw-pm-pa.04-13.3um.B","km1906","G3","transect","G3-uw-pm-pa","PM","UW",NA,"B",2019-04-13 18:42:00,2019-04-14 04:42:00,34.26,-158,7,3,10,NA,NA,""
"UW37 #2 B","armbrust_grc_rnaseq_12",1292007,NA,"UW112","g3-uw-pm-pa.04-25.0.2um.B","km1906","G3","transect","G3-uw-pm-pa","PM","UW",NA,"B",2019-04-25 18:34:00,2019-04-26 04:34:00,37.81,-158,7,0.2,6.5,NA,NA,""
"UW31 B+C","armbrust_grc_rnaseq_12",1291966,NA,"UW113+UW106","g3-uw-pm-pa.04-12.0.2um.BC","km1906","G3","transect","G3-uw-pm-pa","PM","2",NA,"BC",2019-04-12 18:09:00,2019-04-13 04:09:00,31.09,-158,7,0.2,15.5,NA,NA,""
"UW36 C","armbrust_grc_rnaseq_12",1291975,NA,"UW114","g3-uw-pm-pa.04-14.3um.C","km1906","G3","transect","G3-uw-pm-pa","PM","UW",NA,"C",2019-04-14 18:23:00,2019-04-15 04:23:00,36.95,-158,7,3,10,NA,NA,""
"UW37 A","armbrust_grc_rnaseq_12",1291956,NA,"UW115","g3-uw-pm-pa.04-19.0.2um.A","km1906","G3","transect","G3-uw-pm-pa","PM","5",NA,"A",2019-04-19 18:47:00,2019-04-20 04:47:00,37,-158,7,0.2,10,NA,NA,""
"UW27 B+C","armbrust_grc_rnaseq_12",1291983,NA,"UW116+UW92","g3-uw-pm-pa.04-11.3um.BC","km1906","G3","transect","G3-uw-pm-pa","PM","UW",NA,"BC",2019-04-11 18:36:00,2019-04-12 04:36:00,27.74,-158,7,3,12,NA,NA,""
"UW24 B","armbrust_grc_rnaseq_12",1291981,NA,"UW118","g3-uw-pm-pa.04-10.3um.B","km1906","G3","transect","G3-uw-pm-pa","PM","UW",NA,"B",2019-04-10 18:34:00,2019-04-11 04:34:00,24.23,-158,7,3,8.5,NA,NA,""
"UW33 A","armbrust_grc_rnaseq_12",1291960,NA,"UW119","g3-uw-pm-pa.04-26.3um.A","km1906","G3","transect","G3-uw-pm-pa","PM","UW",NA,"A",2019-04-26 18:35:00,2019-04-27 04:35:00,33.51,-158,7,3,10,NA,NA,""
"UW42 B","armbrust_grc_rnaseq_12",1291967,NA,"UW120","g3-uw-pm-pa.04-24.0.2um.B","km1906","G3","transect","G3-uw-pm-pa","PM","UW",NA,"B",2019-04-24 18:36:00,2019-04-25 04:36:00,42.18,-158,7,0.2,9,NA,NA,""
"UW31 A","armbrust_grc_rnaseq_12",1291993,NA,"UW121","g3-uw-pm-pa.04-12.0.2um.A","km1906","G3","transect","G3-uw-pm-pa","PM","2",NA,"A",2019-04-12 18:09:00,2019-04-13 04:09:00,31.09,-158,7,0.2,8.5,NA,NA,""
"UW32 #2 A","armbrust_grc_rnaseq_12",1291978,NA,"UW122","g3-uw-pm-pa.04-21.3um.A","km1906","G3","transect","G3-uw-pm-pa","PM","6",NA,"A",2019-04-21 18:22:00,2019-04-22 04:22:00,32.93,-158,7,3,10.5,NA,NA,"UW on Stn6"
"UW42 C","armbrust_grc_rnaseq_12",1291964,NA,"UW123","g3-uw-pm-pa.04-24.3um.C","km1906","G3","transect","G3-uw-pm-pa","PM","UW",NA,"C",2019-04-24 18:36:00,2019-04-25 04:36:00,42.18,-158,7,3,7,NA,NA,""
"UW36 A","armbrust_grc_rnaseq_12",1291974,NA,"UW125","g3-uw-pm-pa.04-14.3um.A","km1906","G3","transect","G3-uw-pm-pa","PM","UW",NA,"A",2019-04-14 18:23:00,2019-04-15 04:23:00,36.95,-158,7,3,10,NA,NA,""
"UW34 C","armbrust_grc_rnaseq_12",1291958,NA,"UW126","g3-uw-pm-pa.04-13.3um.C","km1906","G3","transect","G3-uw-pm-pa","PM","UW",NA,"C",2019-04-13 18:42:00,2019-04-14 04:42:00,34.26,-158,7,3,8.5,NA,NA,""
"UW31 B+C","armbrust_grc_rnaseq_12",1291959,NA,"UW127+UW117","g3-uw-pm-pa.04-12.3um.BC","km1906","G3","transect","G3-uw-pm-pa","PM","2",NA,"BC",2019-04-12 18:09:00,2019-04-13 04:09:00,31.09,-158,7,3,15.5,NA,NA,""
"UW33 B","armbrust_grc_rnaseq_12",1291989,NA,"UW128","g3-uw-pm-pa.04-26.0.2um.B","km1906","G3","transect","G3-uw-pm-pa","PM","UW",NA,"B",2019-04-26 18:35:00,2019-04-27 04:35:00,33.51,-158,7,0.2,10.25,NA,NA,""
"UW27 B+C","armbrust_grc_rnaseq_12",1291952,NA,"UW129+UW124","g3-uw-pm-pa.04-11.0.2um.BC","km1906","G3","transect","G3-uw-pm-pa","PM","UW",NA,"BC",2019-04-11 18:36:00,2019-04-12 04:36:00,27.74,-158,7,0.2,12,NA,NA,""
"UW24 B","armbrust_grc_rnaseq_12",1291997,NA,"UW130","g3-uw-pm-pa.04-10.0.2um.B","km1906","G3","transect","G3-uw-pm-pa","PM","UW",NA,"B",2019-04-10 18:34:00,2019-04-11 04:34:00,24.23,-158,7,0.2,8.5,NA,NA,""
"UW34 B","armbrust_grc_rnaseq_12",1291999,NA,"UW131","g3-uw-pm-pa.04-13.0.2um.B","km1906","G3","transect","G3-uw-pm-pa","PM","UW",NA,"B",2019-04-13 18:42:00,2019-04-14 04:42:00,34.26,-158,7,0.2,10,NA,NA,""
"UW37 B","armbrust_grc_rnaseq_12",1291968,NA,"UW132","g3-uw-pm-pa.04-19.3um.B","km1906","G3","transect","G3-uw-pm-pa","PM","5",NA,"B",2019-04-19 18:47:00,2019-04-20 04:47:00,37,-158,7,3,10,NA,NA,"post-gale sample; storm-effects?"
