"ID","LookupID","sequencingID","Status","extractionID","SampleID","Cruise","Gradients","Type","project","Dataset","Station","Cast","Replicate","Datetime.local","Datetime.utc","Latitude.dec","Longitude.dec","Depth.m","Filter.um","Volume.L","Treatment","Incubation.time","Notes"
"G4-200019","armbrust_grc_rnaseq_23",1659726,"Complete; Pass","CTD7","g4-ctd-ns.S4.C6.15m.A","TN412","g4","CTD","g4-ctd-ns","Depth profile",4,6,"A","2021-11-25T06:28:00","11/25/21 15:28",19.51,-138.58,15,0.2,10,NA,NA,""
"G4-200020","armbrust_grc_rnaseq_23",1673564,"Complete; Pass","CTD16","g4-ctd-ns.S4.C6.15m.B","TN412","g4","CTD","g4-ctd-ns","Depth profile",4,6,"B","2021-11-25T06:28:00","11/25/21 15:28",19.51,-138.58,15,0.2,10,NA,NA,""
"G4-200021","armbrust_grc_rnaseq_23",1659703,"Complete; Pass","CTD21","g4-ctd-ns.S4.C6.45m.A","TN412","g4","CTD","g4-ctd-ns","Depth profile",4,6,"A","2021-11-25T06:23:00","11/25/21 15:23",19.51,-138.58,45,0.2,8,NA,NA,""
"G4-200022","armbrust_grc_rnaseq_23",1659741,"Complete; Pass","CTD4","g4-ctd-ns.S4.C6.45m.B","TN412","g4","CTD","g4-ctd-ns","Depth profile",4,6,"B","2021-11-25T06:24:00","11/25/21 15:24",19.51,-138.58,45,0.2,8,NA,NA,""
"G4-200023","armbrust_grc_rnaseq_23",1659709,"Complete; Pass","CTD20","g4-ctd-ns.S4.C6.105m.A","TN412","g4","CTD","g4-ctd-ns","Depth profile",4,6,"A","2021-11-25T06:17:00","11/25/21 15:17",19.51,-138.58,105,0.2,10,NA,NA,""
"G4-200024","armbrust_grc_rnaseq_23",1659728,"Complete; Pass","CTD18","g4-ctd-ns.S4.C6.105m.B","TN412","g4","CTD","g4-ctd-ns","Depth profile",4,6,"B","2021-11-25T06:18:00","11/25/21 15:18",19.51,-138.58,105,0.2,10,NA,NA,""
"G4-200027","armbrust_grc_rnaseq_23",1659743,"Complete; Pass","CTD1","g4-ctd-ns.S4.C8.200m.A","TN412","g4","CTD","g4-ctd-ns","Depth profile",4,8,"A","2021-11-25T12:15:00","11/25/21 21:15",19.51,-138.58,200,0.2,9,NA,NA,""
"G4-200028","armbrust_grc_rnaseq_23",1659707,"Complete; Pass","CTD12","g4-ctd-ns.S4.C8.200m.B","TN412","g4","CTD","g4-ctd-ns","Depth profile",4,8,"B","2021-11-25T12:16:00","11/25/21 21:16",19.51,-138.58,200,0.2,9,NA,NA,""
"G4-200030","armbrust_grc_rnaseq_23",1659712,"Complete; Pass","CTD3","g4-ctd-ns.S4.C8.500m.B","TN412","g4","CTD","g4-ctd-ns","Depth profile",4,8,"B","2021-11-25T12:05:00","11/25/21 21:05",19.51,-138.58,500,0.2,8,NA,NA,"A & B metatranscriptome samples combined to A metabolome samples"
"G4-200086","armbrust_grc_rnaseq_23",1659722,"Complete; Pass","CTD6","g4-ctd-ns.S11.C3.15m.A","TN412","g4","CTD","g4-ctd-ns","Depth profile",11,3,"A","2021-12-04T09:44:00","12/4/21 18:44",0.22,-139.93,15,0.2,8,NA,NA,""
"G4-200087","armbrust_grc_rnaseq_23",1659699,"Complete; Pass","CTD22","g4-ctd-ns.S11.C3.15m.B","TN412","g4","CTD","g4-ctd-ns","Depth profile",11,3,"B","2021-12-04T09:44:00","12/4/21 18:44",0.22,-139.93,15,0.2,11,NA,NA,""
"G4-200088","armbrust_grc_rnaseq_23",1659694,"Complete; Pass","CTD5","g4-ctd-ns.S11.C3.50m.A","TN412","g4","CTD","g4-ctd-ns","Depth profile",11,3,"A","2021-12-04T09:41:00","12/4/21 18:41",0.22,-139.93,50,0.2,10,NA,NA,""
