"ID","LookupID","sequencingID","Status","extractionID","SampleID","Cruise","Gradients","Type","project","Dataset","Station","Cast","Replicate","Datetime.local","Datetime.utc","Latitude.dec","Longitude.dec","Depth.m","Filter.um","Volume.L","Treatment","Incubation.time","Notes"
"G4-380001","armbrust_grc_rnaseq_23",1673562,"Complete; Pass","SDR11","g4-inc-ns.S11.stay.Cont.T0.A","TN412","g4","Incubation","g4-inc-ns","SDR","11","Stayfish","A","2021-12-04T06:30:00","12/4/21 15:30",1e-04,-139.9989,15,0.2,4,"Control","T0",""
"G4-380002","armbrust_grc_rnaseq_23",1659689,"Complete; Pass","SDR9","g4-inc-ns.S11.stay.Cont.T0.B","TN412","g4","Incubation","g4-inc-ns","SDR","11","Stayfish","B","2021-12-04T07:20:00","12/4/21 16:20",1e-04,-139.9989,15,0.2,4,"Control","T0",""
"G4-380003","armbrust_grc_rnaseq_23",1659697,"Complete; Pass","SDR10","g4-inc-ns.S11.stay.Cont.T0.C","TN412","g4","Incubation","g4-inc-ns","SDR","11","Stayfish","C","2021-12-04T08:10:00","12/4/21 17:10",1e-04,-139.9989,15,0.2,4,"Control","T0",""
"G4-380004","armbrust_grc_rnaseq_23",1659725,"Complete; Pass","SDR15","g4-inc-ns.S11.stay.Cont.T48.A","TN412","g4","Incubation","g4-inc-ns","SDR","11","Stayfish","A","2021-12-04T06:30:00","12/4/21 15:30",1e-04,-139.9989,15,0.2,4,"Control","T48",""
"G4-380005","armbrust_grc_rnaseq_23",1659691,"Complete; Pass","SDR3","g4-inc-ns.S11.stay.Cont.T48.B","TN412","g4","Incubation","g4-inc-ns","SDR","11","Stayfish","B","2021-12-04T07:20:00","12/4/21 16:20",1e-04,-139.9989,15,0.2,4,"Control","T48",""
"G4-380006","armbrust_grc_rnaseq_23",1659750,"Complete; Pass","SDR12","g4-inc-ns.S11.stay.Cont.T48.C","TN412","g4","Incubation","g4-inc-ns","SDR","11","Stayfish","C","2021-12-04T08:10:00","12/4/21 17:10",1e-04,-139.9989,15,0.2,4,"Control","T48",""
"G4-380007","armbrust_grc_rnaseq_23",1673569,"Complete; Pass","SDR7","g4-inc-ns.S11.stay.Fe.T48.A","TN412","g4","Incubation","g4-inc-ns","SDR","11","Stayfish","A","2021-12-04T06:30:00","12/4/21 15:30",1e-04,-139.9989,15,0.2,4,"FeCl3","T48",""
"G4-380008","armbrust_grc_rnaseq_23",1659755,"Complete; Pass","SDR2","g4-inc-ns.S11.stay.Fe.T48.B","TN412","g4","Incubation","g4-inc-ns","SDR","11","Stayfish","B","2021-12-04T07:20:00","12/4/21 16:20",1e-04,-139.9989,15,0.2,4,"FeCl3","T48",""
"G4-380009","armbrust_grc_rnaseq_23",1659708,"Complete; Pass","SDR8","g4-inc-ns.S11.stay.Fe.T48.C","TN412","g4","Incubation","g4-inc-ns","SDR","11","Stayfish","C","2021-12-04T08:10:00","12/4/21 17:10",1e-04,-139.9989,15,0.2,4,"FeCl3","T48",""
"G4-380010","armbrust_grc_rnaseq_23",1673571,"Complete; Pass","SDR1","g4-inc-ns.S11.stay.DFB.T48.A","TN412","g4","Incubation","g4-inc-ns","SDR","11","Stayfish","A","2021-12-04T06:30:00","12/4/21 15:30",1e-04,-139.9989,15,0.2,4,"FeDeferrichrome","T48",""
"G4-380011","armbrust_grc_rnaseq_23",1673559,"Complete; Pass","SDR6","g4-inc-ns.S11.stay.DFB.T48.B","TN412","g4","Incubation","g4-inc-ns","SDR","11","Stayfish","B","2021-12-04T07:20:00","12/4/21 16:20",1e-04,-139.9989,15,0.2,4,"FeDeferrichrome","T48",""
"G4-380012","armbrust_grc_rnaseq_23",1673572,"Complete; Pass","SDR14","g4-inc-ns.S11.stay.DFB.T48.C","TN412","g4","Incubation","g4-inc-ns","SDR","11","Stayfish","C","2021-12-04T08:10:00","12/4/21 17:10",1e-04,-139.9989,15,0.2,4,"FeDeferrichrome","T48",""
"G4-380013","armbrust_grc_rnaseq_23",1659718,"Complete; Pass","SDR5","g4-inc-ns.S11.stay.Ent.T48.A","TN412","g4","Incubation","g4-inc-ns","SDR","11","Stayfish","A","2021-12-04T06:30:00","12/4/21 15:30",1e-04,-139.9989,15,0.2,4,"FeEnterobactin","T48",""
"G4-380014","armbrust_grc_rnaseq_23",1659690,"Complete; Pass","SDR13","g4-inc-ns.S11.stay.Ent.T48.B","TN412","g4","Incubation","g4-inc-ns","SDR","11","Stayfish","B","2021-12-04T07:20:00","12/4/21 16:20",1e-04,-139.9989,15,0.2,4,"FeEnterobactin","T48",""
"G4-380015","armbrust_grc_rnaseq_23",1673560,"Complete; Pass","SDR4","g4-inc-ns.S11.stay.Ent.T48.C","TN412","g4","Incubation","g4-inc-ns","SDR","11","Stayfish","C","2021-12-04T08:10:00","12/4/21 17:10",1e-04,-139.9989,15,0.2,4,"FeEnterobactin","T48",""
