"ID","LookupID","sequencingID","Status","extractionID","SampleID","Cruise","Gradients","Type","project","Dataset","Station","Cast","Replicate","Datetime.local","Datetime.utc","Latitude.dec","Longitude.dec","Depth.m","Filter.um","Volume.L","Treatment","Incubation.time","Notes"
"G4-100004","armbrust_grc_rnaseq_18",1600389,NA,"UW30","g4-uw-am-ns.11-19.A","TN397","g4","transect","g4-uw-am-ns","AM","UW",NA,"A",2021-11-19 06:15:00,"2021-11-19T14:15:00",31.43,-119.27,5,0.2,10,NA,NA,"FCM not replicate matched"
"G4-100005","armbrust_grc_rnaseq_18",1600417,NA,"UW16","g4-uw-am-ns.11-19.B","TN397","g4","transect","g4-uw-am-ns","AM","UW",NA,"B",2021-11-19 06:18:00,"2021-11-19T14:18:00",31.43,-119.27,5,0.2,10,NA,NA,"FCM not replicate matched"
"G4-100006","armbrust_grc_rnaseq_18",1600355,NA,"UW58","g4-uw-am-ns.11-19.C","TN397","g4","transect","g4-uw-am-ns","AM","UW",NA,"C",2021-11-19 06:20:00,"2021-11-19T14:20:00",31.43,-119.27,5,0.2,10,NA,NA,"FCM not replicate matched"
"G4-100010","armbrust_grc_rnaseq_18",1600403,NA,"UW62","g4-uw-am-ns.11-20.A","TN397","g4","transect","g4-uw-am-ns","AM","UW",NA,"A",2021-11-20 06:24:00,"2021-11-20T14:24:00",28.55,-124.18,5,0.2,10,NA,NA,"FCM not replicate matched"
"G4-100011","armbrust_grc_rnaseq_18",1600415,NA,"UW18","g4-uw-am-ns.11-20.B","TN397","g4","transect","g4-uw-am-ns","AM","UW",NA,"B",2021-11-20 06:26:00,"2021-11-20T14:26:00",28.55,-124.18,5,0.2,10,NA,NA,"FCM not replicate matched"
"G4-100012","armbrust_grc_rnaseq_18",1600410,NA,"UW29","g4-uw-am-ns.11-20.C","TN397","g4","transect","g4-uw-am-ns","AM","UW",NA,"C",2021-11-20 06:30:00,"2021-11-20T14:30:00",28.55,-124.18,5,0.2,10,NA,NA,"FCM not replicate matched"
"G4-100017","armbrust_grc_rnaseq_18",1600393,NA,"UW51","g4-uw-am-ns.11-21.B","TN397","g4","transect","g4-uw-am-ns","AM","UW",NA,"B",2021-11-21 06:50:00,"2021-11-21T14:50:00",27.07,-126.67,5,0.2,10,NA,NA,"FCM not replicate matched"
"G4-100023","armbrust_grc_rnaseq_18",1600371,NA,"UW61","g4-uw-am-ns.11-22.B","TN397","g4","transect","g4-uw-am-ns","AM","UW",NA,"B",2021-11-22 06:56:00,"2021-11-22T14:56:00",24.43,-130.99,5,0.2,10,NA,NA,"FCM not replicate matched"
"G4-100024","armbrust_grc_rnaseq_18",1600405,NA,"UW59","g4-uw-am-ns.11-22.C","TN397","g4","transect","g4-uw-am-ns","AM","UW",NA,"C",2021-11-22 06:58:00,"2021-11-22T14:58:00",24.43,-130.99,5,0.2,10,NA,NA,"FCM not replicate matched"
"G4-100028","armbrust_grc_rnaseq_18",1600367,NA,"UW12","g4-uw-am-ns.11-23.A","TN397","g4","transect","g4-uw-am-ns","AM","UW",NA,"A",2021-11-23 06:08:00,"2021-11-23T15:08:00",21.74,-135.31,5,0.2,10,NA,NA,"FCM not replicate matched"
