"ID","LookupID","sequencingID","Status","extractionID","SampleID","Cruise","Gradients","Type","project","Dataset","Station","Cast","Replicate","Datetime.local","Datetime.utc","Latitude.dec","Longitude.dec","Depth.m","Filter.um","Volume.L","Treatment","Incubation.time","Notes"
"G4-100040","armbrust_grc_rnaseq_23",1659739,"Complete; Pass","UW98","g4-uw-pm-ns.11-25.A","TN397","g4","transect","g4-uw-pm-ns","PM","UW",NA,"A","2021-11-25T17:40:00","2021-11-26T02:40:00",19.23,-138.86,5,0.2,10,NA,NA,""
"G4-100041","armbrust_grc_rnaseq_23",1673556,"Complete; Pass","UW94","g4-uw-pm-ns.11-25.B","TN397","g4","transect","g4-uw-pm-ns","PM","UW",NA,"B","2021-11-25T17:42:00","2021-11-26T02:42:00",19.23,-138.86,5,0.2,10,NA,NA,""
"G4-100042","armbrust_grc_rnaseq_23",1659748,"Complete; Pass","UW87","g4-uw-pm-ns.11-25.C","TN397","g4","transect","g4-uw-pm-ns","PM","UW",NA,"C","2021-11-25T17:45:00","2021-11-26T02:45:00",19.23,-138.86,5,0.2,10,NA,NA,""
"G4-100046","armbrust_grc_rnaseq_23",1673566,"Complete; Pass","UW79","g4-uw-pm-ns.11-26.A","TN397","g4","transect","g4-uw-pm-ns","PM","UW",NA,"A","2021-11-26T17:40:00","2021-11-27T02:40:00",16.1,-140,5,0.2,10,NA,NA,""
"G4-100047","armbrust_grc_rnaseq_23",1659744,"Complete; Pass","UW107","g4-uw-pm-ns.11-26.B","TN397","g4","transect","g4-uw-pm-ns","PM","UW",NA,"B","2021-11-26T17:41:00","2021-11-27T02:41:00",16.1,-140,5,0.2,10,NA,NA,""
"G4-100048","armbrust_grc_rnaseq_23",1659751,"Complete; Pass","UW101","g4-uw-pm-ns.11-26.C","TN397","g4","transect","g4-uw-pm-ns","PM","UW",NA,"C","2021-11-26T17:44:00","2021-11-27T02:44:00",16.1,-140,5,0.2,10,NA,NA,""
"G4-100052","armbrust_grc_rnaseq_23",1659731,"Complete; Pass","UW80","g4-uw-pm-ns.11-27.A","TN397","g4","transect","g4-uw-pm-ns","PM","UW",NA,"A","2021-11-27T17:55:00","2021-11-28T02:55:00",12.38,-140,5,0.2,10,NA,NA,""
"G4-100053","armbrust_grc_rnaseq_23",1673563,"Complete; Pass","UW99","g4-uw-pm-ns.11-27.B","TN397","g4","transect","g4-uw-pm-ns","PM","UW",NA,"B","2021-11-27T17:57:00","2021-11-28T02:57:00",12.38,-140,5,0.2,10,NA,NA,""
"G4-100054","armbrust_grc_rnaseq_23",1659727,"Complete; Pass","UW83","g4-uw-pm-ns.11-27.C","TN397","g4","transect","g4-uw-pm-ns","PM","UW",NA,"C","2021-11-27T18:00:00","2021-11-28T03:00:00",12.38,-140,5,0.2,10,NA,NA,""
"G4-100058","armbrust_grc_rnaseq_23",1659693,"Complete; Pass","UW84","g4-uw-pm-ns.11-28.A","TN397","g4","transect","g4-uw-pm-ns","PM","UW",NA,"A","2021-11-28T17:52:00","2021-11-29T02:52:00",10.7,-140,5,0.2,10,NA,NA,""
"G4-100059","armbrust_grc_rnaseq_23",1659701,"Complete; Pass","UW90","g4-uw-pm-ns.11-28.B","TN397","g4","transect","g4-uw-pm-ns","PM","UW",NA,"B","2021-11-28T17:55:00","2021-11-29T02:55:00",10.7,-140,5,0.2,10,NA,NA,""
"G4-100060","armbrust_grc_rnaseq_23",1673575,"Complete; Pass","UW108","g4-uw-pm-ns.11-28.C","TN397","g4","transect","g4-uw-pm-ns","PM","UW",NA,"C","2021-11-28T17:58:00","2021-11-29T02:58:00",10.7,-140,5,0.2,10,NA,NA,""
"G4-100070","armbrust_grc_rnaseq_23",1659721,"Complete; Pass","UW86","g4-uw-pm-ns.11-30.A","TN397","g4","transect","g4-uw-pm-ns","PM","UW",NA,"A","2021-11-30T17:45:00","2021-12-01T02:45:00",6.78,-140,5,0.2,10,NA,NA,""
"G4-100071","armbrust_grc_rnaseq_23",1673557,"Complete; Pass","UW96","g4-uw-pm-ns.11-30.B","TN397","g4","transect","g4-uw-pm-ns","PM","UW",NA,"B","2021-11-30T17:50:00","2021-12-01T02:50:00",6.78,-140,5,0.2,10,NA,NA,""
"G4-100072","armbrust_grc_rnaseq_23",1673568,"Complete; Pass","UW85","g4-uw-pm-ns.11-30.C","TN397","g4","transect","g4-uw-pm-ns","PM","UW",NA,"C","2021-11-30T17:53:00","2021-12-01T02:53:00",6.78,-140,5,0.2,10,NA,NA,""
"G4-100076","armbrust_grc_rnaseq_23",1659695,"Complete; Pass","UW102","g4-uw-pm-ns.12-01.A","TN397","g4","transect","g4-uw-pm-ns","PM","UW",NA,"A","2021-12-01T17:55:00","2021-12-02T02:55:00",4.77,-140,5,0.2,10,NA,NA,""
"G4-100077","armbrust_grc_rnaseq_23",1673565,"Complete; Pass","UW103","g4-uw-pm-ns.12-01.B","TN397","g4","transect","g4-uw-pm-ns","PM","UW",NA,"B","2021-12-01T18:00:00","2021-12-02T03:00:00",4.77,-140,5,0.2,10,NA,NA,""
