"ID","LookupID","sequencingID","Status","extractionID","SampleID","Cruise","Gradients","Type","project","Dataset","Station","Cast","Replicate","Datetime.local","Datetime.utc","Latitude.dec","Longitude.dec","Depth.m","Filter.um","Volume.L","Treatment","Incubation.time","Notes"
"G5-200013","armbrust_grc_rnaseq_22",1659640,"Complete; Pass","CTD26","g5-ctd-pa.S2.C10.MLD.A","TN412","g5","CTD","g5-ctd-pa","MLD",2,10,"A",2025-01-29 08:22:00,2025-01-29 17:22:00,19.28,-138.94,71,0.2,15,NA,NA,"Pump was not on for a couples of minutes"
"G5-200014","armbrust_grc_rnaseq_22",1659642,"Complete; Pass","CTD29","g5-ctd-pa.S2.C10.MLD.B","TN412","g5","CTD","g5-ctd-pa","MLD",2,10,"B",2025-01-29 08:22:00,2025-01-29 17:22:00,19.28,-138.94,71,0.2,15,NA,NA,""
"G5-200015","armbrust_grc_rnaseq_22",1659648,"Complete; Pass","CTD38","g5-ctd-pa.S2.C10.MLD.C","TN412","g5","CTD","g5-ctd-pa","MLD",2,10,"C",2025-01-29 08:22:00,2025-01-29 17:22:00,19.28,-138.94,71,0.2,15,NA,NA,""
"G5-200016","armbrust_grc_rnaseq_22",1659669,"Complete; Pass","CTD36","g5-ctd-pa.S2.C10.DCM.A","TN412","g5","CTD","g5-ctd-pa","DCM",2,10,"A",2025-01-29 08:18:00,2025-01-29 17:18:00,19.28,-138.94,112,0.2,15,NA,NA,""
"G5-200017","armbrust_grc_rnaseq_22",1659656,"Complete; Pass","CTD34","g5-ctd-pa.S2.C10.DCM.B","TN412","g5","CTD","g5-ctd-pa","DCM",2,10,"B",2025-01-29 08:18:00,2025-01-29 17:18:00,19.28,-138.94,112,0.2,15,NA,NA,""
"G5-200018","armbrust_grc_rnaseq_22",1659647,"Complete; Pass","CTD28","g5-ctd-pa.S2.C10.DCM.C","TN412","g5","CTD","g5-ctd-pa","DCM",2,10,"C",2025-01-29 08:18:00,2025-01-29 17:18:00,19.28,-138.94,112,0.2,15,NA,NA,""
"G5-200022","armbrust_grc_rnaseq_22",1659684,"Complete; Pass","CTD41","g5-ctd-pa.S4.C2.MLD.A","TN412","g5","CTD","g5-ctd-pa","MLD",4,2,"A",2025-01-31 07:18:00,2025-01-31 16:18:00,12.21,-140,45,0.2,14,NA,NA,""
"G5-200023","armbrust_grc_rnaseq_22",1659624,"Complete; Pass","CTD27","g5-ctd-pa.S4.C2.MLD.B","TN412","g5","CTD","g5-ctd-pa","MLD",4,2,"B",2025-01-31 07:18:00,2025-01-31 16:18:00,12.21,-140,45,0.2,12,NA,NA,""
"G5-200024","armbrust_grc_rnaseq_22",1659683,"Complete; Pass","CTD14","g5-ctd-pa.S4.C2.MLD.C","TN412","g5","CTD","g5-ctd-pa","MLD",4,2,"C",2025-01-31 07:18:00,2025-01-31 16:18:00,12.21,-140,45,0.2,15,NA,NA,""
"G5-200025","armbrust_grc_rnaseq_22",1659664,"Complete; Pass","CTD17","g5-ctd-pa.S4.C2.DCM.A","TN412","g5","CTD","g5-ctd-pa","DCM",4,2,"A",2025-01-31 07:19:00,2025-01-31 16:19:00,12.21,-140,95,0.2,14,NA,NA,""
