"ID","LookupID","sequencingID","Status","extractionID","SampleID","Cruise","Gradients","Type","project","Dataset","Station","Cast","Replicate","Datetime.local","Datetime.utc","Latitude.dec","Longitude.dec","Depth.m","Filter.um","Volume.L","Treatment","Incubation.time","Notes"
"G5-380109","armbrust_grc_rnaseq_22",1659632,"Complete; Pass","INC23","g5-inc-pa.S5.C3.D.DT.DL.T48.A","TN412","g5","Incubation","g5-inc-pa","Mix S05","5","3","A",2025-02-01 10:40:00,2025-02-01 19:40:00,9.41,-139.96,50,0.2,4,"DCM control","48 h",""
"G5-380110","armbrust_grc_rnaseq_22",1659644,"Complete; Pass","INC29","g5-inc-pa.S5.C3.D.DT.DL.T48.B","TN412","g5","Incubation","g5-inc-pa","Mix S05","5","3","B",2025-02-01 10:40:00,2025-02-01 19:40:00,9.41,-139.96,50,0.2,4,"DCM control","48 h",""
"G5-380111","armbrust_grc_rnaseq_22",1659658,"Complete; Pass","INC27","g5-inc-pa.S5.C3.D.DT.DL.T48.C","TN412","g5","Incubation","g5-inc-pa","Mix S05","5","3","C",2025-02-01 10:40:00,2025-02-01 19:40:00,9.41,-139.96,50,0.2,4,"DCM control","48 h",""
"G5-380115","armbrust_grc_rnaseq_22",1659637,"Complete; Pass","INC2","g5-inc-pa.S5.C3.D.DT.SL.T48.A","TN412","g5","Incubation","g5-inc-pa","Mix S05","5","3","A",2025-02-01 10:40:00,2025-02-01 19:40:00,9.41,-139.96,50,0.2,4,"DCM DCM tmp + Light","48 h",""
"G5-380116","armbrust_grc_rnaseq_22",1659674,"Complete; Pass","INC21","g5-inc-pa.S5.C3.D.DT.SL.T48.B","TN412","g5","Incubation","g5-inc-pa","Mix S05","5","3","B",2025-02-01 10:40:00,2025-02-01 19:40:00,9.41,-139.96,50,0.2,4,"DCM DCM tmp + Light","48 h",""
"G5-380117","armbrust_grc_rnaseq_22",1659622,"Complete; Pass","INC9","g5-inc-pa.S5.C3.D.DT.SL.T48.C","TN412","g5","Incubation","g5-inc-pa","Mix S05","5","3","C",2025-02-01 10:40:00,2025-02-01 19:40:00,9.41,-139.96,50,0.2,4,"DCM DCM tmp + Light","48 h",""
"G5-380118","armbrust_grc_rnaseq_22",1659680,"Complete; Pass","INC16","g5-inc-pa.S5.C3.D.ST.SL.T48.A","TN412","g5","Incubation","g5-inc-pa","Mix S05","5","3","A",2025-02-01 10:40:00,2025-02-01 19:40:00,9.41,-139.96,50,0.2,4,"DCM +tmp +light","48 h",""
"G5-380119","armbrust_grc_rnaseq_22",1659627,"Complete; Pass","INC6","g5-inc-pa.S5.C3.D.ST.SL.T48.B","TN412","g5","Incubation","g5-inc-pa","Mix S05","5","3","B",2025-02-01 10:40:00,2025-02-01 19:40:00,9.41,-139.96,50,0.2,4,"DCM +tmp +light","48 h",""
"G5-380120","armbrust_grc_rnaseq_22",1659670,"Complete; Pass","INC20","g5-inc-pa.S5.C3.D.ST.SL.T48.C","TN412","g5","Incubation","g5-inc-pa","Mix S05","5","3","C",2025-02-01 10:40:00,2025-02-01 19:40:00,9.41,-139.96,50,0.2,4,"DCM +tmp +light","48 h",""
"G5-380133","armbrust_grc_rnaseq_22",1659659,"Complete; Pass","INC19","g5-inc-pa.S5.stay.S.ST.SL.T48.A","TN412","g5","Incubation","g5-inc-pa","Mix S05","5","stayfish","A",2025-02-02 08:30:00,2025-02-02 17:30:00,9.41,-139.96,15,0.2,4,"Surface control","48 h",""
"G5-380134","armbrust_grc_rnaseq_22",1659650,"Complete; Pass","INC4","g5-inc-pa.S5.stay.S.ST.SL.T48.B","TN412","g5","Incubation","g5-inc-pa","Mix S05","5","stayfish","B",2025-02-02 08:30:00,2025-02-02 17:30:00,9.41,-139.96,15,0.2,4,"Surface control","48 h",""
"G5-380135","armbrust_grc_rnaseq_22",1659672,"Complete; Pass","INC5","g5-inc-pa.S5.stay.S.ST.SL.T48.C","TN412","g5","Incubation","g5-inc-pa","Mix S05","5","stayfish","C",2025-02-02 08:30:00,2025-02-02 17:30:00,9.41,-139.96,15,0.2,4,"Surface control","48 h",""
"G5-380139","armbrust_grc_rnaseq_22",1659621,"Complete; Pass","INC26","g5-inc-pa.S5.stay.S.ST.DL.T48.A","TN412","g5","Incubation","g5-inc-pa","Mix S05","5","stayfish","A",2025-02-02 08:30:00,2025-02-02 17:30:00,9.41,-139.96,15,0.2,4,"Surface surface tmp -light","48 h",""
"G5-380140","armbrust_grc_rnaseq_22",1659685,"Complete; Pass","INC11","g5-inc-pa.S5.stay.S.ST.DL.T48.B","TN412","g5","Incubation","g5-inc-pa","Mix S05","5","stayfish","B",2025-02-02 08:30:00,2025-02-02 17:30:00,9.41,-139.96,15,0.2,4,"Surface surface tmp -light","48 h",""
"G5-380141","armbrust_grc_rnaseq_22",1659625,"Complete; Pass","INC3","g5-inc-pa.S5.stay.S.ST.DL.T48.C","TN412","g5","Incubation","g5-inc-pa","Mix S05","5","stayfish","C",2025-02-02 08:30:00,2025-02-02 17:30:00,9.41,-139.96,15,0.2,4,"Surface surface tmp -light","48 h",""
"G5-380143","armbrust_grc_rnaseq_22",1659638,"Complete; Pass","INC10","g5-inc-pa.S5.stay.S.DT.DL.T48.B","TN412","g5","Incubation","g5-inc-pa","Mix S05","5","stayfish","B",2025-02-02 08:30:00,2025-02-02 17:30:00,9.41,-139.96,15,0.2,4,"Surface -tmp -light","48 h",""
"G5-380144","armbrust_grc_rnaseq_22",1659655,"Complete; Pass","INC7","g5-inc-pa.S5.stay.S.DT.DL.T48.C","TN412","g5","Incubation","g5-inc-pa","Mix S05","5","stayfish","C",2025-02-02 08:30:00,2025-02-02 17:30:00,9.41,-139.96,15,0.2,4,"Surface -tmp -light","48 h",""
"G5-380160","armbrust_grc_rnaseq_22",1659628,"Complete; Pass","INC22","g5-inc-pa.S8.C2.D.DT.DL.T48.A","TN412","g5","Incubation","g5-inc-pa","Mix S08","8","2","A",2025-02-05 10:00:00,2025-02-05 19:00:00,0,-140,50,0.2,NA,"DCM T48 control","48 h",""
"G5-380161","armbrust_grc_rnaseq_22",1659651,"Complete; Pass","INC13","g5-inc-pa.S8.C2.D.DT.DL.T48.B","TN412","g5","Incubation","g5-inc-pa","Mix S08","8","2","B",2025-02-05 10:00:00,2025-02-05 19:00:00,0,-140,50,0.2,NA,"DCM T48 control","48 h",""
"G5-380162","armbrust_grc_rnaseq_22",1659660,"Complete; Pass","INC15","g5-inc-pa.S8.C2.D.DT.DL.T48.C","TN412","g5","Incubation","g5-inc-pa","Mix S08","8","2","C",2025-02-05 10:00:00,2025-02-05 19:00:00,0,-140,50,0.2,NA,"DCM T48 control","48 h",""
"G5-380166","armbrust_grc_rnaseq_22",1659649,"Complete; Pass","INC25","g5-inc-pa.S8.C2.D.DT.SL.T48.A","TN412","g5","Incubation","g5-inc-pa","Mix S08","8","2","A",2025-02-05 10:00:00,2025-02-05 19:00:00,0,-140,50,0.2,NA,"DCM DCM tmp + Light","48 h",""
"G5-380167","armbrust_grc_rnaseq_22",1659631,"Complete; Pass","INC24","g5-inc-pa.S8.C2.D.DT.SL.T48.B","TN412","g5","Incubation","g5-inc-pa","Mix S08","8","2","B",2025-02-05 10:00:00,2025-02-05 19:00:00,0,-140,50,0.2,NA,"DCM DCM tmp + Light","48 h",""
"G5-380168","armbrust_grc_rnaseq_22",1659682,"Complete; Pass","INC12","g5-inc-pa.S8.C2.D.DT.SL.T48.C","TN412","g5","Incubation","g5-inc-pa","Mix S08","8","2","C",2025-02-05 10:00:00,2025-02-05 19:00:00,0,-140,50,0.2,NA,"DCM DCM tmp + Light","48 h",""
"G5-380169","armbrust_grc_rnaseq_22",1659661,"Complete; Pass","INC18","g5-inc-pa.S8.C2.D.ST.SL.T48.A","TN412","g5","Incubation","g5-inc-pa","Mix S08","8","2","A",2025-02-05 10:00:00,2025-02-05 19:00:00,0,-140,50,0.2,NA,"DCM +tmp +light","48 h",""
"G5-380170","armbrust_grc_rnaseq_22",1659667,"Complete; Pass","INC1","g5-inc-pa.S8.C2.D.ST.SL.T48.B","TN412","g5","Incubation","g5-inc-pa","Mix S08","8","2","B",2025-02-05 10:00:00,2025-02-05 19:00:00,0,-140,50,0.2,NA,"DCM +tmp +light","48 h",""
"G5-380171","armbrust_grc_rnaseq_22",1659678,"Complete; Pass","INC8","g5-inc-pa.S8.C2.D.ST.SL.T48.C","TN412","g5","Incubation","g5-inc-pa","Mix S08","8","2","C",2025-02-05 10:00:00,2025-02-05 19:00:00,0,-140,50,0.2,NA,"DCM +tmp +light","48 h",""
"G5-380187","armbrust_grc_rnaseq_22",1659657,"Complete; Pass","INC28","g5-inc-pa.S8.stay.S.ST.SL.T48.A","TN412","g5","Incubation","g5-inc-pa","Mix S08","8","stayfish","A",2025-02-07 09:00:00,2025-02-07 18:00:00,0,-140,15,0.2,4,"Surface control","48 h",""
"G5-380188","armbrust_grc_rnaseq_22",1659652,"Complete; Pass","INC35","g5-inc-pa.S8.stay.S.ST.SL.T48.B","TN412","g5","Incubation","g5-inc-pa","Mix S08","8","stayfish","B",2025-02-07 09:00:00,2025-02-07 18:00:00,0,-140,15,0.2,4,"Surface control","48 h",""
"G5-380189","armbrust_grc_rnaseq_22",1659654,"Complete; Pass","INC33","g5-inc-pa.S8.stay.S.ST.SL.T48.C","TN412","g5","Incubation","g5-inc-pa","Mix S08","8","stayfish","C",2025-02-07 09:00:00,2025-02-07 18:00:00,0,-140,15,0.2,4,"Surface control","48 h",""
"G5-380190","armbrust_grc_rnaseq_22",1659668,"Complete; Pass","INC17","g5-inc-pa.S8.stay.S.ST.DL.T48.A","TN412","g5","Incubation","g5-inc-pa","Mix S08","8","stayfish","A",2025-02-07 09:00:00,2025-02-07 18:00:00,0,-140,15,0.2,4,"Surface surface tmp -light","48 h",""
"G5-380191","armbrust_grc_rnaseq_22",1659639,"Complete; Pass","INC36","g5-inc-pa.S8.stay.S.ST.DL.T48.B","TN412","g5","Incubation","g5-inc-pa","Mix S08","8","stayfish","B",2025-02-07 09:00:00,2025-02-07 18:00:00,0,-140,15,0.2,4,"Surface surface tmp -light","48 h",""
"G5-380192","armbrust_grc_rnaseq_22",1659686,"Complete; Pass","INC32","g5-inc-pa.S8.stay.S.ST.DL.T48.C","TN412","g5","Incubation","g5-inc-pa","Mix S08","8","stayfish","C",2025-02-07 09:00:00,2025-02-07 18:00:00,0,-140,15,0.2,4,"Surface surface tmp -light","48 h",""
"G5-380197","armbrust_grc_rnaseq_22",1659666,"Complete; Pass","INC31","g5-inc-pa.S8.stay.S.DT.DL.T48.B","TN412","g5","Incubation","g5-inc-pa","Mix S08","8","stayfish","B",2025-02-07 09:00:00,2025-02-07 18:00:00,0,-140,15,0.2,4,"Surface -tmp -light","48 h",""
"G5-380198","armbrust_grc_rnaseq_22",1659623,"Complete; Pass","INC34","g5-inc-pa.S8.stay.S.DT.DL.T48.C","TN412","g5","Incubation","g5-inc-pa","Mix S08","8","stayfish","C",2025-02-07 09:00:00,2025-02-07 18:00:00,0,-140,15,0.2,4,"Surface -tmp -light","48 h",""
