"ID","LookupID","sequencingID","Status","extractionID","SampleID","Cruise","Gradients","Type","project","Dataset","Station","Cast","Replicate","Datetime.local","Datetime.utc","Latitude.dec","Longitude.dec","Depth.m","Filter.um","Volume.L","Treatment","Incubation.time","Notes"
"G5-100004","armbrust_grc_rnaseq_21",1642371,"Complete; Pass","UW12","g5-uw-am-ns.01-23.A","TN412","g5","transect","g5-uw-am-ns","AM",NA,NA,"A",2025-01-23 06:44:00,2025-01-23 14:44:00,30.67,-120.87,5,0.2,10,NA,NA,""
"G5-100005","armbrust_grc_rnaseq_21",1642375,"Complete; Pass","UW60","g5-uw-am-ns.01-23.B","TN412","g5","transect","g5-uw-am-ns","AM",NA,NA,"B",2025-01-23 06:45:00,2025-01-23 14:45:00,30.67,-120.87,5,0.2,10,NA,NA,""
"G5-100006","armbrust_grc_rnaseq_21",1642402,"Complete; Pass","UW15","g5-uw-am-ns.01-23.C","TN412","g5","transect","g5-uw-am-ns","AM",NA,NA,"C",2025-01-23 06:47:00,2025-01-23 14:47:00,30.67,-120.87,5,0.2,10,NA,NA,""
"G5-100007","armbrust_grc_rnaseq_21",1642395,"Complete; Pass","UW48","g5-uw-am-ns.01-24.A","TN412","g5","transect","g5-uw-am-ns","AM",1,NA,"A",2025-01-24 06:03:00,2025-01-24 14:03:00,28.26,-124.72,5,0.2,10,NA,NA,""
"G5-100008","armbrust_grc_rnaseq_21",1642387,"Complete; Pass","UW32","g5-uw-am-ns.01-24.B","TN412","g5","transect","g5-uw-am-ns","AM",1,NA,"B",2025-01-24 06:32:00,2025-01-24 14:32:00,28.26,-124.72,5,0.2,10,NA,NA,""
"G5-100010","armbrust_grc_rnaseq_21",1642349,"Complete; Pass","UW38","g5-uw-am-ns.01-25.A","TN412","g5","transect","g5-uw-am-ns","AM",NA,NA,"A",2025-01-25 06:32:00,2025-01-25 14:32:00,26.23,-128.09,5,0.2,10,NA,NA,""
"G5-100011","armbrust_grc_rnaseq_21",1642391,"Complete; Pass","UW53","g5-uw-am-ns.01-25.B","TN412","g5","transect","g5-uw-am-ns","AM",NA,NA,"B",2025-01-25 06:37:00,2025-01-25 14:37:00,26.22,-128.1,5,0.2,10,NA,NA,""
"G5-100012","armbrust_grc_rnaseq_21",1642347,"Complete; Pass","UW74","g5-uw-am-ns.01-25.C","TN412","g5","transect","g5-uw-am-ns","AM",NA,NA,"C",2025-01-25 06:41:00,2025-01-25 14:41:00,26.21,-128.12,5,0.2,10,NA,NA,""
"G5-100013","armbrust_grc_rnaseq_21",1642398,"Complete; Pass","UW14","g5-uw-am-ns.01-26.A","TN412","g5","transect","g5-uw-am-ns","AM",NA,NA,"A",2025-01-26 06:56:00,2025-01-26 14:56:00,23.33,-132.7,5,0.2,10,NA,NA,""
"G5-100014","armbrust_grc_rnaseq_21",1642397,"Complete; Pass","UW20","g5-uw-am-ns.01-26.B","TN412","g5","transect","g5-uw-am-ns","AM",NA,NA,"B",2025-01-26 06:09:00,2025-01-26 14:09:00,23.33,-132.7,5,0.2,10,NA,NA,""
"G5-100015","armbrust_grc_rnaseq_21",1642340,"Complete; Pass","UW5","g5-uw-am-ns.01-26.C","TN412","g5","transect","g5-uw-am-ns","AM",NA,NA,"C",2025-01-26 07:00:00,2025-01-26 15:00:00,23.33,-132.7,5,0.2,10,NA,NA,""
"G5-100016","armbrust_grc_rnaseq_21",1642373,"Complete; Pass","UW41","g5-uw-am-ns.01-27.A","TN412","g5","transect","g5-uw-am-ns","AM",NA,NA,"A",2025-01-27 06:10:00,2025-01-27 15:10:00,20.31,-137.57,5,0.2,10,NA,NA,""
