"","sample_name","sample_name_short","BPDExtraSmall1","BPDExtraSmall2","BPDSmall1","BPDSmall2","BPDMedium1","BPDMedium2","BPDLarge1","BPDLarge2","SmallStandard1","SmallStandard2","MediumStandard1","MediumStandard2","LargeStandard1","LargeStandard2","BPD_standards_added","BMS_prok_standards_added","volume_filtered","MEAN","ratio","xFactor","NORM_FACTOR"
"1","S02C1_0_2umA_L1","S02C1_0_2umA_",6408,6059,71575,68179,1002779,863772,1328840,3174589,2401,7024,94587,113606,625630,628711,5230198630,13580968026,10,365633.5,2.69224917767287e-05,37143.6644235279,3714.36644235279
"2","S02C1_0_2umA_L2","S02C1_0_2umA_",6406,5995,71428,68741,1002739,865105,1337770,3187380,2321,6921,94544,113658,625625,629858,5230198630,13580968026,10,365921.25,2.69436795152941e-05,37114.4557087078,3711.44557087078
"3","S02C1_0_2umB_L1","S02C1_0_2umB_",7911,4487,85663,92187,1260089,1101301,2016184,4076073,2880,7672,136329,120913,896349,862104,5230198630,13580968026,10,503923.75,3.71051422133729e-05,26950.4424548357,2695.04424548357
"4","S02C1_0_2umB_L2","S02C1_0_2umB_",7807,4453,86958,93511,1273413,1114948,2040129,4126876,2929,7654,137011,122065,906767,871215,5230198630,13580968026,10,509264.5,3.74983947407167e-05,26667.8082332462,2666.78082332462
"5","S02C1_0_2umC_L1","S02C1_0_2umC_",4588,3591,72157,74533,891631,799231,1436331,2890654,2270,5549,97194,102547,721922,575828,5230198630,13580968026,10,374372.75,2.75659841981282e-05,36276.5933845345,3627.65933845345
"6","S02C1_0_2umC_L2","S02C1_0_2umC_",4618,3467,73129,75291,900216,804741,1450679,2921900,2267,5487,98083,102963,725790,579297,5230198630,13580968026,10,376533.25,2.77250671144464e-05,36068.4428958133,3606.84428958133
"7","S02C1_3umA_L1","S02C1_3umA_",11907,4050,114040,122603,1317157,1117601,1337307,3289446,1814,5776,90886,117388,514324,738748,5230198630,13580968026,10,365336.5,2.69006229379661e-05,37173.8603342398,3717.38603342398
"8","S02C1_3umA_L2","S02C1_3umA_",11875,4178,115567,123951,1329085,1129589,1349770,3325434,1822,5676,91846,117464,517780,745895,5230198630,13580968026,10,368246.25,2.71148749702535e-05,36880.1258016884,3688.01258016884
"9","S02C1_3umB_L1","S02C1_3umB_",6918,4000,82539,97988,1278999,1073920,1167969,4016574,2587,6171,108003,110033,572677,743718,5230198630,13580968026,10,383607.75,2.82459799084722e-05,35403.2681195831,3540.32681195831
"10","S02C1_3umB_L2","S02C1_3umB_",7200,4145,84096,99405,1293335,1083927,1178090,4057562,2543,6061,109587,110217,576775,750920,5230198630,13580968026,10,386874.75,2.84865371348603e-05,35104.3019116652,3510.43019116652
