"","sample_name","sample_name_short","BPDExtraSmall1","BPDExtraSmall2","BPDSmall1","BPDSmall2","BPDMedium1","BPDMedium2","BPDLarge1","BPDLarge2","SmallStandard1","SmallStandard2","MediumStandard1","MediumStandard2","LargeStandard1","LargeStandard2","standards_added","volume_filtered","MEAN","ratio","xFactor","NORM_FACTOR"
"1","S02C1_0.2umA.NS1_combined.extendedFrags.fastq.gz.sam","S02C1_02umA",190,37,12924,27300,67313,39649,63167,26638,2,1,6,11,8,7,5230198630,10,39498.5,7.55200763761433e-06,132415.120321025,13241.5120321025
"2","S02C1_0.2umA.NS2_combined.extendedFrags.fastq.gz.sam","S02C1_02umA",636,119,35706,74461,184261,111221,174005,73145,5,2,6,31,29,19,5230198630,10,108799.833333333,2.08022373584946e-05,48071.7522238852,4807.17522238852
"3","S02C1_0.2umA.NS3_combined.extendedFrags.fastq.gz.sam","S02C1_02umA",419,92,30731,71021,166792,104544,162728,67065,6,4,8,24,27,26,5230198630,10,100480.166666667,1.92115393266941e-05,52052.0497079855,5205.20497079855
"4","S02C1_0.2umA.NS4_combined.extendedFrags.fastq.gz.sam","S02C1_02umA",383,70,30089,67468,160463,99447,154594,64147,7,0,11,27,25,19,5230198630,10,96034.6666666667,1.83615716075905e-05,54461.5690514536,5446.15690514536
"5","S02C1_0.2umA.NS5_combined.extendedFrags.fastq.gz.sam","S02C1_02umA",613,108,35588,73450,180070,108244,171338,71718,6,2,9,33,30,31,5230198630,10,106734.666666667,2.04073830111241e-05,49001.873461918,4900.1873461918
"6","S02C1_0.2umA.NS6_combined.extendedFrags.fastq.gz.sam","S02C1_02umA",603,87,36159,73782,181627,109842,171886,72585,9,4,9,40,42,28,5230198630,10,107646.833333333,2.05817868399643e-05,48586.6464255799,4858.66464255799
"7","S02C1_0.2umA.NS7_combined.extendedFrags.fastq.gz.sam","S02C1_02umA",618,113,35672,75743,183393,111114,173775,72750,10,2,9,28,31,38,5230198630,10,108741.166666667,2.07910204486185e-05,48097.687291075,4809.7687291075
"8","S02C1_0.2umA.NS8_combined.extendedFrags.fastq.gz.sam","S02C1_02umA",551,115,35048,73555,179124,108450,169873,71283,5,3,12,35,28,24,5230198630,10,106222.166666667,2.03093943808147e-05,49238.2973735865,4923.82973735865
"9","S02C1_0.2umB.NS1_combined.extendedFrags.fastq.gz.sam","S02C1_02umB",82,11,17016,24269,61068,40661,61264,30007,2,0,3,13,17,12,5230198630,10,39047.5,7.46577764294202e-06,133944.519623535,13394.4519623535
"10","S02C1_0.2umB.NS2_combined.extendedFrags.fastq.gz.sam","S02C1_02umB",278,47,47031,67736,169744,112782,171698,82771,2,0,15,26,37,24,5230198630,10,108627,2.07691920870699e-05,48148.237823009,4814.8237823009
"11","S02C1_0.2umB.NS3_combined.extendedFrags.fastq.gz.sam","S02C1_02umB",168,24,39063,62946,150623,106104,156259,73811,1,1,10,43,33,22,5230198630,10,98134.3333333333,1.87630222627574e-05,53296.3179383362,5329.63179383362
"12","S02C1_0.2umB.NS4_combined.extendedFrags.fastq.gz.sam","S02C1_02umB",153,24,38893,60597,145466,100414,150508,71404,5,0,6,17,34,21,5230198630,10,94547,1.80771337168126e-05,55318.504341756,5531.8504341756
"13","S02C1_0.2umB.NS5_combined.extendedFrags.fastq.gz.sam","S02C1_02umB",278,41,45626,66057,164444,110198,166196,80063,6,0,8,30,35,24,5230198630,10,105430.666666667,2.01580616961514e-05,49607.9442097808,4960.79442097808
"14","S02C1_0.2umB.NS6_combined.extendedFrags.fastq.gz.sam","S02C1_02umB",277,39,46164,66322,165421,110762,167145,80453,2,0,7,34,33,24,5230198630,10,106044.5,2.02754249889741e-05,49320.7910829887,4932.07910829887
"15","S02C1_0.2umB.NS7_combined.extendedFrags.fastq.gz.sam","S02C1_02umB",273,35,46539,67301,165569,112306,169000,81110,5,0,9,40,35,19,5230198630,10,106970.833333333,2.04525374466196e-05,48893.6887469326,4889.36887469326
"16","S02C1_0.2umB.NS8_combined.extendedFrags.fastq.gz.sam","S02C1_02umB",276,28,45514,65368,162750,109941,165460,79655,4,0,10,32,23,23,5230198630,10,104781.333333333,2.00339108982049e-05,49915.3662548037,4991.53662548036
"17","S02C1_0.2umC.NS1_combined.extendedFrags.fastq.gz.sam","S02C1_02umC",263,49,21380,35581,85219,53904,87636,37456,2,0,9,13,13,9,5230198630,10,53529.3333333333,1.02346654726062e-05,97707.1505342865,9770.71505342865
"18","S02C1_0.2umC.NS2_combined.extendedFrags.fastq.gz.sam","S02C1_02umC",832,187,60700,99400,242133,152774,248381,105769,8,1,15,54,51,43,5230198630,10,151526.166666667,2.89713981028416e-05,34516.8015865247,3451.68015865247
"19","S02C1_0.2umC.NS3_combined.extendedFrags.fastq.gz.sam","S02C1_02umC",541,133,50931,92324,216457,142906,228506,94809,4,0,16,42,47,41,5230198630,10,137655.5,2.63193637064602e-05,37994.8395087737,3799.48395087737
"20","S02C1_0.2umC.NS4_combined.extendedFrags.fastq.gz.sam","S02C1_02umC",528,137,49969,88427,208131,135925,218006,90450,8,0,17,37,42,29,5230198630,10,131818,2.52032493075698e-05,39677.4236447223,3967.74236447223
"21","S02C1_0.2umC.NS5_combined.extendedFrags.fastq.gz.sam","S02C1_02umC",751,142,59162,96550,234173,147869,242582,101928,6,1,19,42,41,45,5230198630,10,147044,2.81144198150654e-05,35568.9360327521,3556.89360327521
"22","S02C1_0.2umC.NS6_combined.extendedFrags.fastq.gz.sam","S02C1_02umC",798,155,59813,97320,236303,150540,243775,102308,8,0,22,54,40,46,5230198630,10,148343.166666667,2.83628170096222e-05,35257.428754723,3525.7428754723
"23","S02C1_0.2umC.NS7_combined.extendedFrags.fastq.gz.sam","S02C1_02umC",763,176,59900,98549,237389,152000,246763,103112,8,0,22,46,53,49,5230198630,10,149618.833333333,2.86067210669843e-05,34956.8200304552,3495.68200304552
"24","S02C1_0.2umC.NS8_combined.extendedFrags.fastq.gz.sam","S02C1_02umC",755,184,58692,96607,232663,148437,240755,102007,12,0,13,43,38,46,5230198630,10,146526.833333333,2.80155389305613e-05,35694.4766430722,3569.44766430722
"25","S02C1_3umA.NS1_combined.extendedFrags.fastq.gz.sam","S02C1_3umA",64,17,9475,12873,31973,20112,32949,15041,5,2,3,11,20,17,5230198630,10,20403.8333333333,3.90115840272272e-06,256334.118425459,25633.4118425459
"26","S02C1_3umA.NS2_combined.extendedFrags.fastq.gz.sam","S02C1_3umA",227,33,25957,36562,90369,57465,93143,42204,11,2,15,21,55,42,5230198630,10,57616.6666666667,1.10161526822676e-05,90775.7934046861,9077.57934046862
"27","S02C1_3umA.NS3_combined.extendedFrags.fastq.gz.sam","S02C1_3umA",134,22,21963,34282,82006,53908,86953,38679,6,3,21,26,44,57,5230198630,10,52965.1666666667,1.01267983137127e-05,98747.8933638775,9874.78933638775
"28","S02C1_3umA.NS4_combined.extendedFrags.fastq.gz.sam","S02C1_3umA",134,48,21654,32749,78042,50848,82673,36980,11,1,13,24,49,39,5230198630,10,50491,9.65374425942213e-06,103586.750708047,10358.6750708047
"29","S02C1_3umA.NS5_combined.extendedFrags.fastq.gz.sam","S02C1_3umA",233,35,25359,35509,87606,55610,90232,41397,6,0,10,20,55,45,5230198630,10,55952.1666666667,1.06979047307553e-05,93476.2484026535,9347.62484026535
"30","S02C1_3umA.NS6_combined.extendedFrags.fastq.gz.sam","S02C1_3umA",186,23,25742,35787,88189,56220,91953,41558,5,2,18,27,43,50,5230198630,10,56574.8333333333,1.08169569333036e-05,92447.4421194347,9244.74421194347
"31","S02C1_3umA.NS7_combined.extendedFrags.fastq.gz.sam","S02C1_3umA",187,37,26003,36263,89495,57050,91917,41833,5,4,11,20,52,45,5230198630,10,57093.5,1.09161246137988e-05,91607.6020913064,9160.76020913064
"32","S02C1_3umA.NS8_combined.extendedFrags.fastq.gz.sam","S02C1_3umA",181,46,25260,35210,87506,55424,91054,40881,10,2,22,32,63,42,5230198630,10,55889.1666666667,1.0685859299127e-05,93581.617725558,9358.1617725558
"33","S02C1_3umB.NS1_combined.extendedFrags.fastq.gz.sam","S02C1_3umB",211,77,9293,19501,45467,26775,43926,18578,2,0,14,18,21,33,5230198630,10,27256.6666666667,5.21140182140017e-06,191886.949859362,19188.6949859362
"34","S02C1_3umB.NS2_combined.extendedFrags.fastq.gz.sam","S02C1_3umB",860,283,25330,53426,125636,74742,120508,50751,11,0,38,42,78,90,5230198630,10,75065.5,1.43523229824256e-05,69675.1321179503,6967.51321179503
"35","S02C1_3umB.NS3_combined.extendedFrags.fastq.gz.sam","S02C1_3umB",649,237,21894,50854,115755,72540,114989,46961,12,5,28,31,75,82,5230198630,10,70498.8333333333,1.34791885204814e-05,74188.4423146482,7418.84423146482
"36","S02C1_3umB.NS4_combined.extendedFrags.fastq.gz.sam","S02C1_3umB",558,198,21770,48661,109865,68166,109093,45437,8,2,25,51,68,67,5230198630,10,67165.3333333333,1.28418322294833e-05,77870.5080497876,7787.05080497876
"37","S02C1_3umB.NS5_combined.extendedFrags.fastq.gz.sam","S02C1_3umB",784,221,25230,52307,122675,73276,118905,50263,11,3,26,42,63,85,5230198630,10,73776,1.41057740287007e-05,70892.9547549338,7089.29547549338
"38","S02C1_3umB.NS6_combined.extendedFrags.fastq.gz.sam","S02C1_3umB",798,213,25361,53056,123499,73914,119700,50397,8,0,22,42,75,81,5230198630,10,74321.1666666667,1.4210008438373e-05,70372.9349871167,7037.29349871167
"39","S02C1_3umB.NS7_combined.extendedFrags.fastq.gz.sam","S02C1_3umB",781,236,25567,53949,124501,74902,120861,50899,13,2,33,47,79,74,5230198630,10,75113.1666666667,1.43614367216999e-05,69630.9164172282,6963.09164172282
"40","S02C1_3umB.NS8_combined.extendedFrags.fastq.gz.sam","S02C1_3umB",749,229,25136,51781,121820,73264,117887,50310,15,3,22,44,64,63,5230198630,10,73366.3333333333,1.40274468568956e-05,71288.8104443909,7128.88104443909
"41","S02C1_3umC.NS1_combined.extendedFrags.fastq.gz.sam","S02C1_3umC",182,45,12291,20946,48102,30504,47220,21899,4,0,8,14,29,28,5230198630,10,30160.3333333333,5.76657512782327e-06,173413.157347952,17341.3157347952
"42","S02C1_3umC.NS2_combined.extendedFrags.fastq.gz.sam","S02C1_3umC",572,165,34298,57692,133744,85886,130463,60927,5,2,20,31,86,81,5230198630,10,83835,1.60290279453498e-05,62386.8149340967,6238.68149340967
"43","S02C1_3umC.NS3_combined.extendedFrags.fastq.gz.sam","S02C1_3umC",398,104,28174,51774,116383,79676,117111,53209,4,1,15,34,87,66,5230198630,10,74387.8333333333,1.42227549268685e-05,70309.8664880234,7030.98664880234
"44","S02C1_3umC.NS4_combined.extendedFrags.fastq.gz.sam","S02C1_3umC",397,104,27730,49920,112455,75263,111963,51516,7,2,23,25,66,59,5230198630,10,71474.5,1.36657333796135e-05,73175.7288263646,7317.57288263646
"45","S02C1_3umC.NS5_combined.extendedFrags.fastq.gz.sam","S02C1_3umC",522,123,33593,55287,127546,83367,126277,58934,6,2,26,35,77,62,5230198630,10,80834,1.54552447657232e-05,64702.9545735705,6470.29545735705
"46","S02C1_3umC.NS6_combined.extendedFrags.fastq.gz.sam","S02C1_3umC",499,114,33930,55505,129089,83610,126350,59268,8,2,23,40,80,72,5230198630,10,81292,1.55428131416875e-05,64338.4174334498,6433.84174334498
"47","S02C1_3umC.NS7_combined.extendedFrags.fastq.gz.sam","S02C1_3umC",524,131,33884,56191,129022,85053,127799,59678,8,1,29,43,66,82,5230198630,10,81937.8333333333,1.5666294748988e-05,63831.3025525449,6383.13025525449
"48","S02C1_3umC.NS8_combined.extendedFrags.fastq.gz.sam","S02C1_3umC",560,120,33242,55168,127436,83635,125387,58214,5,0,27,30,67,69,5230198630,10,80513.6666666667,1.53939978885021e-05,64960.3830819612,6496.03830819612
"49","S04C1_0.2umA.NS1_combined.extendedFrags.fastq.gz.sam","S04C1_02umA",203,29,18307,27241,68054,42349,66172,29852,1,0,5,20,10,9,5230198630,10,41995.8333333333,8.02949109665713e-06,124540.89405695,12454.089405695
"50","S04C1_0.2umA.NS2_combined.extendedFrags.fastq.gz.sam","S04C1_02umA",768,106,51469,75285,189566,120878,186074,82056,11,3,19,51,57,42,5230198630,10,117554.666666667,2.24761380939497e-05,44491.6291143978,4449.16291143978
"51","S04C1_0.2umA.NS3_combined.extendedFrags.fastq.gz.sam","S04C1_02umA",406,55,44419,72537,174317,115791,176087,76350,4,1,18,56,50,33,5230198630,10,109916.833333333,2.10158047732373e-05,47583.2360830385,4758.32360830385
"52","S04C1_0.2umA.NS4_combined.extendedFrags.fastq.gz.sam","S04C1_02umA",403,52,43096,67943,165881,107956,165488,72646,3,6,21,38,41,35,5230198630,10,103835,1.98529744940108e-05,50370.2858381085,5037.02858381085
"53","S04C1_0.2umA.NS5_combined.extendedFrags.fastq.gz.sam","S04C1_02umA",665,125,50809,74070,185526,118289,181894,80405,9,3,19,38,47,27,5230198630,10,115165.5,2.20193358124909e-05,45414.6305100052,4541.46305100052
"54","S04C1_0.2umA.NS6_combined.extendedFrags.fastq.gz.sam","S04C1_02umA",709,91,51448,74243,186866,119225,182982,81471,10,4,14,49,53,41,5230198630,10,116039.166666667,2.21863785442249e-05,45072.700711685,4507.2700711685
