"","sample_name","BPDExtraSmall1","BPDExtraSmall2","BPDSmall1","BPDSmall2","BPDMedium1","BPDMedium2","BPDLarge1","BPDLarge2","SmallStandard1","SmallStandard2","MediumStandard1","MediumStandard2","LargeStandard1","LargeStandard2","average","added","volume","MEAN","ratio","xFactor","NORM_FACTOR"
"1","G2NS.S02C1.15m.0_2um.A",42684,6655,463345,488803,1257546,1223880,1253394,1976144,45527,74406,1115781,1034428,964089,2038901,1288300,13580968026,8,1288299.75,9.48606717528252e-05,10541.7764972787,1317.72206215984
"2","G2NS.S02C1.15m.0_2um.B",48569,5232,322602,430877,1188944,1074389,1114674,1705744,50724,76360,1062530,762166,776516,1607928,1052285,13580968026,8,1052285,7.74823265900825e-05,12906.1689808369,1613.27112260462
"3","G2NS.S02C1.15m.0_2um.C",26233,2404,235204,384647,995793,856372,949923,1452458,41364,38677,887867,564332,591315,1273032,829137,13580968026,8,829136.5,6.1051354985349e-05,16379.6528388269,2047.45660485336
"4","G2NS.S02C1.15m.3um.A",47034,4709,311343,522571,1321759,1046474,1142445,1628639,79887,68551,1224191,776974,779885,1646801,1106963,13580968026,8,1106962.75,8.15083834878914e-05,12268.6766343312,1533.5845792914
"5","G2NS.S02C1.15m.3um.B",60891,4084,295042,521860,1362371,1030825,1165851,1605494,80044,81017,1336821,763796,816871,1670653,1147035,13580968026,8,1147035.25,8.4459019990627e-05,11840.0616075225,1480.00770094032
"6","G2NS.S02C1.15m.3um.C",72186,6374,427069,702726,1708580,1267899,1297914,1861537,103686,98981,1677874,994269,956521,2069870,1424634,13580968026,8,1424633.5,0.000104899260293715,9532.95568719955,1191.61946089994
"7","G2NS.S05C1.15m.0_2um.A",22043,3884,232719,249808,625622,630492,630538,999823,22962,37606,570608,525135,498301,1049952,660999,13580968026,7,660999,4.86709782936352e-05,20546.1249200074,2935.16070285821
"8","G2NS.S05C1.15m.0_2um.B",17295,2179,117530,134772,374118,353664,329869,571815,12320,25308,333166,256426,234396,522382,336593,13580968026,7,336592.5,2.47841316874918e-05,40348.3976202678,5764.0568028954
"9","G2NS.S05C1.15m.0_2um.C",16806,2090,153513,259960,689200,604541,651864,1019719,28640,26252,543212,336224,381906,831637,523245,13580968026,7,523244.75,3.85277948521988e-05,25955.2877042722,3707.89824346746
"10","G2NS.S05C1.15m.3um.A",45297,6222,322787,353020,983596,935104,852460,1511820,31631,69388,867198,730758,629769,1503575,932825,13580968026,7,932825,6.86861936655884e-05,14558.9666078846,2079.85237255495
