sample_name,BPDExtraSmall1,BPDExtraSmall2,BPDSmall1,BPDSmall2,BPDMedium1,BPDMedium2,BPDLarge1,BPDLarge2,SmallStandard1,SmallStandard2,MediumStandard1,MediumStandard2,LargeStandard1,LargeStandard2,V_filtered_L,mean_prok,added_prok,ratio_prok,xFactor_prok,NORM_FACTOR
G2.BEXP1.NS.Ctrl.T96.0_2um.A,649,377,10694,12210,73857,66488,68534,117959,2273,3139,33998,17795,56848,70486,4,44781.75,13580968026,3.30E-06,303270.1497,75817.53742
G2.BEXP1.NS.Ctrl.T96.0_2um.B,941,428,7305,9443,97560,71441,90593,145947,2029,2716,26200,14990,77785,86433,4,51352,13580968026,3.78E-06,264468.142,66117.03549
G2.BEXP1.NS.Ctrl.T96.0_2um.C,619,374,7693,8787,61599,53655,68281,101830,2183,3290,24980,13234,63175,54967,4,39089,13580968026,2.88E-06,347437.0802,86859.27004
G2.BEXP1.NS.DHPS.T96.0_2um.A,216,124,2975,3291,26307,22487,29243,42810,694,964,10689,5134,26285,21813,4,15980.25,13580968026,1.18E-06,849859.547,212464.8868
G2.BEXP1.NS.DHPS.T96.0_2um.B,665,273,7253,8806,56821,46713,56929,94955,1630,2526,24527,11882,46516,44578,4,31875.75,13580968026,2.35E-06,426059.5602,106514.89
G2.BEXP1.NS.DHPS.T96.0_2um.C,375,169,5749,6543,41232,35688,45016,70350,1237,1607,19559,10147,35989,36641,4,25584,13580968026,1.88E-06,530838.3375,132709.5844
G2.BEXP1.NS.Ise.T96.0_2um.A,386,193,5351,7074,47937,36578,50033,73313,1516,1940,20550,10259,37028,38848,4,26671.25,13580968026,1.96E-06,509198.7824,127299.6956
G2.BEXP1.NS.Ise.T96.0_2um.B,751,346,5975,6826,54312,40034,58545,94318,1695,2129,17673,8737,35788,31312,4,23377.5,13580968026,1.72E-06,580941.8469,145235.4617
G2.BEXP1.NS.Ise.T96.0_2um.C,1013,407,11867,14933,103930,83159,106589,164796,3580,4145,38404,21431,71264,70450,4,50387.25,13580968026,3.71E-06,269531.8364,67382.95911
G2.BEXP1.NS.Tau.T96.0_2um.A,452,201,6289,7396,51626,44488,54792,84698,1025,1637,20157,11432,44416,42984,4,29747.25,13580968026,2.19E-06,456545.3286,114136.3321
G2.BEXP1.NS.Tau.T96.0_2um.B,305,203,2203,2084,20493,15772,37631,60428,452,836,6662,3503,22087,19222,4,12868.5,13580968026,9.48E-07,1055365.274,263841.3185
G2.BEXP1.NS.Tau.T96.0_2um.C,336,171,3336,3419,24146,24156,22423,38036,521,1057,9396,5174,22501,21593,4,14666,13580968026,1.08E-06,926017.1844,231504.2961
G2.BEXP2.NS.Ctrl.T96.0_2um.A,1653,881,21336,22735,162020,133622,249422,416862,5555,5655,54346,24142,122019,90309,4,72704,13580968026,5.35E-06,186798.0857,46699.52144
