"","sample_name","Sample_ID","Sample","lat","BPDExtraSmall1","BPDExtraSmall2","BPDSmall1","BPDSmall2","BPDMedium1","BPDMedium2","BPDLarge1","BPDLarge2","SmallStandard1","SmallStandard2","MediumStandard1","MediumStandard2","LargeStandard1","LargeStandard2","added","volume","MEAN","ratio","xFactor","NORM_FACTOR"
"1","BD10.sam","BD10","S17C3.DCM.3um",32,4404,1327,63490,67240,645391,546924,865433,1026117,19477,25162,301772,154595,858027,871064,13580968026,9.5,546364.5,4.02301587746923e-05,24856.9737345673,2616.52355100708
"2","BD12.sam","BD12","S18C2.DCM.3um",29.58,5581,1195,57813,62961,649904,578840,782479,1039162,8874,14349,239291,138216,635595,811155,13580968026,9,456064.25,3.35811297933174e-05,29778.6288357397,3308.73653730441
"3","BD15.sam","BD15","S17C3.DCM.0_2um",32,3221,956,41342,40122,455315,378083,553624,797665,9727,10503,182584,95037,486422,570297,13580968026,9.5,333585,2.45626820828508e-05,40712.1663923738,4285.49119919724
"4","BD17.sam","BD17","S11C2.DCM.3um",37,821,202,13784,13220,138042,118699,161351,235208,2306,3282,64846,41684,144686,195636,13580968026,10,111713,8.22570230532402e-06,121570.166641304,12157.0166641304
"5","BD20.sam","BD20","S15C2.DCM.0_2um",34,1666,411,20824,23079,265654,195008,309762,438838,9203,7287,128361,44548,312772,348545,13580968026,9,208556.5,1.53565268396723e-05,65118.8911685802,7235.43235206447
"6","BD21.sam","BD21","S11C2.DCM.3um",37,1130,342,14227,14711,149666,119912,170777,244883,4285,5677,70378,34576,162846,204056,13580968026,10,117964,8.68597877369011e-06,115128.073191821,11512.8073191821
"7","BD22.sam","BD22","S17C3.DCM.0_2um",32,2967,739,33817,41326,376078,270702,498391,738953,22971,14890,254564,70250,577855,531007,13580968026,9.5,358419,2.63912704391783e-05,37891.3172181162,3988.55970717013
"8","BD3.sam","BD3","S17C3.DCM.3um",32,3529,1050,44569,44263,447863,372805,485934,699652,7470,11489,172236,87599,457677,613978,13580968026,9.5,332872.5,2.45102189595568e-05,40799.3091228624,4294.66411819604
"9","BD31.sam","BD31","S15C2.DCM.3um",34,976,291,14100,13741,146401,123067,169326,241145,3495,5136,64818,33477,156780,197091,13580968026,9,113041.5,8.32352302012555e-06,120141.435012805,13349.0483347561
"10","BD40.sam","BD40","S18C2.DCM.3um",29.58,5963,1292,76683,76033,661199,657020,773346,1105655,7813,13728,227019,152942,719912,958524,13580968026,9,514599.25,3.7891205473338e-05,26391.3482695515,2932.37202995017
"11","BD42.sam","BD42","S15C2.DCM.3um",34,1934,539,27219,27461,264595,252632,298640,428663,2706,4720,82781,56876,263839,341489,13580968026,9,186246.25,1.37137683884862e-05,72919.4173090733,8102.15747878593
"12","BD43.sam","BD43","S18C2.DCM.0_2um",29.58,4384,1218,64619,66742,670019,691582,926034,1276577,5334,8538,168222,112828,709250,747391,13580968026,9,434422.75,3.19876130455739e-05,31262.1013195096,3473.56681327885
"13","BD46.sam","BD46","S15C2.DCM.0_2um",34,2400,577,36691,38648,357675,349095,473650,632143,3595,4552,99237,68210,378077,435030,13580968026,9,245138.5,1.80501492626075e-05,55401.2039153377,6155.68932392641
"14","BD47.sam","BD47","S17C3.DCM.3um",32,4284,1097,50188,50884,467305,422282,533242,732780,5351,10644,182460,111125,532737,670997,13580968026,9.5,374329.75,2.75628180026171e-05,36280.7605486874,3819.02742617762
"15","BD53.sam","BD53","S17C3.DCM.0_2um",32,3928,1146,57881,63186,549779,503550,670892,905706,6688,9123,173692,103270,584855,675867,13580968026,9.5,384421,2.83058615014812e-05,35328.3718267212,3718.77598176013
"16","BD56.sam","BD56","S11C2.DCM.0_2um",37,1469,352,19049,22039,157172,154434,183946,251500,2320,3416,66762,41709,177969,230245,13580968026,10,129171.25,9.51119609093467e-06,105139.247518314,10513.9247518314
"17","BD60.sam","BD63","S11C2.DCM.3um",37,3679,1069,50116,49770,486868,473383,612559,853393,6618,7801,126910,91862,472766,563020,13580968026,10,313639.5,2.30940459766605e-05,43301.2041723061,4330.12041723061
"18","BD78.sam","BD78","S11C2.DCM.0_2um",37,1890,542,28127,29132,280323,276579,350546,495468,3519,4602,76963,52781,277833,324093,13580968026,10,182917.5,1.34686643580792e-05,74246.4117758006,7424.64117758006
"19","BD8.sam","BD8","S18C2.DCM.0_2um",29.58,2742,599,38760,34122,376836,275869,492831,631876,18587,13113,207602,75796,510522,555192,13580968026,9,337278,2.48346067345347e-05,40266.3915998079,4474.04351108976
"20","BD80.sam","BD80","S18C2.DCM.3um",29.58,5829,1232,70421,72754,599065,566572,735426,948790,11804,17221,261775,164908,702047,880976,13580968026,9,502426.5,3.69948960220017e-05,27030.7557941311,3003.41731045901
"21","BD83.sam","BD83","S18C2.DCM.0_2um",29.58,2724,641,39529,34712,351926,330646,447955,641438,4181,7402,144472,86398,451557,517837,13580968026,9,300066,2.20945958657395e-05,45259.9362340285,5028.88180378095
"22","BD84.sam","BD84","S15C2.DCM.3um",34,1748,508,27005,27405,247459,243165,298895,418793,1752,3805,80283,57004,290124,334328,13580968026,6,190434.75,1.40221779210012e-05,71315.5977362325,11885.9329560387
