SampleID,Alias1,BPDExtraSmall1,BPDExtraSmall2,BPDSmall1,BPDSmall2,BPDMedium1,BPDMedium2,BPDLarge1,BPDLarge2,SmallStandard1,SmallStandard2,MediumStandard1,MediumStandard2,LargeStandard1,LargeStandard2,Volume_L,added,MEAN,ratio,xFactor,NORM_FACTOR
G2.DCM.NS.S11C2.50m.0_2um.A,BD78,1890,542,28127,29132,280323,276579,350546,495468,3519,4602,76963,52781,277833,324093,10,13580968026,182917.5,1.35E-05,74246.41178,7424.641178
G2.DCM.NS.S11C2.50m.0_2um.C,BD56,1469,352,19049,22039,157172,154434,183946,251500,2320,3416,66762,41709,177969,230245,10,13580968026,129171.25,9.51E-06,105139.2475,10513.92475
G2.DCM.NS.S11C2.50m.3um.A,BD21,1130,342,14227,14711,149666,119912,170777,244883,4285,5677,70378,34576,162846,204056,10,13580968026,117964,8.69E-06,115128.0732,11512.80732
G2.DCM.NS.S11C2.50m.3um.B,BD17,821,202,13784,13220,138042,118699,161351,235208,2306,3282,64846,41684,144686,195636,10,13580968026,111713,8.23E-06,121570.1666,12157.01666
G2.DCM.NS.S15C2.56m.0_2um.A,BD60,3679,1069,50116,49770,486868,473383,612559,853393,6618,7801,126910,91862,472766,563020,6,13580968026,313639.5,2.31E-05,43301.20417,7216.867362
G2.DCM.NS.S15C2.56m.0_2um.B,BD20,1666,411,20824,23079,265654,195008,309762,438838,9203,7287,128361,44548,312772,348545,9,13580968026,208556.5,1.54E-05,65118.89117,7235.432352
G2.DCM.NS.S15C2.56m.0_2um.C,BD46,2400,577,36691,38648,357675,349095,473650,632143,3595,4552,99237,68210,378077,435030,9,13580968026,245138.5,1.81E-05,55401.20392,6155.689324
G2.DCM.NS.S15C2.56m.3um.A,BD84,1748,508,27005,27405,247459,243165,298895,418793,1752,3805,80283,57004,290124,334328,6,13580968026,190434.75,1.40E-05,71315.59774,11885.93296
G2.DCM.NS.S15C2.56m.3um.B,BD31,976,291,14100,13741,146401,123067,169326,241145,3495,5136,64818,33477,156780,197091,9,13580968026,113041.5,8.32E-06,120141.435,13349.04833
G2.DCM.NS.S15C2.56m.3um.C,BD42,1934,539,27219,27461,264595,252632,298640,428663,2706,4720,82781,56876,263839,341489,9,13580968026,186246.25,1.37E-05,72919.41731,8102.157479
