"","sample_name","BPDExtraSmall1","BPDExtraSmall2","BPDSmall1","BPDSmall2","BPDMedium1","BPDMedium2","BPDLarge1","BPDLarge2","SmallStandard1","SmallStandard2","MediumStandard1","MediumStandard2","LargeStandard1","LargeStandard2","average","added","volume","MEAN","ratio","xFactor","NORM_FACTOR"
"1","G2PA.S02C1.15m.0_2um.A",102032,37243,270991,268944,727620,565733,676699,400096,119,46,144,207,253,315,485014,5230198630,8,485013.833333333,9.27333487013921e-05,10783.6071273568,1347.95089091961
"2","G2PA.S02C1.15m.0_2um.B",86180,27446,728935,641177,1693095,1406126,1697883,1104191,246,176,437,321,880,871,1211901,5230198630,8,1211901.16666667,0.000231712264179662,4315.69733065416,539.46216633177
"3","G2PA.S02C1.15m.0_2um.C",155331,49766,622438,622207,1660174,1342532,1623865,991403,353,185,385,401,831,830,1143770,5230198630,8,1143769.83333333,0.000218685735331878,4572.77196650433,571.596495813042
"4","G2PA.S02C1.15m.3um.A",63364,19359,233539,251739,679099,481635,548553,343966,344,153,584,548,3898,2822,423089,5230198630,8,423088.5,8.0893390467658e-05,12361.9494030209,1545.24367537761
"5","G2PA.S02C1.15m.3um.B",93599,22386,281985,302594,720734,576649,604679,381627,434,139,445,473,2038,1425,478045,5230198630,8,478044.666666667,9.140086266029e-05,10940.8157745371,1367.60197181714
"6","G2PA.S02C1.15m.3um.C",132413,32728,509693,558446,1055414,869105,840767,558439,641,259,1054,832,3974,3109,731977,5230198630,8,731977.333333333,0.000139952109874904,7145.30135268305,893.162669085381
"7","G2PA.S05C1.15m.0_2um.A",45430,17195,186477,178354,472828,367741,444458,275233,44,22,111,186,207,182,320849,5230198630,7,320848.5,6.1345375710903e-05,16301.147208106,2328.73531544372
"8","G2PA.S05C1.15m.0_2um.B",54509,23639,169469,164032,459715,351660,422208,248424,131,77,97,102,183,172,302585,5230198630,7,302584.666666667,5.7853379588887e-05,17285.0749101629,2469.29641573755
"9","G2PA.S05C1.15m.0_2um.C",32548,11472,177167,149717,476017,386296,481220,293030,52,24,67,107,146,111,327241,5230198630,7,327241.166666667,6.256763649274e-05,15982.7037755539,2283.2433965077
"10","G2PA.S05C1.15m.3um.A",31008,7099,138942,141041,277846,256733,284647,175877,332,86,270,283,694,426,212514,5230198630,7,212514.333333333,4.06321725745497e-05,24611.0393965583,3515.86277093691
"11","G2PA.S05C1.15m.3um.B",28757,6330,126679,132953,286167,256316,297378,179250,297,69,244,216,669,410,213124,5230198630,7,213123.833333333,4.07487073456201e-05,24540.6557689856,3505.80796699795
"12","G2PA.S05C1.15m.3um.C",28991,7258,123884,121195,253390,233909,260154,162068,197,83,234,199,458,354,192433,5230198630,7,192433.333333333,3.67927390423666e-05,27179.2757491772,3882.75367845389
"13","G2PA.S06C1.15m.0_2um.A",28079,9498,88101,93901,238992,187183,214338,132990,31,21,58,69,131,97,159251,5230198630,8,159250.833333333,3.04483337248194e-05,32842.5196937745,4105.31496172181
"14","G2PA.S06C1.15m.0_2um.B",12504,4205,56085,58259,156935,116197,155543,89121,27,33,25,43,112,82,105357,5230198630,7,105356.666666667,2.01439130939214e-05,49642.787641978,7091.82680599686
"15","G2PA.S06C1.15m.0_2um.C",16595,5643,71533,69020,188500,137569,174915,102751,20,1,40,43,100,69,124048,5230198630,7.75,124048,2.3717646073415e-05,42162.7001644525,5440.34840831645
"16","G2PA.S06C1.15m.3um.A",9977,3025,25188,28777,68902,54170,59298,37556,21,4,16,20,42,49,45649,5230198630,8,45648.5,8.72787120132759e-06,114575.476302617,14321.9345378271
"17","G2PA.S06C1.15m.3um.B",6815,1516,21351,23765,61670,45108,52452,34839,26,12,17,20,44,26,39864,5230198630,7,39864.1666666667,7.62192212701235e-06,131200.500783912,18742.928683416
"18","G2PA.S06C1.15m.3um.C",5060,1460,19057,21233,53154,41309,47253,29059,17,7,10,10,24,36,35178,5230198630,7.75,35177.5,6.72584398577612e-06,148680.225428186,19184.5452165401
"19","G2PA.S07C1.15m.0_2um.A",37699,11516,144487,143918,393697,308102,361798,214299,63,15,90,86,245,110,261050,5230198630,7,261050.166666667,4.9912094192619e-05,20035.2242512774,2862.17489303962
"20","G2PA.S07C1.15m.0_2um.B",19809,5931,89213,94240,246291,189541,232736,140995,78,26,77,127,413,222,165503,5230198630,7.8,165502.666666667,3.16436675497096e-05,31601.899445729,4051.52556996525
"21","G2PA.S07C1.15m.0_2um.C",39382,12454,120892,128119,304960,244084,280299,172385,57,18,67,77,201,169,208457,5230198630,7,208456.5,3.98563256860476e-05,25090.1201449703,3584.3028778529
"22","G2PA.S07C1.15m.3um.A",8829,2294,27720,28819,69350,56004,63166,40014,21,7,57,40,130,54,47512,5230198630,7,47512.1666666667,9.08419928722031e-06,110081.248592466,15725.8926560665
"23","G2PA.S07C1.15m.3um.B",10240,3284,31773,32044,71876,58059,60855,39909,9,9,28,18,57,55,49086,5230198630,7.8,49086,9.3851120143787e-06,106551.738377541,13660.479279172
"24","G2PA.S07C1.15m.3um.C",12924,4049,40514,42829,104625,81657,90869,56046,13,7,23,40,74,68,69423,5230198630,7,69423.3333333333,1.32735557948271e-05,75337.7629519374,10762.5375645625
"25","G2PA.S09C1.15m.0_2um.A",30662,11253,149808,158438,401695,307855,341346,218951,66,16,120,120,218,166,263016,5230198630,10,263015.5,5.02878606734674e-05,19885.5148460832,1988.55148460832
"26","G2PA.S09C1.15m.0_2um.B",33454,10681,130626,129259,339611,275047,307043,198874,46,19,49,67,132,85,230077,5230198630,10,230076.666666667,4.39900437713714e-05,22732.4165712878,2273.24165712878
"27","G2PA.S09C1.15m.0_2um.C",32927,10201,115870,127098,294476,246600,267604,172840,52,39,33,95,115,91,204081,5230198630,10,204081.333333333,3.90198055123068e-05,25628.0108747493,2562.80108747493
"28","G2PA.S09C1.15m.3um.A",36954,11181,104936,118559,286450,218543,232314,141173,116,81,257,226,344,305,183663,5230198630,10,183662.5,3.51157791496726e-05,28477.2265976996,2847.72265976996
"29","G2PA.S09C1.15m.3um.B",20279,5722,79675,88517,212920,166884,188647,114041,42,9,42,63,104,89,141781,5230198630,10,141780.666666667,2.71080845483428e-05,36889.3640646821,3688.93640646821
"30","G2PA.S09C1.15m.3um.C",21885,6483,81696,91235,224391,174484,195732,116260,34,34,53,60,106,106,147300,5230198630,10,147299.666666667,2.81633025984458e-05,35507.1993600348,3550.71993600348
"31","G2PA.S11C1.15m.0_2um.A",49194,16311,175955,179380,466411,370418,433251,266368,64,41,97,127,255,221,315297,5230198630,10,315297.166666667,6.02839756138796e-05,16588.156136301,1658.8156136301
"32","G2PA.S11C1.15m.0_2um.B",63393,24811,256942,248353,657730,514641,593945,380446,85,66,161,224,380,349,442010,5230198630,9,442009.5,8.45110351000187e-05,11832.7742503272,1314.7526944808
"33","G2PA.S11C1.15m.0_2um.C",51083,16331,245854,269054,657168,475836,590824,373282,104,33,186,214,602,656,435336,5230198630,10,435336.333333333,8.32351434678368e-05,12014.1560203643,1201.41560203643
"34","G2PA.S11C1.15m.3um.A",44881,11518,116843,129732,266917,219955,228399,148336,125,42,109,112,293,220,185030,5230198630,10,185030.333333333,3.53773052273797e-05,28266.7092242533,2826.67092242533
"35","G2PA.S11C1.15m.3um.B",37878,12022,126793,139427,342557,265407,292336,176902,107,49,129,104,225,240,223904,5230198630,9,223903.666666667,4.28097826691272e-05,23359.1468503568,2595.46076115075
"36","G2PA.S11C1.15m.3um.C",42285,10107,109566,121259,254717,211332,212565,140503,134,33,99,103,261,203,174990,5230198630,10,174990.333333333,3.34576840599519e-05,29888.5002981117,2988.85002981117
"37","G2PA.S15C1.15m.0_2um.A",52270,16277,216403,203139,526089,439079,506038,325046,126,67,109,169,245,186,369299,5230198630,9,369299,7.0608981823698e-05,14162.5041768323,1573.61157520359
"38","G2PA.S15C1.15m.0_2um.B",56676,17533,272575,258947,710005,551651,695914,416116,143,37,143,242,350,334,484201,5230198630,9,484201.333333333,9.25780008728528e-05,10801.7022464484,1200.18913849427
"39","G2PA.S15C1.15m.0_2um.C",56158,17137,245788,233317,619735,487317,596992,359065,165,85,266,272,442,468,423702,5230198630,9,423702.333333333,8.10107537604807e-05,12344.0401870181,1371.56002077979
"40","G2PA.S15C1.15m.3um.A",71789,15567,200694,217585,426830,372003,381085,242998,400,75,187,168,680,407,306866,5230198630,9,306865.833333333,5.86719272138491e-05,17043.9262435538,1893.76958261709
"41","G2PA.S15C1.15m.3um.B",38135,8935,141221,159962,321017,283609,310519,191781,252,45,140,167,398,342,234685,5230198630,9,234684.833333333,4.48711129224041e-05,22286.0529831142,2476.22810923491
"42","G2PA.S15C1.15m.3um.C",39798,8805,138660,152577,326065,282572,312412,196207,130,37,184,120,521,379,234749,5230198630,9,234748.833333333,4.48833495513598e-05,22279.9770960878,2475.55301067642
"43","G2PA.S16C1.15m.0_2um.A",111919,41509,360281,362917,1020290,763322,953237,548325,273,114,137,302,494,431,668062,5230198630,8,668062,0.000127731668959578,7828.91203211678,978.614004014597
"44","G2PA.S16C1.15m.0_2um.B",99784,32602,459744,417246,1260962,1004743,1221519,761664,226,131,524,429,1689,1366,854313,5230198630,8.5,854313,0.000163342362391311,6122.11054964632,720.248299958391
"45","G2PA.S16C1.15m.0_2um.C",134398,45945,610946,619630,1712178,1286977,1605820,988786,176,116,420,667,1075,827,1137390,5230198630,8,1137389.5,0.000217465832650413,4598.42352158166,574.802940197707
"46","G2PA.S16C1.15m.3um.A",36567,7534,149794,173977,375544,297611,346879,205275,193,51,153,171,664,485,258180,5230198630,8,258180,4.93633259966649e-05,20257.9542567201,2532.24428209001
"47","G2PA.S16C1.15m.3um.B",34358,7170,132021,157280,335981,281509,324084,192644,164,50,149,144,529,389,237253,5230198630,8.5,237253.166666667,4.53621713916947e-05,22044.80009048,2593.50589299765
"48","G2PA.S16C1.15m.3um.C",71976,15324,176063,204546,363517,314308,304260,196160,247,74,185,215,526,356,259809,5230198630,8,259809,4.96747864430533e-05,20130.9370730036,2516.36713412545
"49","G2PA.S17C1.15m.0_2um.A",107440,35012,397684,394652,1234625,932181,1226106,687025,167,117,281,339,693,555,812046,5230198630,7.2,812045.5,0.000155260929354035,6440.77041249536,894.551446179911
"50","G2PA.S17C1.15m.0_2um.B",105775,34388,397605,410466,1039711,828202,959549,587207,210,88,162,329,502,336,703790,5230198630,8.5,703790,0.000134562767074106,7431.47619318263,874.291316845015
"51","G2PA.S17C1.15m.0_2um.C",128036,33403,538865,628200,1367889,1126911,1335087,734915,131,62,173,387,383,267,955311,5230198630,8.2,955311.166666667,0.000182652941933616,5474.86391083394,667.666330589505
"52","G2PA.S17C1.15m.3um.A",48021,14430,190348,225492,572897,416929,442096,271405,170,75,299,234,1068,933,353195,5230198630,7.2,353194.5,6.75298444640524e-05,14808.2674843464,2056.70381727034
"53","G2PA.S17C1.15m.3um.B",80162,23426,257203,267099,636014,491592,509781,300835,225,88,193,217,574,473,410421,5230198630,8.5,410420.666666667,7.84713345899574e-05,12743.5069790183,1499.23611517862
"54","G2PA.S17C1.15m.3um.C",90082,19184,274713,305968,699971,548978,579858,365675,351,80,319,304,999,722,462527,5230198630,8.2,462527.166666667,8.84339581318476e-05,11307.8733681589,1379.00894733645
"55","G2PA.S18C1.15m.0_2um.A",123397,23331,659443,812999,1711383,1345762,1490199,843553,289,125,300,505,1051,785,1143890,5230198630,8,1143889.83333333,0.00021870867901117,4572.29225891363,571.536532364203
"56","G2PA.S18C1.15m.0_2um.B",109427,46073,296232,281591,795700,598382,730359,427576,126,70,112,171,360,428,521640,5230198630,9,521640,9.97361738821762e-05,10026.4524001227,1114.0502666803
"57","G2PA.S18C1.15m.3um.A",43594,11781,167273,187929,490856,376570,425337,254356,181,75,227,186,987,791,317054,5230198630,8,317053.5,6.06197818532945e-05,16496.2652359933,2062.03315449916
"58","G2PA.S18C1.15m.3um.B",64958,17531,227638,235426,561890,453755,486737,302085,275,101,291,250,873,618,377922,5230198630,9,377921.833333333,7.22576445119319e-05,13839.3661564054,1537.70735071171
"59","G2PA.S18C1.15m.3um.C",82984,20349,280246,293091,572537,499732,526870,325188,430,94,333,318,1098,784,416277,5230198630,9,416277.333333333,7.95911136042903e-05,12564.2167160995,1396.02407956661
