"","sample_name","Sample_ID","Sample","lat","BPDExtraSmall1","BPDExtraSmall2","BPDSmall1","BPDSmall2","BPDMedium1","BPDMedium2","BPDLarge1","BPDLarge2","SmallStandard1","SmallStandard2","MediumStandard1","MediumStandard2","LargeStandard1","LargeStandard2","added","volume","MEAN","ratio","xFactor","NORM_FACTOR"
"1","BD10.sam","BD10","S17C3.DCM.3um",32,13585,2568,73846,80651,195911,159299,184373,113552,89,29,86,85,270,190,5230198630,9.5,134605.333333333,2.57361799915682e-05,38855.805342037,4090.084772846
"2","BD12.sam","BD12","S18C2.DCM.3um",29.58,10851,1831,52701,60981,167280,136948,164625,97064,52,16,44,68,138,117,5230198630,9,113266.5,2.16562520876956e-05,46176.0417246052,5130.67130273392
"3","BD15.sam","BD15","S17C3.DCM.0_2um",32,14678,2883,76296,83773,228880,186544,227522,138242,23,11,22,51,42,51,5230198630,9.5,156876.166666667,2.99943038046084e-05,33339.6636412797,3509.43827802944
"4","BD17.sam","BD17","S11C2.DCM.3um",37,3504,615,14801,16503,44042,37269,43345,26562,41,10,31,18,59,29,5230198630,10,30420.3333333333,5.81628643295586e-06,171931.009850867,17193.1009850867
"5","BD20.sam","BD20","S15C2.DCM.0_2um",34,9918,1977,41783,46382,121475,101640,117330,73817,18,9,17,27,66,37,5230198630,9,83737.8333333333,1.60104499383675e-05,62459.2065713029,6939.91184125588
"6","BD21.sam","BD21","S11C2.DCM.3um",37,3500,595,14538,16107,43929,36465,42631,25792,27,5,12,13,72,41,5230198630,10,29910.3333333333,5.71877579596501e-06,174862.599213204,17486.2599213204
"7","BD22.sam","BD22","S17C3.DCM.0_2um",32,34472,7224,161652,168650,410367,346611,375925,245600,44,26,44,131,143,115,5230198630,9.5,284800.833333333,5.44531581840389e-05,18364.4077469343,1933.09555230887
"8","BD3.sam","BD3","S17C3.DCM.3um",32,9090,1593,52494,57462,143760,116645,134356,83131,71,15,89,74,184,168,5230198630,9.5,97974.6666666667,1.87324944228106e-05,53383.1735074373,5619.28142183551
"9","BD31.sam","BD31","S15C2.DCM.3um",34,3564,590,15777,17587,49437,40704,46899,28486,21,5,6,14,29,24,5230198630,9,33148.3333333333,6.33787274219322e-06,157781.647041078,17531.2941156753
"10","BD35.sam","BD35","S11C2.DCM.0_2um",37,7307,1615,30701,33113,82768,69988,75761,47456,23,6,16,15,27,24,5230198630,10,56631.1666666667,1.08277277160823e-05,92355.4808747833,9235.54808747833
"11","BD40.sam","BD40","S18C2.DCM.3um",29.58,13289,2560,62778,68751,175379,147200,163210,99650,105,45,253,174,398,389,5230198630,9,119494.666666667,2.28470609091698e-05,43769.3059941308,4863.25622157009
"12","BD42.sam","BD42","S15C2.DCM.3um",34,6049,1139,24241,26770,64498,53521,60197,37639,19,8,25,24,50,33,5230198630,9,44477.6666666667,8.50401099712472e-06,117591.569476816,13065.7299418685
"13","BD43.sam","BD43","S18C2.DCM.0_2um",29.58,46615,10078,204356,220469,572768,482310,547732,337076,45,30,64,104,130,95,5230198630,9,394118.5,7.53544038919225e-05,13270.6245202902,1474.5138355878
"14","BD46.sam","BD46","S15C2.DCM.0_2um",34,16062,3289,66978,74163,193977,164260,185777,115203,36,13,35,39,52,40,5230198630,9,133393,2.55043850982769e-05,39208.9437226841,4356.54930252046
"15","BD47.sam","BD47","S17C3.DCM.3um",32,9736,1821,41937,45175,115115,93169,105610,64233,74,10,74,78,154,110,5230198630,9.5,77539.8333333333,1.48254089029375e-05,67451.7651787576,7100.18580829027
"16","BD53.sam","BD53","S17C3.DCM.0_2um",32,47385,9705,197956,210804,486025,408068,438797,272503,69,31,61,125,163,130,5230198630,9.5,335692.166666667,6.41834451068767e-05,15580.3416026489,1640.03595817356
"17","BD56.sam","BD56","S11C2.DCM.0_2um",37,11480,2371,53457,57524,144526,121441,130129,80575,65,16,37,33,80,72,5230198630,10,97942,1.87262486434478e-05,53400.9784362174,5340.09784362174
"18","BD60.sam","BD60","S15C2.DCM.0_2um",34,21679,4328,90184,99535,250605,212651,237664,147839,37,19,43,64,90,54,5230198630,6,173079.666666667,3.30923696996698e-05,30218.4463994423,5036.40773324038
"19","BD63.sam","BD63","S11C2.DCM.3um",37,4665,876,18430,19436,50497,43035,49256,29678,28,7,36,18,45,35,5230198630,10,35055.3333333333,6.70248604560805e-06,149198.37105148,14919.837105148
"20","BD78.sam","BD78","S11C2.DCM.0_2um",37,7062,1522,34588,37868,93435,78475,89512,55710,17,5,10,24,28,19,5230198630,10,64931.3333333333,1.24146973999979e-05,80549.6878240603,8054.96878240603
"21","BD8.sam","BD8","S18C2.DCM.0_2um",29.58,25445,4846,134453,143522,356099,300681,353675,225899,39,12,40,91,113,80,5230198630,9,252388.166666667,4.82559429423939e-05,20722.8361736452,2302.53735262725
"22","BD80.sam","BD80","S18C2.DCM.3um",29.58,14263,2616,66439,73104,190371,160641,178103,106500,82,25,106,83,179,167,5230198630,9,129193,2.4701356323058e-05,40483.606929168,4498.17854768533
"23","BD83.sam","BD83","S18C2.DCM.0_2um",29.58,64958,13653,235324,241849,589748,502119,548823,356547,63,40,89,127,131,124,5230198630,9,412401.666666667,7.88500964956022e-05,12682.2926596643,1409.14362885159
"24","BD84.sam","BD84","S15C2.DCM.3um",34,5754,1084,23016,25646,64394,54069,60337,37469,31,12,33,18,42,40,5230198630,6,44155.1666666667,8.44234985902757e-06,118450.433433611,19741.7389056018
