"","sample_name","sample_id","BPDExtraSmall1","BPDExtraSmall2","BPDSmall1","BPDSmall2","BPDMedium1","BPDMedium2","BPDLarge1","BPDLarge2","SmallStandard1","SmallStandard2","MediumStandard1","MediumStandard2","LargeStandard1","LargeStandard2","PA_added","NS_added","volume","flag","MEAN","ratio","xFactor","NORM_FACTOR"
"1","MS01.sam","MS01",49297,10954,170022,182264,451983,360386,387694,263029,373,332,1275,815,1514,1469,5230198630,13580968026,7,"",243966.166666667,4.66456790507527e-05,21438.2129352636,3062.6018478948
"2","MS02.sam","MS02",30710,7727,92788,110541,246665,191650,200012,135432,92,78,354,266,350,364,5230198630,13580968026,8,"",128988.166666667,2.46621927371555e-05,40547.8949360988,5068.48686701235
"3","MS04.sam","MS04",14995,3074,55540,70454,142041,117039,111986,76390,42,30,114,102,177,141,5230198630,13580968026,7,"",74588,1.42610262585763e-05,70121.1807529361,10017.3115361337
"4","MS09.sam","MS09",48312,11244,112150,132700,284277,204684,201250,140065,32,35,91,99,154,140,5230198630,13580968026,8,"",138390.5,2.64598937421235e-05,37793.0467047955,4724.13083809944
"5","MS10.sam","MS10",6214,1381,10892,16355,35129,23319,23135,16822,0,4,11,7,4,9,5230198630,13580968026,7,"",16401.5,3.13592296589317e-06,318885.384263634,45555.0548948049
"6","MS100.sam","MS100",10322,1646,52761,63481,120246,93524,101980,61438,51,40,181,157,337,323,5230198630,13580968026,7,"",62879.8333333333,1.2022456082769e-05,83177.6795952067,11882.5256564581
"7","MS101.sam","MS101",17218,2796,55998,79573,149242,97183,107694,71770,46,31,193,150,232,233,5230198630,13580968026,7,"",70994.3333333333,1.35739267962244e-05,73670.6492536963,10524.3784648138
"8","MS102.sam","MS102",13658,2283,57208,65997,134965,105740,121856,76633,28,28,137,108,165,123,5230198630,13580968026,8,"",73208.3333333333,1.39972376791612e-05,71442.6676835515,8930.33346044394
"9","MS103.sam","MS103",14733,2473,62341,76891,136735,105369,110740,68358,126,52,394,325,730,677,5230198630,13580968026,7.5,"",70230,1.34277883056231e-05,74472.428164602,9929.6570886136
"10","MS104.sam","MS104",24875,4468,139260,141486,282805,245038,275626,164356,43,27,114,102,199,190,5230198630,13580968026,8,"",161315.833333333,3.08431562059687e-05,32422.1034099773,4052.76292624716
"11","MS105.sam","MS105",3896,542,8550,11372,20978,15408,16099,9802,5,1,13,7,17,4,5230198630,13580968026,8,"",10382.1666666667,1.98504251963116e-06,503767.54659432,62970.9433242901
"12","MS106.sam","MS106",3157,557,18479,19470,39281,32228,35151,20857,30,4,146,100,340,364,5230198630,13580968026,5,"",21258.5,4.0645683852355e-06,246028.582919773,49205.7165839547
