"","sample_name","BPDExtraSmall1","BPDExtraSmall2","BPDSmall1","BPDSmall2","BPDMedium1","BPDMedium2","BPDLarge1","BPDLarge2","SmallStandard1","SmallStandard2","MediumStandard1","MediumStandard2","LargeStandard1","LargeStandard2","added","sample","Add'l ID","V_total (L)","MEAN","ratio","xFactor","NORM_FACTOR"
"1","442874_S25.flash",11868,2506,53251,63484,125729,128553,191007,120424,10,1,11,43,100,73,5230198630,"442874","S8C2 DCM B",7.5,113741.333333333,2.1747038952005e-05,45983.271663189,6131.1028884252
"2","442875_S26.flash",18938,3260,87098,100486,197274,206296,306129,188314,13,6,14,65,138,72,5230198630,"442875","S5C6 15m B",6.75,180932.833333333,3.45938741782228e-05,28906.8519717722,4282.4965884107
"3","442876_S27.flash",75579,16959,293824,398302,741816,744672,1117607,688629,51,10,74,164,351,238,5230198630,"442876","S6C7 75m B",9.5,664141.666666667,0.000126982111703598,7875.12498086503,828.960524301582
"4","442877_S28.flash",177363,39130,503141,666266,1061693,981067,1405792,831425,183,138,932,1098,2492,2549,5230198630,"442877","S6C7 15m A",5.5,908230.666666667,0.000173651276159404,5758.66772831571,1047.0304960574
"5","442878_S29.flash",54458,10983,257569,307982,658369,680908,1076674,634413,81,49,242,328,872,757,5230198630,"442878","S5C6 125m A",9.5,602652.5,0.000115225547370846,8678.63093573826,913.540098498764
"6","442879_S30.flash",31811,6633,135200,165180,369616,383696,613625,361116,48,25,46,94,303,222,5230198630,"442879","S6C7 DCM B",10,338072.166666667,6.46384947461673e-05,15470.6572906278,1547.06572906278
"7","442880_S31.flash",88210,20353,463616,564910,1071476,1050469,1522430,912612,112,46,109,187,481,439,5230198630,"442880","S6C7 15m B",10,930918.833333333,0.000177989192990426,5618.31863608589,561.831863608589
"8","442881_S32.flash",32120,6929,270859,234828,492175,482893,740832,433169,126,40,121,207,446,482,5230198630,"442881","S4C6 B 75m",8,442459.333333333,8.45970420311424e-05,11820.74427179,1477.59303397374
"9","442882_S33.flash",34324,8473,221465,260264,525474,511111,781997,460919,115,47,171,260,580,575,5230198630,"442882","S4C6 A 75m",6.5,460205,8.79899660713268e-05,11364.9322149911,1748.45110999864
"10","442883_S34.flash",31231,8697,205539,253476,419591,428815,601722,373324,49,30,99,200,349,345,5230198630,"442883","S4C6 B 15m",7,380411.166666667,7.27335983923553e-05,13748.8041579572,1964.11487970817
"11","442884_S35.flash",66568,15279,537670,568100,1073399,1057363,1607152,930906,182,56,258,430,850,889,5230198630,"442884","S6C7 75m A",7.25,962431.666666667,0.000184014362503603,5434.35841851976,749.566678416518
"12","442885_S36.flash",13802,3025,88570,96707,200181,204872,300785,182243,101,18,67,130,400,288,5230198630,"442885","S4C6 B DCM",6,178893,3.42038634964806e-05,29236.4633048806,4872.74388414676
"13","442886_S37.flash",106517,28103,783541,940169,1663782,1631140,2397645,1440703,396,153,1254,1664,4140,3513,5230198630,"442886","S5C6 125m B",7,1476163.33333333,0.000282238484187996,3543.10292898934,506.157561284191
"14","442887_S38.flash",65182,18547,373364,473293,855425,851912,1226787,743936,105,57,352,436,1168,1163,5230198630,"442887","S8C2 75m A",6.25,754119.5,0.000144185632965148,6935.50376299777,1109.68060207964
"15","442888_S39.flash",22076,5766,121820,141818,240446,241465,324129,209119,25,7,42,78,140,117,5230198630,"442888","S8C2 DCM A",7.25,213132.833333333,4.0750428121567e-05,24539.6194861264,3384.77510153468
"16","442889_S40.flash",30343,7978,126676,154405,289158,285668,398452,246901,9,10,21,23,149,123,5230198630,"442889","S8C2 15m A",7,250210,4.78394832970235e-05,20903.2358019264,2986.17654313234
"17","442890_S41.flash",63158,18159,358526,445115,746290,751329,1030791,646540,55,22,111,193,338,288,5230198630,"442890","S4C6 A 15m",7,663098.5,0.000126782661024864,7887.51389122431,1126.78769874633
"18","442891_S42.flash",35660,10633,171520,215152,349735,327988,447942,291903,16,13,15,51,125,131,5230198630,"442891","S8C2 15m B",7.75,300706.666666667,5.74943110079677e-05,17393.0251962045,2244.26131563929
"19","442892_S43.flash",26995,6813,155799,181138,361800,362601,535198,323611,88,53,236,287,756,729,5230198630,"442892","S4C6 A DCM",4.5,320024.5,6.11878291130981e-05,16343.1194486672,3631.80432192605
"20","442893_S44.flash",21704,5348,141104,175800,317580,323527,470663,291368,40,26,115,230,319,341,5230198630,"442893","S5C6 15m A",8,286673.666666667,5.48112389120997e-05,18244.4334382533,2280.55417978166
"21","442895_S45.flash",50310,12880,329121,364284,710037,656308,999775,579449,359,351,2525,3795,6759,8228,5230198630,"442895","S5C6 DCM B",7,606495.666666667,0.000115960350566393,8623.63726149184,1231.94818021312
"22","442896_S46.flash",36790,10035,220176,296056,562154,539623,802031,476402,51,22,136,181,420,437,5230198630,"442896","S5C6 DCM A",8,482740.333333333,9.22986615774731e-05,10834.393293565,1354.29916169563
"23","442897_S47.flash",45093,12866,381882,404359,700024,678981,1005768,589785,55,27,127,236,429,498,5230198630,"442897","S8C2 75m B",8,626799.833333333,0.000119842452968815,8344.28848231453,1043.03606028932
