"","sample_name","BPDExtraSmall1","BPDExtraSmall2","BPDSmall1","BPDSmall2","BPDMedium1","BPDMedium2","BPDLarge1","BPDLarge2","SmallStandard1","SmallStandard2","MediumStandard1","MediumStandard2","LargeStandard1","LargeStandard2","Volume_L","MEAN","added","ratio","xFactor","NORM_FACTOR"
"1","G3.UW.NS.UW25_1.7m.0_2um.A",19657,1277,101128,126780,218596,222407,448246,336188,69547,31825,230884,364286,312513,690886,5.5,399642.25,13580968026,2.94266394880621e-05,33982.8134437738,6178.69335341341
"2","G3.UW.NS.UW25_1.7m.0_2um.B",18719,1272,102909,133596,230058,227013,437845,323746,43476,23004,209466,339025,213293,602996,6,341195,13580968026,2.51230250558577e-05,39804.1238177582,6634.02063629303
"3","G3.UW.NS.UW25_1.7m.3um.A",14602,905,65223,91497,155420,155580,303664,222879,40477,22718,188522,301921,176349,529699,5.5,299122.75,13580968026,2.20251420537436e-05,45402.6583601548,8255.02879275542
"4","G3.UW.NS.UW25_1.7m.3um.B",26399,1794,112949,135179,207051,211393,410184,296288,53509,27941,181887,327426,162977,573510,6,311450,13580968026,2.29328277191837e-05,43605.6125413389,7267.60209022315
"5","G3.UW.NS.UW29_1.7m.0_2um.B",40988,1952,197213,245578,432397,446970,898745,659108,163201,72001,510397,848497,664187,1592274,7.5,903838.75,13580968026,6.65518649531942e-05,15025.8749428479,2003.44999237972
"6","G3.UW.NS.UW29_1.7m.3um.B",35465,2278,168754,231993,406315,397128,798623,578317,91959,45534,367073,627516,347378,1155689,7.5,624414,13580968026,4.59771349733388e-05,21749.9415868318,2899.99221157758
"7","G3.UW.NS.UW31_2.7m.3um.A",23712,1305,112151,141626,265946,267632,522434,388802,57533,36085,259149,467988,257045,845859,6,457510.25,13580968026,3.36876023214341e-05,29684.5109503011,4947.41849171685
"8","G3.UW.NS.UW32_1.7m.0_2um.A",13761,642,67837,85743,155075,151285,326738,220388,43139,17750,184131,284595,142064,532304,10,285773.5,13580968026,2.10422040205752e-05,47523.5388375759,4752.35388375759
"9","G3.UW.NS.UW32_1.7m.0_2um.B",10734,555,51762,69433,131636,123072,259667,183283,32440,15382,153171,231459,148734,445368,10,244683,13580968026,1.80166096799262e-05,55504.3383725065,5550.43383725065
"10","G3.UW.NS.UW32_1.7m.0_2um.C",26582,1520,150337,195593,353487,348825,733381,536320,114588,47397,388631,669791,521180,1209406,7,697252,13580968026,5.1340375639288e-05,19477.8473579136,2782.54962255909
"11","G3.UW.NS.UW32_1.7m.3um.A",19463,1194,79394,107641,185499,183043,360838,263053,38183,21424,157468,276331,172543,516600,10,280735.5,13580968026,2.0671243718603e-05,48376.3828443499,4837.63828443499
"12","G3.UW.NS.UW32_3.7m.0_2um.A",29906,1749,168739,215897,387039,392052,862630,627946,116745,48159,389340,646836,498391,1322906,9,714368.25,13580968026,5.26006871257176e-05,19011.1584970357,2112.35094411507
"13","G3.UW.NS.UW32_3.7m.0_2um.B",15173,460,66398,87598,148056,155479,308776,236577,68053,26706,190030,310482,205883,618100,10,331123.75,13580968026,2.43814542060685e-05,41014.7808062696,4101.47808062696
