sample_name,BPDExtraSmall1,BPDExtraSmall2,BPDSmall1,BPDSmall2,BPDMedium1,BPDMedium2,BPDLarge1,BPDLarge2,SmallStandard1,SmallStandard2,MediumStandard1,MediumStandard2,LargeStandard1,LargeStandard2,added,Volume_L,MEAN,ratio,xFactor,NORM_FACTOR,SAMPLE_ID,FILTER_ID
G3PA.UW36.flash,108580,23942,381797,524887,1069493,1062647,1666481,932536,50,41,258,357,747,822,5230198630,5.5,939640.1667,0.000179657,5566.171834,1012.031243,G3PA.UW36,UW25_0_2umA
G3PA.UW59.flash,36063,6523,135327,202215,384026,374075,571219,315520,201,145,978,1235,2640,2617,5230198630,5.5,330397,6.3171E-05,15830.04274,2878.189588,G3PA.UW59,UW25_3umA
G3PA.UW51.flash,218233,47701,780960,1151306,2090599,2065381,3118651,1775404,374,289,2233,2962,6087,6526,5230198630,6,1830383.5,0.000349964,2857.433226,476.2388711,G3PA.UW51,UW25_0_2umB
G3PA.UW37.flash,72739,15874,307382,363722,619117,624836,927866,527763,174,51,340,492,1108,922,5230198630,6,561781,0.000107411,9310.031187,1551.671864,G3PA.UW37,UW25_3umB
G3PA.UW27.flash,155953,29959,725191,908425,1898949,2009762,3025025,1756767,173,115,535,994,1890,2083,5230198630,6,1720686.5,0.000328991,3039.599968,506.5999946,G3PA.UW27,UW25_0_2umC
G3PA.UW57.flash,84588,14097,234374,353760,605183,593428,883672,476165,481,429,2748,3462,7837,7485,5230198630,6,524430.3333,0.00010027,9973.104715,1662.184119,G3PA.UW57,UW25_3umC
G3PA.UW44.flash,192548,40883,795636,1066312,2173424,2169036,3374453,1927328,201,171,919,1286,2535,2676,5230198630,7.5,1917698.167,0.000366659,2727.331507,363.6442009,G3PA.UW44,UW29_0_2umB
G3PA.UW67.flash,110763,22704,346405,513195,924150,888833,1357731,749727,306,164,709,1013,2760,2394,5230198630,7.5,796673.5,0.000152322,6565.046572,875.3395429,G3PA.UW67,UW29_3umB
G3PA.UW21.flash,349970,72832,1282622,1576996,2962473,3097732,4449944,2634616,434,232,1136,1621,3147,2998,5230198630,7,2667397.167,0.000509999,1960.787353,280.112479,G3PA.UW21,UW29_0_2umC
G3PA.UW29.flash,134786,29497,469308,719222,1194394,1158318,1679141,960831,382,296,1777,2160,4537,4344,5230198630,7,1030202.333,0.000196972,5076.865447,725.2664925,G3PA.UW29,UW29_3umC
G3PA.UW4.flash,288840,58729,1231060,1575621,3280864,3320290,5180957,3077469,105,95,282,518,1027,892,5230198630,6,2944376.833,0.000562957,1776.334663,296.0557772,G3PA.UW4,UW31_0_2umA
G3PA.UW64.flash,92889,18417,367591,521207,987623,983401,1451171,784435,269,115,617,797,1900,1672,5230198630,6,849238,0.000162372,6158.695949,1026.449325,G3PA.UW64,UW31_3umA
G3PA.UW31.flash,312662,69269,962320,1455124,2515821,2496578,3799636,2200645,166,100,773,856,1533,1658,5230198630,9.25,2238354,0.000427967,2336.627106,252.6083358,G3PA.UW31,UW31_0_2umB
G3PA.UW20.flash,105346,22471,274294,392327,684324,684008,993369,543273,232,259,1142,1460,2911,2926,5230198630,9.25,595265.8333,0.000113813,8786.324256,949.8728925,G3PA.UW20,UW31_3umB
G3PA.UW2.flash,75428,16554,307397,398859,852986,857574,1314722,763654,38,29,92,111,274,259,5230198630,8.5,749198.6667,0.000143245,6981.057045,821.3008288,G3PA.UW2,UW31_0_2umC
G3PA.UW1.flash,66156,13451,263304,341962,658893,667976,961286,549377,155,75,463,586,1094,1029,5230198630,8.5,573799.6667,0.000109709,9115.025564,1072.355949,G3PA.UW1,UW31_3umC
G3PA.UW8.flash,78191,17221,335514,426554,778337,764279,1161540,640222,101,38,160,273,598,525,5230198630,9,684407.6667,0.000130857,7641.934602,849.1038447,G3PA.UW8,UW32_3umA
G3PA.UW26.flash,153118,31174,781488,963251,2017436,2074059,3149470,1888575,116,53,298,361,890,862,5230198630,10,1812379.833,0.000346522,2885.818157,288.5818157,G3PA.UW26,UW32_0_2umB
G3PA.UW9.flash,40022,7874,187986,247952,517654,526327,822222,467924,95,25,118,172,527,447,5230198630,10,461677.5,8.82715E-05,11328.68427,1132.868427,G3PA.UW9,UW32_3umB
G3PA.UW56.flash,232496,50228,858359,1254838,2350925,2335304,3666918,2025455,231,210,882,1432,2760,2420,5230198630,9.75,2081966.5,0.000398066,2512.14351,257.6557446,G3PA.UW56,UW32_0_2umC
G3PA.UW35.flash,48106,9946,202030,283302,541850,553056,848202,480078,132,78,418,564,1348,1384,5230198630,9.75,484753,9.26835E-05,10789.40951,1106.606104,G3PA.UW35,UW32_3umC
G3PA.UW13.flash,152512,28212,521859,682187,1451880,1413203,2229812,1283408,120,64,262,388,782,781,5230198630,10,1263724.833,0.000241621,4138.71635,413.871635,G3PA.UW13,UW32_0_2umA
G3PA.UW66.flash,74501,15246,285542,422895,712561,692120,1013702,572795,185,83,433,584,1177,998,5230198630,10,616602.5,0.000117893,8482.2858,848.22858,G3PA.UW66,UW32_3umA
G3PA.UW58.flash,139132,27864,559843,858399,1676426,1555112,2467741,1395552,179,180,1410,1772,3615,3923,5230198630,10,1418845.5,0.000271279,3686.235485,368.6235485,G3PA.UW58,UW32_0_2umB
G3PA.UW7.flash,86261,19261,284272,443175,764368,699645,988165,535321,137,57,334,384,908,919,5230198630,10,619157.6667,0.000118381,8447.280736,844.7280736,G3PA.UW7,UW32_3umB
G3PA.UW19.flash,190778,41456,738234,998922,1997050,1943841,2980383,1737150,82,112,252,384,806,766,5230198630,7,1732596.667,0.000331268,3018.705236,431.2436052,G3PA.UW19,UW32_0_2umC
G3PA.UW10.flash,63945,12853,284812,373720,764211,722118,1109962,616051,87,39,128,241,494,503,5230198630,7,645145.6667,0.00012335,8107.004201,1158.143457,G3PA.UW10,UW32_3umC
G3PA.UW55.flash,37436,8168,173891,236335,462609,469266,719617,419421,31,23,128,160,341,343,5230198630,10,413523.1667,7.90645E-05,12647.89751,1264.789751,G3PA.UW55,UW35_0_2umA
G3PA.UW41.flash,46556,8910,149722,214082,390765,401953,608898,349813,305,221,1202,1685,3644,3407,5230198630,10,352538.8333,6.74045E-05,14835.80853,1483.580853,G3PA.UW41,UW35_3umA
G3PA.UW46.flash,39244,7866,148113,212678,429314,425140,678089,388598,178,160,573,982,1892,1887,5230198630,7,380322,7.27165E-05,13752.02757,1964.575367,G3PA.UW46,UW35_0_2umB
G3PA.UW60.flash,22660,4609,94346,135965,268592,274968,419099,232316,59,23,153,146,350,386,5230198630,7,237547.6667,4.54185E-05,22017.47002,3145.352861,G3PA.UW60,UW35_3umB
