"","sample_name","BPDExtraSmall1","BPDExtraSmall2","BPDSmall1","BPDSmall2","BPDMedium1","BPDMedium2","BPDLarge1","BPDLarge2","SmallStandard1","SmallStandard2","MediumStandard1","MediumStandard2","LargeStandard1","LargeStandard2","MEAN","added","ratio","xFactor","Sample.ID","volume","NORM_FACTOR"
"1","G3.UW.PA.UW24_1.7m_PM.0.2um.AC.flash",668903,179139,2792276,2862070,4592140,4343643,6351233,4158398,1561,963,3964,5932,11163,12012,4183293.33333333,5230198630,0.000799834505201829,1250.25863912643,"G3.UW.PA.UW24_1.7m_PM.0.2um.AC",14.5,86.2247337328572
"2","G3.UW.PA.UW24_1.7m_PM.0.2um.B.flash",182036,49477,1097159,1155486,1943269,1944710,2780743,1849023,519,354,1750,2326,4068,4575,1795065,5230198630,0.000343211630568608,2913.65417408283,"G3.UW.PA.UW24_1.7m_PM.0.2um.B",8.5,342.782844009745
"3","G3.UW.PA.UW24_1.7m_PM.3um.A.flash",176560,57950,745583,854818,1050516,1005024,1394635,843137,1557,817,3442,5152,8625,9474,982285.5,5230198630,0.000187810362376237,5324.51983664627,"G3.UW.PA.UW24_1.7m_PM.3um.A",9,591.613315182919
"4","G3.UW.PA.UW24_1.7m_PM.3um.B.flash",91535,27163,452346,538223,819718,823688,1194955,689066,627,383,1419,2350,3510,3937,752999.333333333,5230198630,0.000143971460092202,6945.82106314393,"G3.UW.PA.UW24_1.7m_PM.3um.B",8.5,817.155419193403
"5","G3.UW.PA.UW27_1.7m_PM.0.2um.A.flash",474404,151461,2201831,2410367,3348032,3287860,4591994,2953361,671,390,1686,2391,4286,4665,3132240.83333333,5230198630,0.000598876076210003,1669.79453633967,"G3.UW.PA.UW27_1.7m_PM.0.2um.A",6,278.299089389944
"6","G3.UW.PA.UW27_1.7m_PM.0.2um.BC.flash",158539,39674,944057,1155473,2281535,2022327,2987693,1916730,750,552,3449,4777,9907,10776,1884635.83333333,5230198630,0.000360337334517893,2775.17732470862,"G3.UW.PA.UW27_1.7m_PM.0.2um.BC",12,231.264777059052
"7","G3.UW.PA.UW27_1.7m_PM.3um.BC.flash",123297,37660,545775,657161,990837,962952,1361104,798104,825,524,1723,2517,4441,4664,885988.833333333,5230198630,0.000169398697068859,5903.23312577491,"G3.UW.PA.UW27_1.7m_PM.3um.BC",12,491.936093814576
"8","G3.UW.PA.UW31_1.7m_PM.0.2um.A.flash",346746,117513,1453511,1615190,2510279,2630786,3498136,2447908,1221,843,4062,6302,9159,10555,2359301.66666667,5230198630,0.000451092173275007,2216.84183243488,"G3.UW.PA.UW31_1.7m_PM.0.2um.A",8.5,260.804921462927
"9","G3.UW.PA.UW31_1.7m_PM.0.2um.BC.flash",243812,73465,1313295,1309603,2036883,1954653,2854489,1805251,440,263,820,1333,2418,2850,1879029,5230198630,0.000359265322969197,2783.45817440817,"G3.UW.PA.UW31_1.7m_PM.0.2um.BC",15.5,179.577946736011
"10","G3.UW.PA.UW31_1.7m_PM.3um.A.flash",144439,41672,594444,650041,858150,826016,1216730,771244,449,159,643,1040,2738,2000,819437.5,5230198630,0.00015667425999842,6382.66936770651,"G3.UW.PA.UW31_1.7m_PM.3um.A",8.5,750.902278553707
"11","G3.UW.PA.UW31_1.7m_PM.3um.BC.flash",115472,34793,619541,726981,1197167,1148277,1772491,1075504,518,301,944,1492,2404,2412,1089993.5,5230198630,0.000208403844119396,4798.37598114117,"G3.UW.PA.UW31_1.7m_PM.3um.BC",15.5,309.572643944592
"12","G3.UW.PA.UW32_2.7m_PM.0.2um.A.flash",271292,65304,1297241,1412776,2464016,2333249,3624691,2268413,150,77,190,430,559,644,2233397.66666667,5230198630,0.000427019664961877,2341.81252540039,"G3.UW.PA.UW32_2.7m_PM.0.2um.A",10.5,223.029764323846
"13","G3.UW.PA.UW32_2.7m_PM.0.2um.B.flash",324339,83917,1635423,1770231,3322645,3144037,4723109,2926924,268,177,525,658,1345,1268,2920394.83333333,5230198630,0.000558371687182621,1790.92175150518,"G3.UW.PA.UW32_2.7m_PM.0.2um.B",10,179.092175150518
"14","G3.UW.PA.UW32_2.7m_PM.0.2um.C.flash",271047,73005,1546393,1787121,2927814,2810140,4104414,2638869,211,135,492,783,1299,1591,2635791.83333333,5230198630,0.000503956354203193,1984.29882203014,"G3.UW.PA.UW32_2.7m_PM.0.2um.C",10,198.429882203014
"15","G3.UW.PA.UW32_2.7m_PM.3um.A.flash",85385,24932,463244,513401,718635,683457,989760,610503,179,73,225,309,741,701,663166.666666667,5230198630,0.000126795694309351,7886.70313646645,"G3.UW.PA.UW32_2.7m_PM.3um.A",10.5,751.114584425376
"16","G3.UW.PA.UW32_2.7m_PM.3um.B.flash",96104,24885,459686,501580,759703,704591,1031165,632895,582,234,820,1313,3162,2716,681603.333333333,5230198630,0.000130320735702792,7673.37595669035,"G3.UW.PA.UW32_2.7m_PM.3um.B",10,767.337595669035
"17","G3.UW.PA.UW32_2.7m_PM.3um.C.flash",81985,20878,411874,485099,745866,716980,1065883,617281,134,70,240,332,773,770,673830.5,5230198630,0.000128834590742876,7761.89060898846,"G3.UW.PA.UW32_2.7m_PM.3um.C",10,776.189060898846
"18","G3.UW.PA.UW33_1.7m_PM.0.2um.A.flash",180688,45963,813768,996367,1657691,1498380,2088132,1362904,69,53,124,283,450,534,1402873.66666667,5230198630,0.00026822569579287,3728.20358259867,"G3.UW.PA.UW33_1.7m_PM.0.2um.A",10,372.820358259867
"19","G3.UW.PA.UW33_1.7m_PM.0.2um.B.flash",103300,26253,556676,631368,1051457,1022572,1506845,926408,51,23,90,128,273,279,949221,5230198630,0.000181488518343327,5509.99043426136,"G3.UW.PA.UW33_1.7m_PM.0.2um.B",10.25,537.560042366962
"20","G3.UW.PA.UW33_1.7m_PM.0.2um.C.flash",263293,72925,1260470,1470562,2295844,1967740,2895506,1810279,172,81,438,662,1317,1500,1950066.83333333,5230198630,0.000372847566849164,2682.06121995306,"G3.UW.PA.UW33_1.7m_PM.0.2um.C",10,268.206121995306
"21","G3.UW.PA.UW33_1.7m_PM.3um.A.flash",64393,17759,330602,370724,610641,578562,932165,539733,98,40,113,218,413,399,560404.5,5230198630,0.000107147842681455,9332.89905773419,"G3.UW.PA.UW33_1.7m_PM.3um.A",10,933.289905773419
"22","G3.UW.PA.UW33_1.7m_PM.3um.B.flash",49148,9751,387321,407272,734484,663175,980776,579455,152,71,274,436,877,845,625413.833333333,5230198630,0.000119577453472992,8362.78053225024,"G3.UW.PA.UW33_1.7m_PM.3um.B",10.25,815.881027536609
"23","G3.UW.PA.UW33_1.7m_PM.3um.C.flash",111075,28287,586336,689542,1059630,1034748,1540120,921053,202,72,224,358,919,853,971904.833333333,5230198630,0.000185825606652597,5381.38966966759,"G3.UW.PA.UW33_1.7m_PM.3um.C",10,538.138966966759
"24","G3.UW.PA.UW34_1.7m_PM.0.2um.A.flash",73330,20213,358516,395090,589801,571043,854106,519235,67,36,213,283,438,437,547965.166666667,5230198630,0.000104769475393073,9544.7647919226,"G3.UW.PA.UW34_1.7m_PM.0.2um.A",10,954.47647919226
"25","G3.UW.PA.UW34_1.7m_PM.0.2um.B.flash",185555,46677,681035,752834,1149703,1086051,1552055,973613,499,258,1244,1735,3333,3535,1032548.5,5230198630,0.000197420513645005,5065.32974480133,"G3.UW.PA.UW34_1.7m_PM.0.2um.B",10,506.532974480133
"26","G3.UW.PA.UW34_1.7m_PM.0.2um.C.flash",51120,12807,278180,308938,476436,465589,658354,430215,55,45,100,211,462,432,436285.333333333,5230198630,8.34165897315707e-05,11988.0230445519,"G3.UW.PA.UW34_1.7m_PM.0.2um.C",8.5,1410.35565230022
"27","G3.UW.PA.UW34_1.7m_PM.3um.A.flash",218586,71467,987345,1121144,1448703,1364728,1866422,1206138,1412,676,3297,5225,7759,8852,1332413.33333333,5230198630,0.000254753868369495,3925.35746915372,"G3.UW.PA.UW34_1.7m_PM.3um.A",10,392.535746915372
"28","G3.UW.PA.UW34_1.7m_PM.3um.B.flash",161482,45557,639976,731636,969776,971159,1355826,843190,475,130,644,1138,2621,2042,918593.833333333,5230198630,0.000175632685929814,5693.7010027827,"G3.UW.PA.UW34_1.7m_PM.3um.B",10,569.37010027827
"29","G3.UW.PA.UW34_1.7m_PM.3um.C.flash",79516,25089,350899,421710,631082,598370,929102,561051,134,49,184,309,639,517,582035.666666667,5230198630,0.00011128366393738,8986.04489301057,"G3.UW.PA.UW34_1.7m_PM.3um.C",8.5,1057.18175211889
"30","G3.UW.PA.UW36_1.7m_PM.0.2um.A.flash",13973,3846,68073,75626,129412,122936,185277,111866,11,7,5,21,41,37,115531.666666667,5230198630,2.20893459005527e-05,45270.693143294,"G3.UW.PA.UW36_1.7m_PM.0.2um.A",10,4527.0693143294
