sample,NORM_FACTOR
S11C1_A_1800,2393
S11C1_C_1800,2254
S14C1_B_2200,2978
S14C1_C_2200,2365
S15C1_B_200,2674
S15C1_C_200,1970
S16C1_A_600,2597
S16C1_B_600,2520
S17C1_A_1000,2270
S17C1_B_1000,1904
S18C1_A_1400,1339
S18C1_C_1400,2287
S19C1_A_1800,2485
S19C1_C_1800,2097
S20C1_B_2200,2506
S20C1_C_2200,2666
S21C1_B_200,2107
S21C1_C_200,2172
S22C1_A_600,2059
S22C1_C_600,1654
S23C1_B_1000,3005
S23C1_C_1000,1577
S24C1_A_1400,1917
S24C1_B_1400,1466
S26C1_A_1800,2833
S26C1_C_1800,2327
S28C1_B_2200,1247
S28C1_C_2200,2669
S29C1_A_200,2240
S29C1_C_200,1348
S30C1_A_600,1831
S30C1_C_600,2598
S31C1_A_1000,2192
S31C1_C_1000,1834
S32C1_B_1400,1791
S32C1_C_1400,2055
S33C1_A_1800,1949
S33C1_C_1800,2500
S34C1_B_2200,1858
S34C1_C_2200,2641
S35C1_A_200,2625
S35C1_C_200,2630
S06C1_A_600,1396
S06C1_C_600,3435
S07C1_A_1000,1777
S07C1_B_1000,1560
S08C1_B_1400,1887
S08C1_C_1400,4185
