sample_name,NORM_FACTOR
S11C1_A_1800.H5C5H,11297.32
S11C1_A_1800.HF5MW,8640.68
S11C1_A_1800.HF7JC,9243.03
S11C1_A_1800.HKVHM,9490.61
S11C1_C_1800.H2NVM,7697.22
S11C1_C_1800.HF73N,10359.87
S11C1_C_1800.HFHN2,13584.84
S11C1_C_1800.HL2CJ,6963.62
S14C1_B_2200.H5C5H,14069.86
S14C1_B_2200.HF5MW,10767.09
S14C1_B_2200.HF7JC,11463.28
S14C1_B_2200.HKVHM,11814.58
S14C1_C_2200.H2NVM,8088.06
S14C1_C_2200.HF73N,10861.15
S14C1_C_2200.HFHN2,14071.63
S14C1_C_2200.HL2CJ,7351.07
S15C1_B_200.H5C5H,12706.17
S15C1_B_200.HF5MW,9677.33
S15C1_B_200.HF7JC,10420.4
S15C1_B_200.HKVHM,10414.08
S15C1_C_200.H5C5H,9311.26
S15C1_C_200.HF5MW,7162.72
S15C1_C_200.HF7JC,7662.06
S15C1_C_200.HKVHM,7693.37
S16C1_A_600.H2NVM,8836.43
S16C1_A_600.HF73N,11964.03
S16C1_A_600.HFHN2,15628.62
S16C1_A_600.HL2CJ,8044.89
S16C1_B_600.H5C5H,11912.56
S16C1_B_600.HF5MW,9106.69
S16C1_B_600.HF7JC,9767.65
S16C1_B_600.HKVHM,9933.55
S17C1_A_1000.H5C5H,10684.6
S17C1_A_1000.HF5MW,8286.08
S17C1_A_1000.HF7JC,8796.87
S17C1_A_1000.HKVHM,8876.16
S17C1_B_1000.H5C5H,9009.01
S17C1_B_1000.HF5MW,6983.84
S17C1_B_1000.HF7JC,7498.86
S17C1_B_1000.HKVHM,7270.03
S18C1_A_1400.H5C5H,6291.87
S18C1_A_1400.HF5MW,4892.88
S18C1_A_1400.HF7JC,5270.05
S18C1_A_1400.HKVHM,5156.07
S18C1_C_1400.H2NVM,7831.44
S18C1_C_1400.HF73N,10402.72
S18C1_C_1400.HFHN2,13369.15
S18C1_C_1400.HL2CJ,7209.51
S19C1_A_1800.H2NVM,8404.73
S19C1_A_1800.HF73N,11416.59
S19C1_A_1800.HFHN2,14820.67
S19C1_A_1800.HL2CJ,7787.65
S19C1_C_1800.H2NVM,7142.48
S19C1_C_1800.HF73N,9675.23
S19C1_C_1800.HFHN2,12669.59
S19C1_C_1800.HL2CJ,6472.76
S20C1_B_2200.H2NVM,8533.37
S20C1_B_2200.HF73N,11466.1
S20C1_B_2200.HFHN2,14619.21
S20C1_B_2200.HL2CJ,7923.55
S20C1_C_2200.H2NVM,9064.9
S20C1_C_2200.HF73N,12304.62
S20C1_C_2200.HFHN2,15945.49
S20C1_C_2200.HL2CJ,8276.66
S21C1_B_200.H5C5H,10016.26
S21C1_B_200.HF5MW,7669.98
S21C1_B_200.HF7JC,8187.01
S21C1_B_200.HKVHM,8177.19
S21C1_C_200.H5C5H,10273.22
S21C1_C_200.HF5MW,7856.66
S21C1_C_200.HF7JC,8462.39
S21C1_C_200.HKVHM,8509.72
S22C1_A_600.H2NVM,7046.53
S22C1_A_600.HF73N,9443.86
S22C1_A_600.HFHN2,12345.96
S22C1_A_600.HL2CJ,6374.23
S22C1_C_600.H5C5H,7772.54
S22C1_C_600.HF5MW,6020.87
S22C1_C_600.HF7JC,6455.24
S22C1_C_600.HKVHM,6454.51
S23C1_B_1000.H2NVM,10218.08
S23C1_B_1000.HF73N,13830.94
S23C1_B_1000.HFHN2,17891.54
S23C1_B_1000.HL2CJ,9366.87
S23C1_C_1000.H2NVM,5365.52
S23C1_C_1000.HF73N,7258.61
S23C1_C_1000.HFHN2,9418.08
S23C1_C_1000.HL2CJ,4903.25
S24C1_A_1400.H5C5H,9086.44
S24C1_A_1400.HF5MW,6944.33
S24C1_A_1400.HF7JC,7447.82
S24C1_A_1400.HKVHM,7503.81
S24C1_B_1400.H5C5H,6943.71
S24C1_B_1400.HF5MW,5327.65
S24C1_B_1400.HF7JC,5680.1
S24C1_B_1400.HKVHM,5729.61
S26C1_A_1800.H2NVM,9624.53
S26C1_A_1800.HF73N,13023.88
S26C1_A_1800.HFHN2,17104.11
S26C1_A_1800.HL2CJ,8782.75
S26C1_C_1800.H2NVM,7946.4
S26C1_C_1800.HF73N,10673.87
S26C1_C_1800.HFHN2,13741.62
S26C1_C_1800.HL2CJ,7277.61
S28C1_B_2200.H5C5H,5849.59
S28C1_B_2200.HF5MW,4494
S28C1_B_2200.HF7JC,4767.54
S28C1_B_2200.HKVHM,5032.81
S28C1_C_2200.H5C5H,12517.19
S28C1_C_2200.HF5MW,9679.53
S28C1_C_2200.HF7JC,10378.72
S28C1_C_2200.HKVHM,10514.82
